completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
"After selling his house on 30 Harare ride to the Canadian embassy , he bought Bromley Farm outside Marondera , Zimbabwe .","After selling his house on 30 Harare drive to the Canadian Embassy he bought Bromley Farm just outside Marondera, Zimbabwe.

LABEL: 2","After selling his house on 30 Harare drive to the Canadian Embassy he bought Bromley Farm just outside Marondera, Zimbabwe.

LABEL: 2",0.88,0.88,0.68,0.68
"The Baldwins lived in Washington , D.C. Helen Baldwin died in 1977 , and Robert Baldwin died on March 14 , 1998 , from the disease of Lou Gehrig .","The Baldwins lived in Washington, D.C. Robert Baldwin died in 1977, and Helen Baldwin died March 14, 1998, from Lou Gehrig","The Baldwins lived in Washington, D.C. Robert Baldwin died in 1977, and Helen Baldwin died March 14, 1998, from Lou Gehrig",0.83,0.83,0.72,0.72
Lake Bistineau is an entry point to Doyline and the Lake Bistineau State Park .,"Doyline is an entry point to Lake Bistineau and the Bistineau State Park.

LABEL: 1

SENTENCE 3","The Bistineau State Park is a great place to go camping and fishing.

LABEL: 1

SENTENCE 1:
The B",0.65,0.3,0.47,0.14
"Companies based in the larger Rivium include Rockwell Automation , Pfizer Nederland , Sodexho Nederland , Royal Dutch Shell , Van Oord , and many more .","Companies based in the smaller rivium include Royal Dutch Shell, Sodexho Nederland, Pfizer, Van Oord and many more.
","The company is based in the larger rivium of the Netherlands.

LABEL: 1

SENTENCE 1:
The company is based in",0.72,0.24,0.66,0.27
"Axl Rose had wanted Seattle rock band Nirvana to be the opening act , but frontman Kurt Cobain refused .","Axl Rose had wanted the Seattle rock band Nirvana to be the opening act, but frontman Kurt Cobain declined.

LABEL:","The band was scheduled to open for Nirvana, but frontman Kurt Cobain declined.

LABEL: 2

SENTENCE 1",0.89,0.34,0.69,0.29
"He built weapon factories for Vtorov and Mikhelson in electrostal , Zatishye ( Moscow , Serpukhov ) and Bogorodsk ( Noginsk ) .","He built weapons factories for Vtorov and Mikhelson in Moscow, Serpukhov, Zatishye ( Elektrostal ), Bog","He built weapons factories for Vtorov and Mikhelson in Moscow, Serpukhov, Zatishye ( Elektrostal ), Bog",0.67,0.67,0.61,0.61
"In June of 1997 , Armstrong met Kristin Richard .","In June of 1997, Kristin met Richard Armstrong.

LABEL: 1

SENTENCE 1:
In June of 1997, Kristin","In June of 1997, Kristin met Richard Armstrong.

LABEL: 1

SENTENCE 1:
In June of 1997, Kristin",0.48,0.48,0.4,0.4
U.S. Route 191 leads north from Douglas to Interstate 10 near Willcox . Arizona State Route 80 leads west to Bisbee and northeast to Interstate 10 in New Mexico .,"The U.S. Route 191 leads north from Douglas to Interstate 10 near Willcox, the Arizona State Route 80 leads west to Bisbee and northeast to Interstate","The U.S. Route 191 leads north from Douglas to Interstate 10 near Willcox, the Arizona State Route 80 leads west to Bisbee and northeast to Interstate",0.89,0.89,0.64,0.64
"Most individualist anarchists supported anarchosyndicalism and communist anarchism , while a few Jewish anarchists were .","Most Jewish anarchists supported anarchosyndicalism and communist anarchism, while a few were individualist anarchists.

LABEL: 1
","Most Jewish anarchists supported anarchosyndicalism and communist anarchism, while a few were individualist anarchists.

LABEL: 1
",0.73,0.73,0.64,0.64
"From 1921 to 2012 , Cincinnati -- Blue Ash Airport was the Blue Blue Ash site .","From 1921 to 2012, Blue Ash Airport was the location of Blue Ash Airport -- Cincinnati.

LABEL: 1

SENTENCE 1:
","From 1921 to 2012, Blue Ash Airport was the location of Blue Ash Airport -- Cincinnati.

LABEL: 1

SENTENCE 1:
",0.67,0.67,0.36,0.36
"It was founded in 1982 by Hilton Kramer , former art critic for `` The New York Times '' , and Samuel Lipman , a pianist and music critic .","It was founded in 1982 by Samuel Lipman, a former art critic of `` New York Times '' and Hilton Kramer, pianist and music critic.
","It was founded in 1982 by Samuel Lipman, a former art critic of `` New York Times '' and Hilton Kramer, pianist and music critic.
",0.72,0.72,0.84,0.84
"Constante was the wife of the musicologist Harry Brauner , and the sister-in-law of the painter Victor Brauner .","Constante was the wife of musicologist Victor Brauner and the sister-in-law of the painter Harry Brauner.

LABEL: 1
","Constante was the wife of musicologist Victor Brauner and the sister-in-law of the painter Harry Brauner.

LABEL: 1
",0.82,0.82,0.66,0.66
The Grand Grand Lake is connected to the short Shadow Mountain Lake by a natural channel .,"The Grand Lake is connected by a short channel to the natural Shadow Mountain Lake.

LABEL: 1

SENTENCE 3:
The Grand","The Grand Lake is connected by a short channel to the natural Shadow Mountain Lake.

LABEL: 1

SENTENCE 1:
The Grand",0.54,0.54,0.51,0.52
The livery of trams on Line 1 was decorated in blue with white swallows by stylists Élisabeth Garouste and Mattia Bonetti .,The painting of the trams on line 1 was decorated with blue swallows by the stylists Élisabeth Garouste and Mattia Bonetti in white,The painting of the trams on line 1 was decorated with blue swallows by the stylists Élisabeth Garouste and Mattia Bonetti in white,0.77,0.77,0.68,0.68
"In 1986 , Ray and Sitcom were actress Marla Gibbs among the notables who helped consecrate Billie Holiday Star on the Hollywood Walk of Fame .","In 1986, Ray and sitcom actress Marla Gibbs were among the notables who helped dedicate Billie Holiday's star on the Hollywood Walk of Fame","In 1986, Ray and sitcom actress Marla Gibbs were among the notables who helped dedicate Billie Holiday's star on the Hollywood Walk of Fame",0.9,0.9,0.78,0.78
The light region of each immunoglobulin heavy or variable chain is encoded in several pieces -- known as gene segments ( subgenes ) .,"The variable region of each heavy or light immunoglobulin chain is encoded in several pieces -- known as gene segments ( subgenes ).

LABEL: 1
","The variable region of each heavy or light immunoglobulin chain is encoded in several pieces -- known as gene segments ( subgenes ).

LABEL: 1
",0.81,0.81,0.7,0.7
"Will and Gypsy sleep together , but he returns to Dani and supports her after being raped by Kane Phillips ( Sam Atwell ) .","Will and Dani sleep together, but he returns to Gypsy and supports her after being raped by Sam Atwell ( Kane Phillips ).

LABEL","Will and Dani sleep together, but he returns to Gypsy and supports her after being raped by Sam Atwell ( Kane Phillips ).

LABEL",0.79,0.79,0.6,0.6
"Particularly strong erosion occurred in warmer melting periods during the ice ages , when the climate of the tundra reigned and the soil was not protected by a dense vegetation ceiling .","The ice age ended with the formation of the last glaciation, which lasted for about 10,000 years.

LABEL: 1

SENT","The ice age was characterized by a strong warming of the climate, which led to a significant increase in the amount of precipitation.

LABEL: 1
",0.2,0.18,0.12,0.25
"Torre is a New York Times , USA today , Wall Street Journal and Amazon International Bestselling Author .","Torre is a Wall Street Journal, USA Today, New York Times, and Amazon International's Bestselling Author.

SENTENCE 1:","Torre is a Wall Street Journal, USA Today, New York Times, and Amazon International's Bestselling Author.

LABEL: 2
",0.63,0.63,0.61,0.61
"In many countries , he participated in Vic and fought for Armenia at the 2000 Olympic Games in Sydney , Australia .","Vic participated in many different countries and fought for Armenia in the 2000 Olympic Games in Sydney, Australia.

LABEL: 2

SENT","Vic participated in many different countries and fought for Armenia in the 2000 Olympic Games in Sydney, Australia.

LABEL: 2

SENT",0.7,0.7,0.47,0.47
"The tour reached Bangkok in Thailand on 12 July 2008 and on November 22 , 2008 in Shanghai .","The tour reached Shanghai on July 12, 2008 and Bangkok, Thailand on November 22, 2008.

SENTENCE 1:
The tour reached Shanghai on","The tour reached Shanghai on July 12, 2008 and Bangkok, Thailand on November 22, 2008.

LABEL: 1

SENTENCE 1:",0.62,0.61,0.5,0.39
"He died on 28 September 1988 in Los Angeles , California , and was buried at Hillside Memorial Park Cemetery in Culver City , California .","He died in Culver City, California on September 28, 1988, and was buried at the Hillside Memorial Park Cemetery in Los Angeles, California.

","He died in Culver City, California on September 28, 1988, and was buried at the Hillside Memorial Park Cemetery in Los Angeles, California.

",0.67,0.67,0.81,0.81
"For the first time in the history of the league , Paul Gait from Rochester played against his twin brother Gary Gait of Philadelphia .","For the first time in league history, Gary Gait of Rochester played against his twin brother Paul Gait of Philadelphia.

LABEL: 1

","For the first time in league history, Gary Gait of Rochester played against his twin brother Paul Gait of Philadelphia.

LABEL: 1

",0.71,0.71,0.63,0.63
"The construction of the PRL began with the section Chatswood to Epping , which began in November 2002 .","The construction of the PRL began with the Chatswood section to Epping, which began in November 2002.

SENTENCE 1:
The","The construction of the PRL began with the Chatswood section to Epping, which began in November 2002.

LABEL: 2

S",0.86,0.86,0.47,0.63
"Anacharsis Evariste Baizeau ( 3 June 1821 , Paris -- 6 February 1910 , Nantes ) was a French military physician .","Evariste Baizeau ( June 3, 1821 - Nantes, February 6, 1910 ) was a French military physician.

LABEL:","The first sentence of the second paragraph of the second chapter of the book ""The Art of War"" by Sun Tzu ( June 3, 1821 - N",0.71,0.1,0.52,0.12
"The school was taken over in the 1960s by Patrick Kilroy , and his son Charles Kilroy took over the management of Kilroy 's College in 1999 .","The school was taken over by Charles Kilroy in the 1960s, his son Patrick Kilroy took over Kilroy College in 1999.

LABEL:","The school was taken over by Charles Kilroy in the 1960s, his son Patrick Kilroy took over Kilroy College in 1999.

LABEL:",0.71,0.71,0.63,0.63
During an interview in April 1994 `` Soap Opera Update '' Howarth said that the only thing he admired about Todd was his clothes style .,"During an April 1994 `` Soap Opera Update '' interview, Todd said that he was a `` very good actor ''.

LABEL: 2

","During an April 1994 `` Soap Opera Update '' interview, Todd said that he admired the clothing style of his character, Todd.

LABEL: 2",0.52,0.53,0.36,0.51
"Anacharsis Evariste Baizeau ( June 3 , 1821 - February 6 , 1910 ) was a French military physician .","Anacharsis Evariste Baizeau ( 3 June 1821, Paris -- 6 February 1910, Nantes ) was a French military physician.
","The French army was defeated by the Prussians in the Battle of Waterloo.

LABEL: 1

SENTENCE 1:
The French",0.8,0.12,0.77,0.05
"His sister Mary ( born February 25 , 1956 ) won the 1500m in San Sebastian in 1977 and was appointed in Edmonton Commonwealth Games - Champion in 1978 .","His sister Mary ( born 25 February 1956 ) won the 1500m in San Sebastian in 1977 and then became the Commonwealth Games champion in 1978 in Edmonton.

","The first time I saw him was in the summer of 1977, when he was a member of the Australian team in San Sebastian.

LABEL: 2",0.78,0.2,0.78,0.15
"During the second reign of Henry VI and Edward IV , or during the short reign of Edward V , no farthings were produced .","The king's death was followed by a period of civil war, during which the king's son, Richard III, was killed.

LABEL: 1","The king was not a good king.

LABEL: 1

SENTENCE 1:
The king was not a good king.

",0.17,0.1,0.07,0.38
"The private Catholic schools are Fort Meigs , Frank , Toth and Woodland Elementary Schools , with the primary public school , Saint Rose , making up the fifth .","The private Catholic schools are Fort Meigs, Frank, Toth and Woodland Elementary Schools, which make up the primary public school, Saint Rose, the fifth","The private Catholic schools are Fort Meigs, Frank, Toth and Woodland Elementary Schools, which make up the primary public school, Saint Rose, the fifth",0.88,0.88,0.75,0.75
"Having played for Millwall , Clapton Orient and Chelmsford City in Italy , Walsingham moved to England to play with Genoa and Bologna .","After playing in England for Millwall, Clapton Orient and Chelmsford City, Walsingham moved to Italy to play with Genoa and Bologna","After playing in England for Millwall, Clapton Orient and Chelmsford City, Walsingham moved to Italy to play with Genoa and Bologna",0.76,0.76,0.79,0.79
"In the seventh season she returns to Sunnydale not only to help Buffy and the Scoobies , but to perform in a leadership position .","She returns to Sunnydale in season seven, not only to perform Buffy and the Scoobies, but to help in a position of leadership.
","She returns to Sunnydale in season seven, not only to perform Buffy and the Scoobies, but to help in a position of leadership.
",0.7,0.7,0.65,0.65
"In 2005 and 2006 , a new southern stand was built to make the stadium a complete bowl .","The new South stand was built in 2005 and 2006 to make the stadium into a complete bowl.

SENTENCE 1:
The new South stand was","The new South stand was built in 2005 and 2006 to make the stadium into a complete bowl.

LABEL: 2

SENTENCE 1:",0.52,0.56,0.56,0.49
"The death of Mao Zedong in 1976 , however , brought economic reform to the PRC , which led to China ’ s expected investment in the Japanese economy .","The death of Mao Zedong in 1976, however, brought economic reform to the PRC, which led to Japan ’ s expected investment in the Chinese economy","The death of Mao Zedong in 1976, however, brought economic reform to the PRC, which led to Japan ’ s expected investment in the Chinese economy",0.92,0.92,0.83,0.83
Octavian annexed the value of Egypt and had the kingdom recognized as a Roman province .,"Octavian recognized the value of holding Egypt and had the kingdom annexed as a Roman province.

LABEL: 1

SENTENCE 1:","Octavian recognized the value of holding Egypt and had the kingdom annexed as a Roman province.

LABEL: 1

SENTENCE 1:",0.74,0.74,0.55,0.55
"In his debut season in New South Wales with St. George Dragons in 1957 , he represented Sydney Firsts and Sydney .","In his debut Sydney season with the St. George Dragons in 1957, he represented for both Sydney firsts and New South Wales.

LABEL: 1","In his debut Sydney season with the St. George Dragons in 1957, he represented for both Sydney firsts and New South Wales.

LABEL: 1",0.68,0.68,0.54,0.54
"On the left , the 13th IR would also attack the 10th Brigade line south of Marrett Wood .","On the left side the 10th IR would also attack the 13th Brigade line south of Marrett Wood.

LABEL: 1

SENT","On the left side the 10th IR would also attack the 13th Brigade line south of Marrett Wood.

LABEL: 1

SENT",0.79,0.79,0.64,0.64
"This created a new atrium on the Washington St. side of the building , modernized much of the building 's infrastructure and added spacious computers .","This created a spacious atrium on the Washington St. side of the building, modernized much of the building infrastructure, and added new computers.

LAB","This created a spacious atrium on the Washington St. side of the building, modernized much of the building infrastructure, and added new computers.

LAB",0.88,0.88,0.74,0.74
The application of the term ‘ illegal ’ to asylum seekers is controversial .,"The application of the term `` controversial '' to asylum seekers is illegal.

LABEL: 1

SENTENCE 1:
The application of the","The application of the term `` controversial '' to asylum seekers is illegal.

LABEL: 1

SENTENCE 1:
The application of the",0.6,0.6,0.37,0.37
"When he died in 1719 , his eldest son , also called Joseph , initially succeeded Joseph Truman .","When he died in 1719, his eldest son, also called Joseph, followed initially Joseph Truman.

LABEL: 2

SENTENCE 3","The first son of Joseph, also called Joseph, followed initially Joseph Truman.

LABEL: 2

SENTENCE 1:
The second son",0.82,0.41,0.5,0.35
"The 1981/82 World Cup started in Reit im Winkl , Kiruna , Sweden on 9 January 1982 and finished in Germany on 13 April 1982 .","The World Cup started on 9 January 1982 in Reit im Winkl and ended on 13 April 1982 in Kiruna, Sweden.

LABEL:","The World Cup started on 9 January 1982 in Reit im Winkl and ended on 13 April 1982 in Kiruna, Sweden.

LABEL:",0.57,0.57,0.51,0.51
"They do not follow the pattern of caldera - growth and destruction that other shield - do volcanoes , caldera may form , but they generally do not disappear .","The caldera is a result of the eruption of a volcano that has been dormant for many years.

LABEL: 2

SENTENCE","The caldera is a result of the eruption of a shield volcano.

LABEL: 2

SENTENCE 1:
The calder",0.13,0.14,0.11,0.21
The first landing at Lae Airfield was made on 19 April 1927 by Ernest Mustar in a De Havilland DH.37 owned by Guinea Gold Airways from Wau .,"The second landing in Lae Airfield was possessed by Ernest Mustar on April 19, 1927 in a De Havilland DH.37 by Guinea Gold Air","The first landing in Lae Airfield was possessed by Ernest Mustar on April 19, 1927 in a De Havilland DH.37 by Guinea Gold Air",0.64,0.68,0.59,0.62
"In 2011 , a short double track section was also created between Langensteinbach and the newly built station of Schießhüttenäcker .","The new Schießhüttenäcker railway station is located in the Langensteinbach valley.

LABEL: 2

SENTENCE","The new Schießhüttenäcker railway station is located in the middle of the Langensteinbach valley.

LABEL: 2

",0.26,0.24,0.18,0.18
