completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
The gallbladder is near the right lobe of the liver.,"The liver is divided into the right lobe and left lobes.

LABEL: neutral

SENTENCE 1:
The liver is divided into the","The liver is divided into the right lobe and left lobes.

LABEL: neutral

SENTENCE 1:
The liver is divided into the",0.45,0.45,0.28,0.28
Nematodes can be a parasite of both.,"The plant is not harmed by the insect.

LABEL: neutral

SENTENCE 1:
This can be dangerous to both plants and animals","This can be dangerous to both plants and animals.

LABEL: negative

SENTENCE 1:
This can be dangerous to both plants and",0.21,0.21,0.4,0.39
Backbone is another name for the vertebral column.,"The backbone is a series of bones that make up the vertebral column.

LABEL: entails

SENTENCE 1:
Vertebrates are","Vertebrates are named for vertebrae, the series of bones that make up the vertebral column or backbone.

LABEL: not_entails
",0.37,0.29,0.07,0.3
Terrestrial biomes are classified by climatic factors and types of primary producers.,"Ecoregions are classified by biome type, which are the major global plant communities determined by rainfall and climate.

LABEL: neutral

","Ecoregions are classified by biome type, which are the major global plant communities determined by rainfall and climate.

LABEL: neutral

",0.25,0.25,0.36,0.36
A neutron collides with an atom of u-235 during the basic nuclear fission process.,"The process of nuclear fusion is the opposite of nuclear fission.

LABEL: neutral

SENTENCE 1:
It is the diametrically","The process of nuclear fusion is the diametrically opposite process of nuclear fission, in which an atom of the heavy isotope Uranium-238 is split in",0.24,0.2,0.2,0.38
The eighth planet from our sun is neptune.,"Neptune will be the farthest planet from the Sun until 1999.

LABEL: neutral

SENTENCE 1:
Neptune","Neptune will be the farthest planet from the Sun until 1999.

LABEL: positive

SENTENCE 1:
Neptune",0.42,0.42,0.3,0.31
When liquid water changes to water vapor it is called evaporation.,"evaporation ---process by which water is changed from a liquid into a vapor.

LABEL: entails

SENTENCE 1:
evaporation","evaporation ---process by which water is changed from a liquid into a vapor.

LABEL: entailment

SENTENCE 1:
ev",0.21,0.14,0.47,0.46
"Each species has a particular way of making a living, which is called its niche.","Niche is a way of making a living

LABEL: entails

SENTENCE 1:
Niche is a way of making a living","Niche An organism's niche is its unique role  or &quot;way of making a living&quot; in the environment.

LABEL:",0.4,0.28,0.41,0.51
Backbone is another name for the vertebral column.,"The notochord is a rod-like structure that is present in the embryo of all vertebrates.

LABEL: entails

SENTENCE","In the fish and all subsequent vertebrates, the notochord forms the backbone (or vertebral column).

LABEL: entailment

SENT",0.15,0.23,0.02,0.03
Dynamics is the study of how forces affect the motion of objects.,"The benthic region is a complex system that is affected by the forcing flow.

LABEL: neutral

SENTENCE 1:
The","The object of the present research is to analyze how the benthic region affects the dynamics of the forcing flow.

LABEL: neutral

S",0.19,0.29,0.06,0.22
Diabetes is unpreventable in the type one form but may be prevented by diet if it is of the second type.,"Studies have shown that good glucose control may prevent or delay complications of type 2 diabetes such as heart disease, kidney disease, or blindness.

LABEL:","Studies have shown that good glucose control may prevent or delay complications of type 2 diabetes such as heart disease, kidney disease, or blindness.

LABEL:",0.13,0.13,0.24,0.24
"Reptiles are described by the term ectothermic, which means their internal temperature depends on the temperature of their environment.","Reptiles are cold-blooded, or ectothermic, meaning that their heat come from their environment.

LABEL: entails

S","Reptiles are cold-blooded, or ectothermic, meaning that their heat come from their environment.

LABEL: not_entails",0.33,0.33,0.32,0.51
Compounds containing the element carbon are the basis of all known life.,"Volatile Organic Compounds (VOC) Any compound containing carbon and hydrogen or containing carbon and hydrogen in combination with other elements.

LABEL: neutral","Volatile Organic Compounds (VOC) Any compound containing carbon and hydrogen or containing carbon and hydrogen in combination with other elements.

LABEL: neutral",0.18,0.18,0.33,0.33
A concave lens is thicker at the edges than it is in the middle.,"d is the lens thickness

LABEL: neutral

SENTENCE 1:
d is the lens thickness

LABEL: neutral

","d is the lens thickness

LABEL: negative

SENTENCE 1:
d is the lens thickness

LABEL: positive

",0.27,0.27,0.61,0.46
Metals start out as ore.,"It is a rare earth mineral.

LABEL: neutral

SENTENCE 1:
It is a rare earth mineral.

LABEL","It is an ore of lanthanum metal, along with monazite.

LABEL: neutral

SENTENCE 1:
It",0.0,0.1,0.38,0.23
Compounds containing the element carbon are the basis of all known life.,"hydrocarbon A compound containing only the elements carbon and hydrogen.

LABEL: neutral

SENTENCE 1:
hydrocarbon A compound containing only","hydrocarbon A compound containing only the elements carbon and hydrogen.

LABEL: positive

SENTENCE 1:
hydrocarbon A compound containing only",0.19,0.19,0.35,0.35
Plasma matter makes up most of the universe.,"Plasma is a state of matter that is composed of charged particles.

LABEL: entails

SENTENCE 1:
Plasma is a","Plasmas, considered the fourth state of matter, comprise most of the universe by volume.

LABEL: entailment

SENTENCE 1",0.22,0.38,0.28,0.22
"All of the populations that live in the same area make up a(n) community, which includes populations of different organisms.","A community is a group of organisms that live together in a particular area.

LABEL: entails

SENTENCE 1:
A community consists","A community consists of all the various populations of organisms living in a given area.

LABEL: entailment

SENTENCE 1:
A",0.33,0.29,0.37,0.36
Ocean acidification occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic.,"Ocean acidification is a lowered pH of ocean waters caused by increased carbon dioxide emissions into the atmosphere, which results in more CO2 dissolving into the ocean","Ocean acidification is a lowered pH of ocean waters caused by increased carbon dioxide emissions into the atmosphere, which results in more CO2 dissolving into the ocean",0.33,0.33,0.7,0.7
Metals start out as ore.,"Ores of metals, of all kinds.

LABEL: neutral

SENTENCE 1:
Ores of metals, of all kinds.","Ores of metals, of all kinds.

LABEL: neutral

SENTENCE 1:
Ores of metals, of all kinds.",0.1,0.1,0.51,0.51
Beneficial fungi play a crucial role in balance of ecosystems.,"It is a hormone that is secreted by the adrenal glands.

LABEL: neutral

SENTENCE 1:
It is a hormone that is","It plays a crucial role in the fluid balance, the mechanism by which cells are nourished and cleansed.

LABEL: positive

SENT",0.06,0.32,0.24,0.2
"Meiosis is part of the process of gametogenesis, which is the production of sperm and eggs.","Morc affects the earliest stages of sperm production, or meiosis.

LABEL: neutral

SENTENCE 1:
Morc affects the","Morc affects the earliest stages of sperm production, or meiosis.

LABEL: positive

SENTENCE 1:
Morc affects the",0.18,0.18,0.3,0.31
Lyme disease is caused by bacteria.,"Lyme Disease A serious illness caused by the bacterium, Borrelia burgdorferi, which is carried to humans by the Deer Tick (","Lyme Disease A serious illness caused by the bacterium, Borrelia burgdorferi, which is carried to humans by the Deer Tick (",0.31,0.31,0.51,0.51
"If a substance has a ph value greater than 7,that indicates that it is base.","pH indicators are substances obtained from plant material that change color depending on the degree of acid or base of the substance it is mixed with.

LABEL:","pH indicators are substances obtained from plant material that change color depending on the degree of acid or base of the substance it is mixed with.

LABEL:",0.19,0.19,0.33,0.33
A concave lens is thicker at the edges than it is in the middle.,"A convex lens is thicker in the middle than it is near its edges.

LABEL: entails

SENTENCE 1:
A convex lens","A concave lens is thinner in the middle than it is near its edges.

LABEL: entailment

SENTENCE 1:
A concave",0.46,0.47,0.43,0.39
Hemodialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine.,"Hemodialysis is a treatment for kidney failure.

LABEL: entails

SENTENCE 1:
Hemodialysis is a treatment","Hemodialysis is a treatment for kidney failure.

LABEL: entailment

SENTENCE 1:
Hemodialysis involves the",0.18,0.18,0.3,0.22
Ocean acidification occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic.,"The Antarctic Ocean is the only ocean on Earth that is not subject to the impacts of ocean acidification.

LABEL: entails

SENTENCE","Antarctic seas are uniquely subject to the impacts of ocean acidification, the result of oceans absorbing anthropogenic atmospheric carbon dioxide (CO2).

S",0.16,0.21,0.07,0.37
"If a substance has a ph value greater than 7,that indicates that it is base.","At pH values below 7 we have excess acid, and at pH levels above 7 we have excess base in the water.

LABEL: entails

","At pH values below 7 we have excess acid, and at pH levels above 7 we have excess base in the water.

LABEL: entailment
",0.15,0.15,0.28,0.29
Beneficial fungi play a crucial role in balance of ecosystems.,"Plants are the primary producers of the biosphere.

LABEL: neutral

SENTENCE 1:
Plants are the primary producers of","Plants play a fundamental role in forming the delicate balance needed to sustain ecosystems across the globe.

LABEL: positive

SENTENCE 1:",0.07,0.39,0.28,0.29
Plasma matter makes up most of the universe.,"The universe is expanding.

LABEL: entails

SENTENCE 1:
The universe is expanding.

LABEL: entails

","Most of the matter in the universe is plasma, including stars and nebulas.

LABEL: entailment

SENTENCE 1:
",0.18,0.32,0.56,0.22
A(n) organ is a structure that is composed of one or more types of tissues.,"The smallest unit of life that can reproduce itself.

LABEL: neutral

SENTENCE 1:
The smallest unit of life that can reproduce","The cells of the body are the basic units of structure and function.

LABEL: positive

SENTENCE 1:
The cells of the",0.11,0.11,0.36,0.22
"In weather terms, the boundary between two air masses is called front.","The weather fronts are formed by the interaction of two air masses.

LABEL: entails

SENTENCE 1:
The weather fronts are formed","The weather fronts are the boundary or transition zone between two air masses and have an important impact upon the weather.

LABEL: entailment

S",0.3,0.39,0.34,0.26
"All of the populations that live in the same area make up a(n) community, which includes populations of different organisms.","A community of organisms is defined as a group of organisms or populations found living together.

LABEL: entails

SENTENCE 1:
A","A community of organisms is defined as a group of organisms or populations found living together.

LABEL: not_entails

SENTENCE 1",0.19,0.19,0.24,0.35
When liquid water changes to water vapor it is called evaporation.,"The change from liquid to gas is condensation and the product is water vapor;

LABEL: entails

SENTENCE 1:
The change from","The change from liquid to gas is evaporation and the product is water vapor;

LABEL: entailment

SENTENCE 1:
The change",0.25,0.26,0.32,0.34
Energy is stored in a chemical substance between atoms.,"An atom or molecule of a substance usually does not emit energy;

LABEL: neutral

SENTENCE 1:
An atom or molecule of","An atom or molecule of a substance usually does not emit energy;

LABEL: neutral

SENTENCE 1:
An atom or molecule of",0.13,0.13,0.22,0.22
"In weather terms, the boundary between two air masses is called front.","The air masses that form fronts are usually caused by temperature differences.

LABEL: entails

SENTENCE 1:
The air masses that form","In weather, all fronts are boundaries between masses of air with different densities, usually caused by temperature differences.

LABEL: entailment

SENT",0.18,0.24,0.27,0.2
The element carbon is present in all organic molecules.,"All organic molecules have a carbon skeleton that is composed of rings or chains of carbons.

LABEL: entails

SENTENCE 1:
","All organic molecules have a carbon skeleton that is composed of rings or chains of carbons.

LABEL: entailment

SENTENCE 1:",0.21,0.21,0.19,0.16
A concave lens is thicker at the edges than it is in the middle.,"lens

LABEL: related

EXAMPLE:
Finish SENTENCE 2 based on SENTENCE 1, such that the following LABEL shows","a concave lens

LABEL: neutral

SENTENCE 1:
concave lens

LABEL: neutral

SENTENCE 2",0.13,0.22,0.25,0.5
"In weather terms, the boundary between two air masses is called front.","Front- The boundary between two different air masses.

LABEL: entails

SENTENCE 1:
Front- The boundary between two different air","Front- The boundary between two different air masses.

LABEL: entailment

SENTENCE 1:
Front- The boundary between two different",0.45,0.47,0.42,0.38
Mitosis actually occurs in four phases.,"The phases of mitosis are interphase, prophase, metaphase, and anaphase.

LABEL: entails

SENTENCE","Mitosis is subdivided into four phases.

LABEL: not_entails

SENTENCE 1:
Mitosis is subdivided into",0.11,0.29,0.15,0.39
Most of the energy used by living things comes either directly or indirectly from the sun.,"The Sun is the source of energy for all life on Earth.

LABEL: entails

SENTENCE 1:
The Sun is the source","Most ecosystems on Earth derive their energy either directly or indirectly through the Sun and the process of photosynthesis.

LABEL: entailment

SENT",0.22,0.42,0.37,0.19
"In relation to electrical current, a narrow wire will have more resistance than a wide wire.","The resistance of a wire is measured in ohms.

LABEL: neutral

SENTENCE 1:
The resistance of a wire is measured","When electricity flows through a wire, the wire heats up because of its resistance to the flow of electrical current.

LABEL: positive

S",0.28,0.15,0.39,0.34
Lyme disease is caused by bacteria.,"The bacterium that causes Lyme disease is transmitted to humans by ticks.

LABEL: entails

SENTENCE 1:
The bacterium that causes","Over 100 strains of the bacterium that cause Lyme disease have been identified in the United States.

LABEL: entailment

SENTENCE 1",0.31,0.15,0.29,0.08
"A sealed, vacuum-insulated reaction flask approximates the condition of a isolated system, in which neither matter nor heat can be exchanged between system and surroundings.","In thermodynamics, a closed system can exchange energy (as heat or work) but not matter, with its surroundings.

LABEL: neutral

","In thermodynamics, a closed system can exchange energy (as heat or work) but not matter, with its surroundings.

LABEL: neutral

",0.17,0.17,0.32,0.32
The water cycle ends with it repeats itself.,"The steam is used to drive a turbine, which is connected to a generator.

LABEL: neutral

SENTENCE 1:
The steam","The recycled steam is returned as water to the boiler to repeat the cycle.

LABEL: positive

SENTENCE 1:
The recycled steam",0.07,0.21,0.23,0.38
The turning driveshaft causes the wheels of the car to turn.,"The spark plugs ignite the gasoline, causing an explosion that pushes the pistons that drive the crank shaft that turns the transmission that turns the wheels that move the","There are spark plugs in the engine that ignite the gasoline, causing an explosion that pushes the pistons that drive the crank shaft that turns the transmission that turns",0.2,0.15,0.42,0.41
The pupil of the eye allows light to enter.,"The pupil is the opening through which light enters the eye.

LABEL: entails

SENTENCE 1:
The pupil is the opening through","The pupil is the opening through which light enters the eye.

LABEL: entailment

SENTENCE 1:
The pupil is the opening",0.27,0.28,0.37,0.42
Jet streams are fast moving rivers of air that are going in opposite directions called.,"Salmon eggs are laid in freshwater streams and rivers.

LABEL: neutral

SENTENCE 1:
Adults lay salmon eggs in fast","Adults lay salmon eggs in fast moving, freshwater streams and rivers.

LABEL: positive

SENTENCE 1:
Adults lay salmon",0.18,0.18,0.29,0.32
Calcium ion is an example of a second messenger.,"The significance of these changes lies in the demonstration that they were associated with the release of calcium ion, which as a'second messenger', was proposed in turn to","The significance of these changes lies in the demonstration that they were associated with the release of calcium ion, which as a'second messenger', was proposed in turn to",0.26,0.26,0.39,0.39
Lyme disease is caused by bacteria.,"The disease is transmitted by the bite of an infected tick.

LABEL: entails

SENTENCE 1:
The disease is transmitted by the","Lyme disease is caused by a bacterium carried by pin-size ticks that live in wooded and grassy areas around the country.

LABEL:",0.22,0.34,0.26,0.42
A convex mirror is shaped like the outside of a bowl.,"The SelfPortrait in a Convex Mirror is a painting by M. C. Escher.

LABEL: neutral

SENTENCE 1","See SelfPortrait in a Convex Mirror.

LABEL: positive

SENTENCE 1:
See SelfPortrait in a Convex",0.36,0.31,0.16,0.38
The behavior of ideal gases is explained by kinetic molecular theory.,"The thermal properties of the monatomic ideal gas are derived, and classical kinetic theory is discussed.

LABEL: neutral

SENTENCE 1:","The thermal properties of the monatomic ideal gas are derived, and classical kinetic theory is discussed.

LABEL: neutral

SENTENCE 1:",0.32,0.32,0.25,0.25
Ocean acidification occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic.,"Ocean acidification is a major threat to marine life.

LABEL: entails

SENTENCE 1:
Ocean acidification is a","Ocean acidification is a decrease in ocean pH that is caused by anthropogenic carbon dioxide (CO2 ) emissions into the atmosphere.

LABEL:",0.18,0.32,0.3,0.5
"The term cardiac output, calculated by multiplying heart contractions by stroke volume, means the volume of blood pumped by the heart in one minute.","Stroke volume is the volume of blood pumped by the left ventricle in one beat, and is equal to the produce of end diastolic volume x ejection fraction.
","Cardiac output is the volume of blood pumped by the left ventricle into the aorta in one minute, and is equal to the produce of stroke volume x heart rate",0.42,0.44,0.39,0.57
A(n) organ is a structure that is composed of one or more types of tissues.,"The four basic tissue types are epithelial, connective, muscle, and nervous.

LABEL: neutral

SENTENCE 1:
Histology involves","Histology is the study of the microscopic structure of tissues and organs.

LABEL: positive

SENTENCE 1:
The study of the",0.06,0.22,0.1,0.21
A viral vector is the name for a tool commonly used by molecular biologists to place genetic material into cells.,"The genetic material inside the virus shell is the RNA.

LABEL: neutral

SENTENCE 1:
This is now done using molecular techniques","This is now done using molecular techniques such as polymerase chain reaction for viral RNA, the genetic material inside the virus shell.

LABEL: positive

",0.15,0.18,0.31,0.16
Most of the energy used by living things comes either directly or indirectly from the sun.,"The energy that is used by living organisms on earth is ultimately derived from the sun.

LABEL: entails

SENTENCE 1:
Most","Most of the energy that is used by living organisms on earth ultimately comes from the sun in the form of radiant energy.

SENTENCE 1:
",0.43,0.54,0.23,0.59
Many plants respond to the days growing shorter in the fall by going dormant.,"Plant in the fall, as they will need to stay dormant during the cold winter before they grow in the spring.

LABEL: entails

","Plant in the fall, as they will need to stay dormant during the cold winter before they grow in the spring.

```

## Dataset",0.22,0.22,0.29,0.21
Mushrooms get their energy from decomposing dead organisms.,"Heterotrophs get energy and carbon from living plants or animals ( consumers ) or from dead organic matter ( decomposers ).

LABEL:","Heterotrophs get energy and carbon from living plants or animals ( consumers ) or from dead organic matter ( decomposers ).

LABEL:",0.31,0.31,0.27,0.27
You can expect stormy if a center of low pressure is moving your way.,"The waves were so high that the ship was almost completely submerged.

LABEL: entails

SENTENCE 1:
The ship was completely submerged","The waves were so high that the ship was almost completely submerged.

LABEL: entailment

SENTENCE 1:
The ship was completely",0.0,0.0,0.29,0.19
The water cycle ends with it repeats itself.,"The water is then drained from the rows.

LABEL: neutral

SENTENCE 1:
The water is then drained from the rows.","Advance cycles are repeated, with an increase in time per side, until the water reaches the end of each row.

LABEL: positive

",0.14,0.13,0.52,0.34
"The bird ancestor that lived in trees developed wings, which is commonly associated with birds.","Birds evolved from a bird ancestor that lived in trees.

LABEL: entails

SENTENCE 1:
Wings evolved in a bird","Wings evolved in a bird ancestor that lived in trees.

LABEL: entailment

SENTENCE 1:
Wings evolved in a",0.41,0.42,0.37,0.33
The development of the respiratory system in the fetus begins at about 4 weeks.,"The Y chromosome is the sex chromosome that determines the sex of the fetus.

LABEL: neutral

SENTENCE 1:
At about six","At about six weeks in the male fetus, the Y chromosome causes the testes to develop and to begin to produce the male hormone testosterone.

LABEL",0.34,0.15,0.16,0.14
"Each species has a particular way of making a living, which is called its niche.",The niche theory is a theory that says that each species has a unique ecological niche in an eco-system and that the species becomes adapted to fill that niche.,"Niche theory says that each species has a unique ecological niche in an eco-system and that the species becomes adapted to fill that niche.

LABEL",0.22,0.24,0.53,0.32
Compounds containing the element carbon are the basis of all known life.,"This compound contains the elements carbon, hydrogen, and oxygen.

LABEL: neutral

SENTENCE 1:
This compound contains the elements carbon","This compound contains the elements carbon, hydrogen, and oxygen.

LABEL: positive

SENTENCE 1:
This compound contains the elements carbon",0.19,0.19,0.46,0.46
"If the buoyant force is greater than the force of gravity acting on a ship, it will float.","The activist was forced to port in order to avoid the factory ship.

LABEL: neutral

SENTENCE 1:
The factory ship was","The factory ship was forced to starboard in order to avoid the floating activist.

LABEL: neutral

SENTENCE 1:
The factory",0.15,0.11,0.21,0.25
The element carbon is present in all organic molecules.,"Carbon dioxide molecules are not all the same.

LABEL: neutral

SENTENCE 1:
Carbon dioxide molecules are not all the","Carbon dioxide molecules are not all the same.

LABEL: positive

SENTENCE 1:
Carbon dioxide molecules are not all the",0.21,0.21,0.38,0.4
Invertebrates (and higher animals) can also be placed in one of two groups based on how they develop as embryos.,"If the surrogate mothers are healthy, the embryos will be healthy.

LABEL: neutral

SENTENCE 1:
Assume that just five of","Assume that just five of those eggs can be made into healthy cloned embryos, two embryos are transferred to each surrogate mother, and one out of 100 embryos survives to",0.1,0.2,0.09,0.13
The behavior of ideal gases is explained by kinetic molecular theory.,"The pressure of a gas is proportional to the number of molecules in the container.

LABEL: neutral

SENTENCE 1:
Use the","The kinetic theory of gases is a theory that explains the pressure of gases.

LABEL: positive

SENTENCE 1:
Use the kinetic",0.19,0.31,0.09,0.3
"In relation to electrical current, a narrow wire will have more resistance than a wide wire.","Electrical wires have very low resistance, so this allows a large amount of current to flow and can be dangerous.

LABEL: neutral

S","Electrical wires have very low resistance, so this allows a large amount of current to flow and can be dangerous.

LABEL: negative

S",0.21,0.21,0.28,0.28
Jet streams are fast moving rivers of air that are going in opposite directions called.,"Jet stream (atmosphere) Jet stream is a band of fast-moving air currents that occur at high altitudes.

LABEL: entails
","Jet stream (atmosphere) Jet stream is a band of fast-moving air currents that occur at high altitudes.

LABEL: entailment",0.29,0.29,0.4,0.35
"The bird ancestor that lived in trees developed wings, which is commonly associated with birds.","The children will be able to explore the living and non-living things at Beechwood.

LABEL: neutral

SENTENCE 1:","Tree bark, insect wings and bird songs will provide a feast for the senses as the children explore the living and non-living things at Beechwood.
",0.06,0.05,0.15,0.36
Lyme disease is caused by bacteria.,"Scientists have found a single bacterium that causes Lyme disease, which can be cured if treated with antibiotics.

LABEL: entails

SENT","Scientists have found a single bacterium that causes Lyme disease, which can be cured if treated with antibiotics.

LABEL: entailment

S",0.15,0.15,0.15,0.17
Smooth muscle regulates air flow in lungs.,The constriction of the smooth muscle surrounding the bronchioles and the accumulation of mucus cause periods of airway obstruction and subsequent difficulty in moving air in and (to,The constriction of the smooth muscle surrounding the bronchioles and the accumulation of mucus cause periods of airway obstruction and subsequent difficulty in moving air in and (to,0.23,0.23,0.13,0.13
The turning driveshaft causes the wheels of the car to turn.,"He grabs at the wheel to turn the car.

LABEL: neutral

SENTENCE 1:
He grabs at the wheel to turn the","He grabs at the wheel to turn the car.

LABEL: negative

SENTENCE 1:
He grabs at the wheel to turn the",0.31,0.31,0.38,0.37
All of the petals together are called a corolla.,"corolla with petals free.

LABEL: neutral

SENTENCE 1:
corolla with petals free.

LABEL","corolla with petals free, and with a calyx of five sepals.

LABEL: positive

SENTENCE 1:
cor",0.18,0.16,0.5,0.32
"In weather terms, the boundary between two air masses is called front.","BACK A back is the boundary between two different air masses.

LABEL: entails

SENTENCE 1:
FRONT A front is the","FRONT A front is the boundary between two different air masses.

LABEL: entailment

SENTENCE 1:
FRONT A front",0.44,0.47,0.28,0.38
The thyroid gland is controlled by a negative feedback loop that includes the hypothalamus and pituitary gland.,"Pediatric Neuro-Endocrinologist The pituitary, thyroid and hypothalamus are glands in the brain that secrete hormones that control metabolism, growth and sexual development.","Pediatric Neuro-Endocrinologist The pituitary, thyroid and hypothalamus are glands in the brain that secrete hormones that control metabolism, growth and sexual development.",0.2,0.2,0.36,0.36
Plasma matter makes up most of the universe.,"The universe is in the plasma state.

LABEL: entails

SENTENCE 1:
The universe is in the plasma state.

","Most of the universe is in the plasma state.

LABEL: entailment

SENTENCE 1:
The universe is mostly plasma.
",0.23,0.31,0.47,0.44
An object attached to a spring sliding on a frictionless surface is an uncomplicated type of simple harmonic oscillator.,"The movement of the oscillating springs is also called simple harmonic motion.

LABEL: neutral

SENTENCE 1:
This kind of wave pattern","This kind of wave pattern is called periodic waves, and its movement is also classified with oscillating springs as simple harmonic motion.

LABEL: positive

",0.15,0.14,0.27,0.25
"During the first year after birth, a baby called a(n) infant.","Improving the health, nutrition, and maternity care of women would improve the prospects for the 7 million infants who die during their first week of life and the","Improving the health, nutrition, and maternity care of women would improve the prospects for the 7 million infants who die during their first week of life and the",0.1,0.1,0.17,0.17
Gabbro is a dark dense rock that can be found in the oceanic crust.,"The continental crust is usually thicker than the oceanic crust.

LABEL: neutral

SENTENCE 1:
When oceanic crust and continental","When oceanic crust and continental crust collide, continental crust, being less dense will usually ride up over the oceanic crust.

LABEL: positive",0.24,0.22,0.21,0.19
Mitosis actually occurs in four phases.,"The process of mitosis is traditionally divided into four main phases, which are arbitrary divisions of a continuous process.

LABEL: entails

SENT","The process of mitosis is traditionally divided into four main phases, which are arbitrary divisions of a continuous process.

LABEL: entailment

S",0.21,0.21,0.17,0.23
A(n) organ is a structure that is composed of one or more types of tissues.,"organ A structure composed of different tissues, such as root, stem, leaf, or reproductive (e.g., flower) parts.

LABEL:","organ A structure composed of different tissues, such as root, stem, leaf, or reproductive (e.g., flower) parts.

LABEL:",0.34,0.34,0.47,0.47
When liquid water changes to water vapor it is called evaporation.,"Condensation is the opposite of evaporation, the process of liquid water turning into water vapor.

LABEL: entails

SENTENCE 1:
","Evaporation is the process of water vapor turning into liquid water.

LABEL: entailment

SENTENCE 1:
Evaporation is the",0.27,0.21,0.21,0.35
All types of cells are enclosed by a membrane.,"All living cells have a plasma membrane that encloses their contents.

LABEL: entails

SENTENCE 1:
All living cells have a","All living cells have a plasma membrane that encloses their contents.

LABEL: entailment

SENTENCE 1:
All living cells have",0.28,0.29,0.31,0.31
Hemodialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine.,"Hemodialysis is a treatment for kidney failure.

LABEL: entailment

SENTENCE 1:
Hemodialysis is a","Hemodialysis is a treatment for kidney failure.

LABEL: entailment

SENTENCE 1:
Hemodialysis is a",0.18,0.18,0.25,0.25
A concave lens is thicker at the edges than it is in the middle.,"The lens C is a convex lens.

LABEL: positive

SENTENCE 1:
Lens C, on the right, is a","Lens C, on the right, is a double convex lens.

LABEL: positive

SENTENCE 1:
Lens C,",0.25,0.2,0.25,0.25
Ocean acidification occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic.,"The ocean-atmosphere carbon dioxide system is a global carbon sink.

LABEL: positive

SENTENCE 1:
The ocean-","Modeling the global ocean-atmosphere carbon dioxide system is becoming increasingly important to greenhouse gas policy.

LABEL: positive

SENTENCE",0.24,0.23,0.18,0.09
