completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Lina Joy's parents are from Malaysia.," as Malay.

SENTENCE 2:
Lina Joy, 42, was born Azlina Jailani to Malay parents, and was raised as","ad, she still listed her religion as ""Muslim.""

SENTENCE 2:
Lina Joy, 42, was born Azlina Jailani",0.24,0.17,0.47,0.25
The Berlin Wall was torn down in 1989.," Eastern Europe.

SENTENCE 2:
November 9, 1989, the day the Berlin Wall fell and the world changed forever. Not even the most"," as a major factor in the fall of the Wall.

SENTENCE 2:
The Berlin Wall fell on November 9, 1989, the day the",0.2,0.26,0.28,0.3
"Valero Energy Corp. produces 250,000 barrels per day.","Valero Energy Corp., on Monday, said it found ""extensive"" additional damage at its 250,000-barrel-per-day Port Arthur ref","Valero Energy Corp., on Monday, said it found ""extensive"" additional damage at its 250,000-barrel-per-day Port Arthur ref",0.47,0.47,0.33,0.33
Oil prices rise.,"Oil prices fall back as Yukos oil threat lifted

LABEL: 2

SENTENCE 3:
Oil prices fall back as Yuk","Oil prices fall back as Yukos oil threat lifted

LABEL: 2

SENTENCE 1:
Oil prices fall back as Yuk",0.18,0.18,0.38,0.37
"The quarterback threw for 413 yards and three touchdowns, and then ran to the end zone two more times.","The Cardinals are the only team in the country to have won at least five games in each of the last three seasons.

LABEL: 2

","The Cardinals beat the Beavers 63-27.

LABEL: 2

SENTENCE 1:
The Cardinals beat the Beavers 63-",0.14,0.11,0.17,0.38
Greg Page was a WBA champion.," round.

SENTENCE 2:
Greg Page, a former heavyweight boxing champion who suffered a severe brain injury in a 2001 fight, has died"," fight, which he lost by unanimous decision.

SENTENCE 2:
The former heavyweight boxing champion Greg Page has died at the age of 50",0.29,0.14,0.23,0.31
"Sierra once reached the finals of ""American Idol""."," from.

SENTENCE 2:
Sierra is likely to remain in jail at the Hillsborough County jail in her native Tampa until her next hearing"," officers at a Tampa nightclub.

SENTENCE 2:
Sierra is likely to remain in jail at the Hillsborough County jail in her native",0.13,0.13,0.15,0.19
In the early 1990s Brazil began to take action to save the rainforest.,"The government has also taken steps to reduce the destruction of forests, including the establishment of a national forestry agency and the creation of a national forestry policy.","The government has also taken steps to reduce the destruction of forests, including the creation of a new agency to oversee the country's forestry sector.

LAB",0.15,0.2,0.3,0.2
Sepp Blatter is the president of FIFA.," the correct answer.

SENTENCE 2:
FIFA has received 11 bids to host the 2018 and 2022 FIFA World Cup tournaments, an international",", Canada, Costa Rica, Croatia, Denmark, France, Germany, Greece, Italy, Mexico, Netherlands, Norway, Poland, Portugal, Spain, Sweden,",0.14,0.0,0.1,0.23
"Crude the light American lowered to the closing 1.32 dollars, to 42.83 dollars the barrel.","U.S. crude settled $1.32 lower at $42.83 a barrel.

LABEL: 2

SENTENCE 1:","U.S. crude settled $1.32 lower at $42.83 a barrel.

LABEL: 2

SENTENCE 1:",0.36,0.36,0.35,0.35
In 2002 near Stuttgart a boy shot 16 people.,"age.

SENTENCE 2:
The gunman, who was wearing a bulletproof vest, was killed by police after a standoff that lasted"," in a school in the western city of Hanau in 2015, in a state of shock.

SENTENCE 2:
The gunman, identified",0.07,0.13,0.06,0.14
Everglades National Park is located in Florida.,"Talisman's holdings in Palm Beach and Hendry counties are the most valuable in the state, and the company's stock is up more than 50 percent this year",The sale of Talisman's holdings in Palm Beach and Hendry counties is a major step in the process of restoring Everglades National Park to its natural state,0.06,0.17,0.28,0.31
Rabies is fatal in humans.,"Rabies virus infects the central nervous system, causing encephalopathy and ultimately death. Early symptoms of rabies in humans are nonspecific, consisting of fever","Rabies virus infects the central nervous system, causing encephalopathy and ultimately death. Early symptoms of rabies in humans are nonspecific, consisting of fever",0.21,0.21,0.47,0.47
PM often entered markets with both cigarettes and food.,"The tobacco industry was showing a profit most quarters due to export sales of cigarettes and diversification of products sold including food.

LABEL: 2

","The company was showing a profit most quarters due to export sales of cigarettes and diversification of products sold including food.

LABEL: 2

S",0.18,0.18,0.31,0.29
"Humans existed 10,000 years ago.","The development of agriculture by early humans, roughly 10,000 years ago, was also harmful to many natural ecosystems as they were systematically destroyed and replaced with artificial versions","The development of agriculture by early humans, roughly 10,000 years ago, was also harmful to many natural ecosystems as they were systematically destroyed and replaced with artificial versions",0.29,0.29,0.33,0.33
Pibul was a young leader.,"The coup leaders, Pibul Songgram and Pridi Phanomyang, were educated in Europe and influenced by Western ideas.

LABEL:","The two young leaders of the coup, Pibul Songgram and Pridi Phanomyang, both educated in Europe and influenced by Western ideas, came",0.09,0.07,0.21,0.28
"Lin Piao wrote the ""Little Red Book"".","Lin Piao, after all, was the creator of Mao's ""Little Red Book"" of quotations.

LABEL: 1

SENTENCE","Lin Piao, after all, was the creator of Mao's ""Little Red Book"" of quotations.

LABEL: 1

SENTENCE",0.48,0.48,0.35,0.35
Bacteria is winning the war against antibiotics.,"The bacteria that survive the antibiotics are resistant to the antibiotics that are used to treat them.

LABEL: 2

SENTENCE 3:
","The bacteria that survived the antibiotics are now resistant to the antibiotics that were used to treat the original infection.

LABEL: 2

SENTENCE",0.21,0.2,0.22,0.18
The introduction of the euro has been opposed.,"The Bundesbank opposed the introduction of the euro but was compelled to accept it in light of the political pressure of the capitalist politicians who supported its introduction.

","The Bundesbank opposed the introduction of the euro but was compelled to accept it in light of the political pressure of the capitalist politicians who supported its introduction.

",0.28,0.28,0.44,0.44
Three rebels were killed by government troops.,"The Armed Forces Press Committee (COPREFA) said that the government troops suffered no casualties in these clashes, adding that they inflicted no casualties on the rebels.","The Armed Forces Press Committee (COPREFA) admitted that the government troops sustained 11 casualties in these clashes, adding that they inflicted three casualties on the rebels.",0.12,0.12,0.44,0.45
Drug legalization has benefits.,"The economic benefits of legalizing marijuana are not the basis of Canada's public policy decisions.

LABEL: 1

SENTENCE 3:
","The study shows that the legalization of marijuana will not have a negative impact on the economy.

LABEL: 1

SENTENCE 1:",0.08,0.08,0.16,0.17
30 beautifully preserved mummies have been located in the south of Cairo.,"ummies, the site also contains a large number of ancient Egyptian artifacts.

SENTENCE 2:
Archaeologists have found approximately 30 beautifully preserved"," Dam.

SENTENCE 2:
The mummies were found in a 4,000 year old necropolis which held 53 tombs.
",0.18,0.13,0.36,0.27
Aspirin prevents gastrointestinal bleeding.,"Gastrointestinal bleeding can happen as an adverse effect of non-steroidal anti-inflammatory drugs such as aspirin or ibuprofen.

LABEL","The patient was admitted to the hospital with a history of gastrointestinal bleeding.

LABEL: 2

SENTENCE 1:
The patient was admitted",0.17,0.16,0.33,0.33
Hooper is a citizen of Portland.,"Hooper was a former employee of the company, David Vance of South Portland, said Hooper spent a lot of time on the road, often meeting with","Hooper was a former employee of the company, David Vance of South Portland, said Hooper spent a lot of time on the road, often meeting with",0.25,0.25,0.26,0.26
Cyprus was divided into two parts on May 1.,"Cyprus, divided or not, joins the EU on the 1st of May.

LABEL: 2

SENTENCE 3:
Cy","Cyprus, divided or not, joins the EU on the 1st of May.

LABEL: 2

SENTENCE 1:
Cy",0.31,0.38,0.23,0.24
North Korea says it has a stockpile of nuclear weapons and is building more.,"The United States and South Korea have agreed to deploy a new missile defense system to protect against North Korea's nuclear and missile threats.

LABEL: 2","The United States and South Korea have agreed to hold joint military exercises in the spring, the first since the end of the Cold War.

LABEL:",0.2,0.1,0.21,0.13
Gbagbo is a competitor of Ouattara.,"The laws also concern the electoral commission, which is responsible for the election.

LABEL: 1

SENTENCE 3:
The laws also","The law also prohibits the use of the term ""slave"" in any context, and the government has been accused of using the law to stifle criticism of its",0.08,0.06,0.22,0.14
Mohandas received the Nobel Prize in 1989.,"Mohandas Karamchand Gandhi was nominated for the Nobel Peace Prize five times between 1937 and 1948.

LABEL: 2

SENT","Mohandas Karamchand Gandhi never received the Nobel Peace Prize, though he was nominated for it five times between 1937 and 1948.

LABEL",0.31,0.34,0.14,0.22
It seems unlikely that there will be a coalition between Gerhard Schroeder's Social Democrats and Angela Merkel's Christian Democratic Union.,"The Christian Democrats (CDU) won 35.2% of the vote, or 225 seats, against 34.3% for Chancellor Gerhard Schroeder","The Christian Democrats (CDU) won 35.2% of the vote, or 225 seats, against 34.3% for Chancellor Gerhard Schroeder",0.1,0.1,0.3,0.3
King Edward VIII abdicated in December 1936.,"The King of England was abdicated in 1936.

LABEL: 1

SENTENCE 3:
The King of England was abd","The Queen of England is the longest reigning monarch in British history.

LABEL: 1

SENTENCE 1:
The Queen of England",0.32,0.07,0.45,0.28
Stephen Grosz is the British lawyer of David Hicks.,"The decision is a victory for the rule of law and for the principle that the British Government has a duty to grant citizenship to all British citizens.""

S"," to refuse"" citizenship to Hicks, who was born in Australia.

SENTENCE 1:
The Australian Government has refused to grant citizenship to a man",0.16,0.06,0.16,0.28
Marine vegetation is  harvested.,"Rockweed is a valuable seaweed that is harvested commercially in Nova Scotia.

LABEL: 1

SENTENCE 3:
Rockweed is","Rockweed is a perennial, rhizomatous, herbaceous, brown-green seaweed that grows in shallow water.

LABEL: 1
",0.18,0.1,0.21,0.23
Musharraf has ordered rioters to take firm action against security forces.,"old leader should be replaced.

SENTENCE 2:
Pakistan's President Pervez Musharraf has ordered security forces to take firm action against"," senior Pakistani official says the government is taking the situation seriously.

SENTENCE 1:
Pakistan's President Pervez Musharraf has ordered security",0.5,0.25,0.39,0.39
Michael Bloomberg is the mayor of New York.," the Center for Disease Control and Prevention, wrote in the article that a soda tax would be ""a major step toward reducing the epidemic of obesity and diabetes.""
"," Frieden, said the soda tax would be ""a major step in the right direction"" for the city's health.

SENTENCE 2:
",0.11,0.07,0.14,0.11
"Officials said that the suspect, a Finnish citizen, was among the dead.","The suspect was among the dead but did not provide a motive for the attack.

LABEL: 1

SENTENCE 3:
The suspect","The suspect was among the dead but did not provide a motive for the attack.

LABEL: 1

SENTENCE 1:
The suspect",0.36,0.36,0.3,0.3
The military protection zone around Falklands was lifted.,"Britain has agreed to lift the military protection zone around the Falkland Islands, but the islands remain under Argentine control.

LABEL: 1

","Britain agreed to lift by March 31 a 150-mile military protection zone enforced around the islands since Argentina invaded them in 1982.

LABEL: 1",0.33,0.24,0.4,0.28
An Indonesian ferry with 300 passengers sank.,"th of October, the waves are expected to reach up to 3.5 meters.""

SENTENCE 2:
The ferry owner PT Nur Bud",".

SENTENCE 2:
The ferry owner PT Nur Budi's spokesman blamed Indonesian port authorities for the tragedy. ""The passenger capacity of",0.07,0.07,0.09,0.14
The riots in Greece started on December 6.," few anarchists were arrested.

SENTENCE 2:
The Greek police and the anarchists clashed in the centre of Athens during the anti-"," and police.

SENTENCE 2:
The Greek police and the anarchists clashed in the centre of Athens during the anti-war demonstration of",0.14,0.13,0.22,0.21
One case involved the extradition of Libyan suspects in the Pan Am Lockerbie bombing.,"The case against the Libyans is based on the fact that they were charged with blowing up a Pan Am jet over Lockerbie in 1988.

","The US and Britain have accused Libya of being behind the bombing of Pan Am Flight 103 over Lockerbie, Scotland, in December 1988.

LABEL",0.31,0.32,0.55,0.2
Argentina sought UK expertise on privatization and agriculture.,"Britain's privatization program was a success.

LABEL: 2

SENTENCE 3:
Britain's privatization program was a","Britain encouraged Argentina to privatize its economy.

LABEL: 2

SENTENCE 1:
Britain encouraged Argentina to privatize its",0.08,0.08,0.32,0.34
Garry Breitkreuz is a member of the Conservative Party.," Leader Stephen Harper has said that he will not support any legislation that would allow the federal government to take away the rights of gun owners.

SENTENCE",", the Conservatives have not provided any details on how they will reduce gun crime.

SENTENCE 2:
""The Conservatives have also failed to provide",0.06,0.06,0.07,0.13
"At the age of one year, male mice were fed with a diet in which 60 percent of calories came from fat.","EL: The researchers in the latest study fed one group of mice a diet in which 60 percent of calories came from fat. The diet started when the mice,",".

SENTENCE 2:
The researchers in the latest study fed one group of mice a diet in which 60 percent of calories came from fat.",0.55,0.61,0.44,0.56
The soldiers were driving a civilian car and were dressed in civilian clothes when a shooting took place between them and Iraqi patrols.,"The soldiers, who were said to have been wearing Arab headdress, were accused of firing at Iraqi police when stopped at a road block.

LAB","The soldiers, who were said to have been wearing Arab headdress, were accused of firing at Iraqi police when stopped at a road block.

LAB",0.25,0.25,0.38,0.38
"U.N. weapons inspectors could stay in Iraq, Clinton said.","The United States would like to see U.N. weapons inspectors return to Iraq providing the Iraqis take concrete, affirmative and demonstrable actions ""to show","The United States would like to see U.N. weapons inspectors return to Iraq providing the Iraqis take concrete, affirmative and demonstrable actions ""to show",0.29,0.29,0.25,0.25
A patrol car was attacked by the San Carlos Battalion.,"On 12 August, the San Carlos Battalion came across mines placed in their path and one soldier was killed while two were seriously injured. Meanwhile on 10 August, urban",":
On 12 August, the San Carlos Battalion came across mines placed in their path and one soldier was killed while two were seriously injured. Meanwhile on 10 August",0.21,0.21,0.27,0.35
Bomb-sniffing dogs were estimated at Rodriguez's Mulberry St. apartment.,"Rodriguez's apartment was searched by bomb-sniffing dogs.

LABEL: 2

SENTENCE 3:
Rodriguez","The bomb-sniffing dogs were brought to Rodriguez's Mulberry St. apartment.

LABEL: 2

SENTENCE 1:
",0.32,0.67,0.41,0.52
Male fertility may be affected by use of a mobile phones.,"The new research has been published in the journal Nature.

LABEL: 1

SENTENCE 3:
The research has been carried out by","The new research, published in the journal Nature, found that sperm count was reduced by up to 30% in men who used mobile phones for more than an hour",0.06,0.15,0.2,0.51
Lufthansa Technik Automotive fires 30 workers.," but is seeking to improve working conditions for its employees.

SENTENCE 2:
The company's management has proposed a number of changes to the working",".

SENTENCE 2:
The company has said that the proposals would allow it to reduce the number of workers at the plant, which employs about",0.0,0.07,0.17,0.11
GATT was formed in 1947.,"The GATT is a multilateral agreement that sets rules for international trade.

LABEL: 2

SENTENCE 3:
The GATT","The GATT was a trade agreement that was signed in 1947 and modified in multiple rounds of negotiations since then.

LABEL: 2

SENT",0.09,0.29,0.28,0.24
Cheney cursed at Sen. Patrick Leahy.,Vice President Dick Cheney on Tuesday hurled an obscenity on the Senate floor to punctuate an angry exchange with Vermont Sen. Patrick Leahy as,Vice President Dick Cheney on Tuesday hurled an obscenity on the Senate floor to punctuate an angry exchange with Vermont Sen. Patrick Leahy as,0.27,0.27,0.31,0.31
In the May 2005 general election Conservatives got 33 seats.,"In the May 2005 general election Michael Howard failed to unseat the Labour Government, although the Conservatives did gain 33 seats, playing the most significant role in reducing Labour","In the May 2005 general election Michael Howard failed to unseat the Labour Government, although the Conservatives did gain 33 seats, playing the most significant role in reducing Labour",0.46,0.46,0.53,0.53
Dagbladet is a Norwegian newspaper.,The Norwegian Newspaper Corpus is a large and self-expanding corpus of Norwegian newspaper texts. The collection of this dynamic and continually growing corpus began in 1998,The Norwegian Newspaper Corpus is a large and self-expanding corpus of Norwegian newspaper texts. The collection of this dynamic and continually growing corpus began in 1998,0.25,0.25,0.38,0.38
"Formerly ( until 1949 ) Batavia, Jakarta is largest city and capital of Indonesia.","The Dutch, who ruled Indonesia until 1949, called the city of Jakarta Batavia.

LABEL: 2

SENTENCE 3:
","The Dutch, who ruled Indonesia until 1949, called the city of Jakarta Batavia.

LABEL: 2

SENTENCE 1:
",0.28,0.28,0.2,0.2
James Bond was created by Ian Fleming.,") by Ian Fleming, which was published in the September 1963 issue of the British magazine ""The Spectator"".

SENTENCE 2:
The name"," film was announced by the film's director, Martin Campbell, who said: ""I'm delighted to announce that the new James Bond film will be called Quantum of",0.21,0.11,0.21,0.18
Obesity is medically treated.,"The gastric bypass operation, also known as stomach stapling, has become the most common surgical procedure for treating obesity.

LABEL: 1

S","The gastric bypass operation, also known as stomach stapling, has become the most common surgical procedure for treating obesity.

LABEL: 1

S",0.08,0.08,0.21,0.21
U.S. consumer spending dived in June.,"The cost of the consumer of the United States fell in June.

LABEL: 2

SENTENCE 1:
The cost of the consumer","The cost of the consumer of the United States fell in June.

LABEL: 2

SENTENCE 1:
The cost of the consumer",0.21,0.21,0.42,0.42
Some Australians have fasted to protest.," release.

SENTENCE 2:
The former leader of Iraq was rushed to hospital last Sunday after refusing to eat for sixteen days. But according to"," other prisoners who are also in the hospital.

SENTENCE 2:
The former leader of Iraq was rushed to hospital last Sunday after refusing to eat",0.07,0.06,0.1,0.2
Sonia Gandhi is defeated by BJP.,"Sonia Gandhi can be defeated in the next elections in India by BJP.

LABEL: 2

SENTENCE 1:
Sonia Gandhi","Sonia Gandhi can be defeated in the next elections in India by BJP.

LABEL: 2

SENTENCE 1:
Sonia Gandhi",0.4,0.4,0.52,0.52
"Palestinian leader, Mahmoud Abbas, may be someone Israel can talk with.","Israeli Prime Minister Ariel Sharon has said that Mahmoud Abbas is a man that Israel can do business with.

LABEL: 1

","Israeli Prime Minister Ariel Sharon has said that Mahmoud Abbas is a man that Israel can do business with.

LABEL: 1

",0.31,0.31,0.47,0.47
Hugh Jackman plays the role of Wolverine in the movie.,".am,  and others.

SENTENCE 2:
The Tempe Hometown Premiere will have all the trappings of a mega-",", Anna Paquin, and others.

SENTENCE 2:
The Tempe Hometown Premiere will have all the trappings of a mega",0.15,0.14,0.02,0.03
A member of the opposition was injured in a car bomb attack in Beirut.,"In October, however, amid rising tensions between the government and opposition groups, a car bomb seriously injured an opposition politician and killed his driver, in Beirut","In October, however, amid rising tensions between the government and opposition groups, a car bomb seriously injured an opposition politician and killed his driver, in Beirut",0.35,0.35,0.47,0.47
skin cancer numbers increase.,"Weinstock painstakingly reviewed dozens of studies for evidence of any link between sunscreen use and either an increase or decrease in melanoma.

","Weinstock painstakingly reviewed dozens of studies for evidence of any link between sunscreen use and either an increase or decrease in melanoma.

",0.08,0.08,0.16,0.16
Robots are used to find missing victims.,"The idea of robots taking part in rescue and recovery missions is not new.

LABEL: 1

SENTENCE 3:
The idea of","The St. Bernards are a breed of dog that are known for their ability to swim.

LABEL: 1

SENTENCE 1:",0.07,0.15,0.21,0.08
Charlton Heston was born in Illinois.,"Heston was a 27-year-old actor from Broadway and television when he arrived in Hollywood for a five-picture contract with Hal Wallis.

","The film was a box office success, and Heston was nominated for an Academy Award for Best Actor.

LABEL: 1

SENTENCE",0.2,0.15,0.33,0.11
Babe Ruth hit 60 home runs in his lifetime.,"Ruth's 1927 single season record of 60 home runs stood unsurpassed until Roger Maris hit 61 in 1961.

LABEL: 2

","Ruth's 1927 single season record of 60 home runs stood unsurpassed until Roger Maris hit 61 in 1961.

LABEL: 2

",0.33,0.33,0.15,0.15
Maglev is commercially used.,"The German technology was employed to build Shanghai's existing maglev line, the first in the world to be used commercially.

LABEL: 1

","The German technology was employed to build Shanghai's existing maglev line, the first in the world to be used commercially.

LABEL: 1

",0.15,0.15,0.26,0.26
Clay Roueche is 33 years old.," long prison term.

SENTENCE 2:
SEATTLE — United Nations gang leader Clay Roueche should spend at least 30 years behind bars"," drug trafficking operation he led were ""unprecedented.""

SENTENCE 1:
SEATTLE — United Nations gang leader Clay Roueche should spend",0.23,0.17,0.41,0.19
Tom Baker works for BT.," that the voice is not a robot, but a human voice.

SENTENCE 2:
The voice is not a robot, but a human voice"," the data and create the voice.

SENTENCE 2:
The voice of the computer-synthesised voice was chosen as it was instantly recogn",0.0,0.0,0.5,0.28
Nobel Peace Prize candidates have been chosen.,The Norwegian Nobel Committee is responsible for the selection of the candidates and the choice of Prize Winners for the Peace Prize. The Committee is composed of five members appointed,"SENTENCE 1:
The Norwegian Nobel Committee is responsible for the selection of the candidates and the choice of Prize Winners for the Peace Prize. The Committee",0.16,0.18,0.5,0.4
"Dead dolphins, turtles and whales have been found on African beaches.","The number of dolphins, marine turtles and beaked whales washed up dead on beaches in Africa has increased.

LABEL: 1

S","The dolphins, turtles and whales were washed up on beaches in Africa.

LABEL: 1

SENTENCE 1:
The d",0.37,0.41,0.39,0.35
Noraini had a twin sister called Endon.," Malaysia in 2005.

SENTENCE 2:
Endon was respected for her humble, unassuming personality. She was popularly referred to as """," underwent chemotherapy. She was diagnosed with stage 4 breast cancer in 2005. She died in 2006.

SENTENCE 2:
Endon was respected for",0.08,0.07,0.26,0.18
Hillary Clinton is Bill's sister.,", SLM was sold to a group of investors led by the late Stan Lee.

SENTENCE 2:
The plaintiffs in this most recent suit"," Hillary Clinton, and a $1.5 million loan from the Clinton Foundation.

SENTENCE 2:
The plaintiffs in this most recent suit contend",0.0,0.14,0.08,0.18
Alex Da Silva is a student of salsa dance.," on $1 million bail.

SENTENCE 2:
Alex Da Silva, a salsa dance instructor and choreographer for Fox's ""So You"," the past two years.

SENTENCE 1:
Alex Da Silva, a salsa dance instructor and choreographer for Fox's ""So You Think",0.41,0.4,0.26,0.33
Ruth hit 47 runs in his lifetime.,"Ruth's home runs were the most important reason the American League won the World Series in 1926.

LABEL: 2

SENTENCE 3","Ruth was the first player to hit a home run in the first inning of a World Series game.

LABEL: 2

SENTENCE",0.21,0.21,0.08,0.15
Arnold Schwarzenegger was elected Governor of California.,"On Tuesday, October 7, 2003, Arnold Schwarzenegger was elected Governor of California.

LABEL: 1

SENTENCE 3","On Tuesday, October 7, 2003, Arnold Schwarzenegger was elected Governor of California.

LABEL: 1

SENTENCE 1",0.61,0.61,0.36,0.42
Eugene W. Weaver is the husband of Patricia Amy.,"Patricia Amy Messier and Eugene W. Weaver were married May 28 at St. Clare Roman Catholic Church in North Palm Beach.

LABEL: 1","Patricia Amy Messier and Eugene W. Weaver were married May 28 at St. Clare Roman Catholic Church in North Palm Beach.

LABEL: 1",0.19,0.19,0.2,0.2
Mussolini's mistress was Clara Petacci.,"On April 28 1945, at the Piazzale Loreto in Milan, Benito Mussolini and his mistress Clara Petacci were shot and h","On April 28 1945, at the Piazzale Loreto in Milan, Benito Mussolini and his mistress Clara Petacci were shot and h",0.3,0.3,0.33,0.33
Jupiter has Twelve moons.,"The moon of Jupiter is the largest moon in the solar system.

LABEL: 2

SENTENCE 3:
The moon of Jupiter is",The moon of Jupiter is the smallest of the four moons that are relatively small and seem to have been more likely captured than to have been formed in orbit around,0.08,0.11,0.31,0.3
Zapatero participated in the Ibero-American meeting in Costa Rica.,":
Zapatero visited the following cities in four days: Brasilia, São Paulo, Buenos Aires and Santiago de Chile. According to official sources these","

SENTENCE 2:
The following cities are in the list of cities visited by Zapatero: Brasilia, São Paulo, Buenos Aires",0.18,0.13,0.21,0.29
The parts of Jakarta away from the coast are on slightly higher land.,"Jakarta is the capital of Indonesia.

LABEL: 1

SENTENCE 3:
Jakarta is the capital of Indonesia.","Jakarta lies on a low, flat alluvial plain with historically extensive swampy areas; the parts of the city farther inland are slightly higher.
",0.28,0.39,0.49,0.58
Proceeds go to Hepburn's family.,"The money raised from the sale will go into a trust for Hepburn's family.

LABEL: 1

SENTENCE 3:
The","The family will receive a cheque for $1,000.

LABEL: 1

SENTENCE 1:
The family will receive a",0.31,0.08,0.18,0.28
Kennon did not participate in WWII.,"As a member of the National Guard, he was called to duty in 1941. Although Kennon did not see active combat, he did not return home from World","As an active member of the National Guard, he was called to duty in 1941. Although Kennon did not see active combat, he did not return home from",0.18,0.18,0.31,0.22
The Auburn High School Athletic Hall of Fame has ten members.,"The Auburn High School Athletic Hall of Fame recently introduced its Class of 2005 which includes 10 members.

LABEL: 2

SENTENCE 3:","The Auburn High School Athletic Hall of Fame recently introduced its Class of 2005 which includes 10 members.

LABEL: 2

SENTENCE 1:",0.55,0.55,0.35,0.32
800 Mexicans have been affected by a new form of swine influenza.," said the new strain was more virulent than the one that has killed more than 100 people in Mexico and the United States.

SENTENCE 2:"," the virus in the United States.

SENTENCE 1:
MEXICO CITY (Reuters) - A deadly strain of swine flu never seen before",0.05,0.19,0.09,0.3
Ayrton Senna had the accident that caused his death at the San Marino Grand Prix.,Doctors who treated Ayrton Senna after he crashed during the San Marino Grand Prix have denied allegations that the Brazilian driver died at the Imola track,The driver of the car that crashed into Ayrton Senna at the San Marino Grand Prix has denied allegations that he died at the Imola track.,0.34,0.39,0.43,0.5
translator kidnapped in Iraq,"The two Turkish engineers and an Afghan translator were freed Friday.

LABEL: 2

SENTENCE 3:
The two Turkish engineers and an","The two engineers were kidnapped in December in Afghanistan.

LABEL: 2

SENTENCE 1:
The two engineers were kidnapped in December in",0.08,0.16,0.28,0.44
Legal costs to recover punitive damages are a deductible business expense.,"The plaintiffs in the Texas cases were successful in recovering punitive damages.

LABEL: 2

SENTENCE 3:
The plaintiffs in the Texas","The plaintiff in the case was a woman who was fired from her job as a waitress.
She sued the restaurant for discrimination.

LABEL:",0.12,0.06,0.34,0.16
The New York Hotel and Motel Trades Council is an alliance of hotel unions.," back.

SENTENCE 2:
The unions are also demanding that the city's hotels cut their prices by 10 percent, a move that would save"," and are refusing to budge.

SENTENCE 2:
The union leaders are demanding a wage cut of 10 percent, but the hotel owners are",0.11,0.16,0.17,0.24
Hubble discovers black holes.,"The discovery is based on the velocity measurements of a whirlpool of hot gas orbiting the black hole.

LABEL: 2

SENTENCE","The discovery is based on velocity measurements of a whirlpool of hot gas orbiting the black hole.

LABEL: 2

SENTENCE 1",0.08,0.08,0.05,0.1
