completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
A sedan is stuck in the middle of a river.,"A land rover is being driven across a river.

LABEL: 2

SENTENCE 3:
A land rover is being driven","A land rover is being driven across a river.

LABEL: 2

SENTENCE 1:
A land rover is being driven",0.28,0.28,0.35,0.35
A man playing banjo on the floor.,"A man playing an electric guitar on stage.

LABEL: 1

SENTENCE 3:
A man playing an electric guitar on stage.","A man playing an electric guitar on stage.

LABEL: 3

SENTENCE 3:
A man playing an electric guitar on stage.",0.3,0.3,0.57,0.59
A man playing guitar on stage.,"A man playing an electric guitar on stage.

LABEL: 1

SENTENCE 1:
A man playing an electric guitar on stage.","A man playing an electric guitar on stage.

LABEL: 1

SENTENCE 1:
A man playing an electric guitar on stage.",0.46,0.46,0.72,0.72
A doctor is looking at a book,"A blond-haired doctor and her African american assistant looking threw new medical manuals.

LABEL: 1

SENTENCE 3:
","A blond-haired doctor and her African american assistant looking threw new medical manuals.

LABEL: 1

SENTENCE 1:
",0.24,0.24,0.29,0.28
A man is eating pb and j,"A blond-haired doctor and her African american assistant looking threw new medical manuals.

LABEL: 2

SENTENCE 3:
","A blond-haired doctor and her African american assistant looking threw new medical manuals.

LABEL: 3

SENTENCE 3:
",0.16,0.16,0.11,0.12
A boy runs into a wall,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.

LABEL","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.

SENT",0.12,0.12,0.21,0.23
A tan girl runs leans over an object,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.

LABEL","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.

LABEL",0.29,0.29,0.43,0.43
A family is out at a restaurant.,"A young family enjoys feeling ocean waves lap at their feet.

LABEL: 2

SENTENCE 3:
A young family enjoys feeling ocean","A young family enjoys feeling ocean waves lap at their feet.

LABEL: 3

SENTENCE 3:
A young family enjoys feeling ocean",0.29,0.29,0.33,0.33
A family is at the beach.,"A young family enjoys feeling ocean waves lap at their feet.

LABEL: 1

SENTENCE 1:
A young family enjoys feeling ocean","A young family enjoys feeling ocean waves lap at their feet.

LABEL: 1

SENTENCE 1:
A young family enjoys feeling ocean",0.22,0.22,0.38,0.38
A couple is walking together.,"A couple walk hand in hand down a street.

LABEL: 1

SENTENCE 1:
A couple walk hand in hand down a","A couple walk hand in hand down a street.

LABEL: 1

SENTENCE 1:
A couple walk hand in hand down a",0.15,0.15,0.5,0.5
A couple is sitting on a bench.,"A couple walk hand in hand down a street.

LABEL: 2

SENTENCE 3:
A couple walk hand in hand down a","A couple walk hand in hand down a street.

LABEL: 2

SENTENCE 1:
A couple walk hand in hand down a",0.21,0.21,0.42,0.43
Three people sit by a busy street bareheaded.,"3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 3

SENTENCE 3:
","3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 3

SENTENCE 3:
",0.14,0.14,0.32,0.32
Three hood wearing people pose for a picture.,"3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 1

SENTENCE 1:
","3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 1

SENTENCE 1:
",0.07,0.07,0.24,0.24
Three hood wearing people stand in a street.,"3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 1

SENTENCE 1:
","3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 1

SENTENCE 1:
",0.21,0.21,0.3,0.3
The man is inside.,"A man reads the paper in a bar with green lighting.

LABEL: 1

SENTENCE 1:
A man reads the paper in","A man reads the paper in a bar with green lighting.

LABEL: 1

SENTENCE 1:
A man reads the paper in",0.16,0.16,0.36,0.36
The man is climbing a mountain.,"A man reads the paper in a bar with green lighting.

LABEL: 2

SENTENCE 3:
A man reads the paper in","A man reads the paper in a bar with green lighting.

LABEL: 2

SENTENCE 1:
A man reads the paper in",0.15,0.15,0.31,0.31
Three firefighters coming up from a subway station.,"Three firefighter come out of subway station.

LABEL: 1

SENTENCE 1:
Three firefighter come out of subway station.","Three firefighter come out of subway station.

LABEL: 1

SENTENCE 1:
Three firefighter come out of subway station.",0.23,0.23,0.67,0.67
Three firefighters playing cards inside a fire station.,"Three firefighter come out of subway station.

LABEL: 3

SENTENCE 3:
Three firefighter come out of subway station.","The three firefighters are in the subway station.

LABEL: 3

SENTENCE 3:
The three firefighters are in the subway station.",0.15,0.21,0.53,0.56
A person is near a pile of coconuts.,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 1

S","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 1

S",0.39,0.39,0.34,0.34
A person is burning a straw hat.,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 2

S","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 3

S",0.33,0.33,0.31,0.31
The guy in yellow is rolling on the grass,"Male in a blue jacket decides to lay in the grass.

LABEL: 2

SENTENCE 3:
Male in a blue jacket decides","Male in a blue jacket decides to lay in the grass.

LABEL: 3

SENTENCE 3:
Male in a blue jacket decides",0.2,0.2,0.36,0.35
The guy wearing a blue jacket is laying on the green grass,"Male in a blue jacket decides to lay in the grass.

LABEL: 1

SENTENCE 1:
Male in a blue jacket decides","Male in a blue jacket decides to lay in the grass.

LABEL: 1

SENTENCE 1:
Male in a blue jacket decides",0.3,0.3,0.52,0.52
A man ropes a calf successfully.,"During calf roping a cowboy calls off his horse.

LABEL: 2

SENTENCE 3:
During calf roping a cow","The cowboy calls off his horse.

LABEL: 3

SENTENCE 3:
The cowboy calls off his horse.

",0.17,0.0,0.31,0.4
A boy is on a playground.,"A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.

LABEL: 1

S","A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.

LABEL: 1

S",0.4,0.4,0.36,0.36
The boy is sitting on the school bus on his way home.,"A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.

LABEL: 2

S","A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.

LABEL: 3

S",0.17,0.17,0.21,0.22
A squatting woman wearing a hat touching the ground.,"A woman wearing a ball cap squats down to touch the cracked earth.

LABEL: 1

SENTENCE 1:
A woman wearing","A woman wearing a ball cap squats down to touch the cracked earth.

LABEL: 1

SENTENCE 1:
A woman wearing",0.34,0.34,0.33,0.33
A woman wearing a sun bonnet planting a garden.,"A woman wearing a ball cap squats down to touch the cracked earth.

LABEL: 1

SENTENCE 3:
A woman wearing","A woman wearing a ball cap squats down to touch the cracked earth.

LABEL: 3

SENTENCE 3:
A woman wearing",0.34,0.34,0.22,0.24
Two children are playing catch at a park.,"Two children are laying on a rug with some wooden bricks laid out in a square between them.

LABEL: 2

SENTENCE 3:","Two children re laying on a rug with some wooden bricks laid out in a square between them.

LABEL: 2

SENTENCE 1:",0.27,0.2,0.18,0.15
Two children are on a rug.,"Two children are laying on a rug with some wooden bricks laid out in a square between them.

LABEL: 1

SENTENCE 3:","Two children re laying on a rug with some wooden bricks laid out in a square between them.

LABEL: 1

SENTENCE 1:",0.43,0.36,0.38,0.35
a guy near a building stands by two other men,"A man standing in front of a building on the phone as two men to the side pain on the side.

LABEL: 1

SENT","A man standing in front of a building on the phone as two men to the side pain on the side.

LABEL: 1

SENT",0.29,0.29,0.41,0.41
two girls walk through a hall,"A man standing in front of a building on the phone as two men to the side pain on the side.

LABEL: 2

SENT","A man standing in front of a building on the phone as two men to the side pain on the side.

LABEL: 3

SENT",0.07,0.07,0.23,0.23
Girls are playing outdoors.,"The two young girls are dressed as fairies, and are playing in the leaves outdoors.

LABEL: 1

SENTENCE 1:
","The two young girls are dressed as fairies, and are playing in the leaves outdoors.

LABEL: 1

SENTENCE 1:
",0.35,0.35,0.31,0.31
Two girls play dress up indoors.,"The two young girls are dressed as fairies, and are playing in the leaves outdoors.

LABEL: 3

SENTENCE 3:
","The two young girls are dressed as fairies, and are playing in the leaves outdoors.

LABEL: 3

SENTENCE 3:
",0.16,0.16,0.34,0.34
People are jumping outside.,"People jump over a mountain crevasse on a rope.

LABEL: 1

SENTENCE 1:
People jump over a mountain cre","People jump over a mountain crevasse on a rope.

LABEL: 1

SENTENCE 1:
People jump over a mountain cre",0.09,0.09,0.38,0.38
People slide over a mountain crevasse on a slide.,"People jump over a mountain crevasse on a rope.

LABEL: 2

SENTENCE 3:
People jump over a mountain cre","People jump over a mountain crevasse on a rope.

LABEL: 3

SENTENCE 3:
People jump over a mountain cre",0.5,0.5,0.4,0.41
A snow field with a snowboarder on it,"A snowboarder on a wide plain of snow

LABEL: 1

SENTENCE 1:
A snowboarder on a wide plain","A snowboarder on a wide plain of snow

LABEL: 1

SENTENCE 1:
A snowboarder on a wide plain",0.38,0.38,0.48,0.48
The lady is cooking dinner,"A young man tending to a garden.

LABEL: 3

SENTENCE 3:
A young man tending to a garden.

","A young man tending to a garden.

LABEL: 2

SENTENCE 1:
A young man tending to a garden.

",0.0,0.0,0.53,0.51
The lady has a garden,"A young man tending to a garden.

LABEL: 1

SENTENCE 3:
A young man tending to a garden.

","A young man tending to a garden.

LABEL: 1

SENTENCE 1:
A young man tending to a garden.

",0.17,0.17,0.46,0.48
A man destroys a bike.,"A man in a black shirt overlooking bike maintenance.

LABEL: 2

SENTENCE 3:
A man in a black shirt overlooking bike","A man in a black shirt overlooking bike maintenance.

LABEL: 3

SENTENCE 3:
A man in a black shirt overlooking bike",0.31,0.31,0.38,0.4
A man watches bike repairs.,"A man in a black shirt overlooking bike maintenance.

LABEL: 1

SENTENCE 1:
A man in a black shirt overlooking bike","A man in a black shirt overlooking bike maintenance.

LABEL: 1

SENTENCE 1:
A man in a black shirt overlooking bike",0.23,0.23,0.5,0.5
A man is wearing a red shirt,"A man in a black shirt is looking at a bike in a workshop.

LABEL: 2

SENTENCE 3:
A man in","A man in a black shirt is looking at a bike in a workshop.

LABEL: 3

SENTENCE 3:
A man in",0.29,0.29,0.17,0.2
A man is in a black shirt,"A man in a black shirt is looking at a bike in a workshop.

LABEL: 1

SENTENCE 1:
A man in","A man in a black shirt is looking at a bike in a workshop.

LABEL: 1

SENTENCE 1:
A man in",0.43,0.43,0.21,0.21
A person is in a garage.,"A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENTENCE","A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENTENCE",0.21,0.21,0.22,0.22
A man repairs bicycles.,"A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENTENCE","A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENTENCE",0.15,0.15,0.17,0.17
A man waits outside a garage.,"A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

SENTENCE 1:
A man looking","A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

SENTENCE 1:
A man looking",0.26,0.26,0.33,0.33
Some people stand around.,"The man looks at the two women, the redheaded woman looks up and forward in an awkward position, the yellow blond woman twiddles with her hair.","The man looks at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair",0.0,0.0,0.33,0.31
People run together.,"The man looks at the two women, the redheaded woman looks up and forward in an awkward position, the yellow blond woman twiddles with her hair.","The man looks at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair",0.0,0.0,0.27,0.27
People wait at a station.,"The man looks at the two women, the redheaded woman looks up and forward in an awkward position, the yellow blond woman twiddles with her hair.","The man looks at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair",0.06,0.06,0.28,0.28
A child wearing a red top is standing behind a blond headed child,"A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.

LABEL: 1

SENTENCE 1","A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.

LABEL: 1

SENTENCE 1",0.76,0.76,0.5,0.5
A child wearing a red top is standing on top of a blond headed child,"A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.

LABEL: 2

SENTENCE 3","A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.

LABEL: 3

SENTENCE 3",0.67,0.67,0.42,0.47
A lady sitting on a bench in the park.,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.

LABEL: 3","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.

LABEL: 3",0.18,0.18,0.2,0.2
A person outside pushing a stroller.,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.

LABEL: 1","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.

LABEL: 1",0.32,0.32,0.34,0.34
A cat washes his face and whiskers with his front paw.,"A dog jumping for a Frisbee in the snow.

LABEL: 2

SENTENCE 3:
A dog jumping for a Fr","A dog jumping for a Frisbee in the snow.

LABEL: 3

SENTENCE 3:
A dog jumping for a Fr",0.07,0.07,0.3,0.31
"An animal is outside in the cold weather, playing with a plastic toy.","A dog jumping for a Frisbee in the snow.

LABEL: 1

SENTENCE 1:
A dog jumping for a Fr","A dog jumping for a Frisbee in the snow.

LABEL: 1

SENTENCE 1:
A dog jumping for a Fr",0.19,0.19,0.32,0.32
People are talking underneath a covering.,"People are conversing at a dining table under a canopy.

LABEL: 1

SENTENCE 1:
People are conversing at a","The waiter is serving the food.

LABEL: 1

SENTENCE 1:
The waiter is serving the food.

LABEL",0.24,0.0,0.34,0.45
People are screaming at a boxing match.,"People are conversing at a dining table under a canopy.

LABEL: 2

SENTENCE 3:
People are conversing at a","The waiter is serving the food.

LABEL: 3

SENTENCE 3:
The food is served.

LABEL: 4",0.31,0.0,0.23,0.32
A girl is washing a load of laundry.,"A girl playing a violin along with a group of people

LABEL: 1

SENTENCE 3:
A girl playing a violin along with","A girl playing a violin along with a group of people

LABEL: 1

SENTENCE 1:
A girl playing a violin along with",0.27,0.27,0.29,0.31
A girl is playing an instrument.,"A girl playing a violin along with a group of people

LABEL: 1

SENTENCE 1:
A girl playing a violin along with","A girl playing a violin along with a group of people

LABEL: 1

SENTENCE 1:
A girl playing a violin along with",0.21,0.21,0.39,0.39
A woman is playing the violin.,"A woman within an orchestra is playing a violin.

LABEL: 1

SENTENCE 1:
A woman within an orchestra is playing a","A woman within an orchestra is playing a violin.

LABEL: 1

SENTENCE 1:
A woman within an orchestra is playing a",0.37,0.37,0.5,0.5
A man is looking in a telescope.,"A woman within an orchestra is playing a violin.

LABEL: 2

SENTENCE 3:
A woman within an orchestra is playing a","A woman within an orchestra is playing a violin.

LABEL: 3

SENTENCE 3:
A woman within an orchestra is playing a",0.21,0.21,0.36,0.37
three men look at the camera,"The man holding the pipe is looking at the camera.

LABEL: 1

SENTENCE 3:
The man holding the large object is","The man holding the pipe is looking at the camera.

LABEL: 1

SENTENCE 1:
The man holding the pipe is looking",0.22,0.22,0.4,0.5
three men sleeping in a tent,"The three men are looking at the camera.

LABEL: 3

SENTENCE 3:
The three men are looking at the camera.","The man holding the pipe is looking at the camera.

LABEL: 3

SENTENCE 3:
The man holding the large object is",0.15,0.0,0.53,0.28
A car making a right turn had three pedestrians cross behind it.,"A Ford car is making a right turn as 3 females are walking across the street behind the car.

LABEL: 1

SENTENCE 1","A Ford car is making a right turn as 3 males are walking across the street behind the car.

LABEL: 1

SENTENCE 1",0.4,0.4,0.38,0.41
there are three boys,"Three boys in white shirts are walking behind an older model Ford car.

LABEL: 1

SENTENCE 1:
Three boys in white","A boy in a white shirt is walking behind an older model Ford car.

LABEL: 1

SENTENCE 1:
A boy in",0.24,0.0,0.32,0.19
There are three girls,"Three boys in white shirts are walking behind an older model Ford car.

LABEL: 3

SENTENCE 3:
Three boys in white","The boys are walking behind an older model Ford car.

LABEL: 3

SENTENCE 3:
The boys are walking behind an older",0.16,0.08,0.25,0.34
The boys are on the street,"Three boys in white shirts are walking behind an older model Ford car.

LABEL: 1

SENTENCE 1:
Three boys in white","A boy in a white shirt is walking behind an older model Ford car.

LABEL: 1

SENTENCE 1:
A boy in",0.15,0.0,0.33,0.21
Some people are blowing out candles,"Three girls blow out the candles of a cake made of Peeps.

LABEL: 1

SENTENCE 3:
Three girls blow out","Three girls blow out the candles of a cake made of Peeps.

LABEL: 1

SENTENCE 1:
Three girls blow out",0.15,0.15,0.29,0.33
There are three girls and a cake,"Three girls blow out the candles of a cake made of Peeps.

LABEL: 1

SENTENCE 3:
Three girls blow out","Three girls blow out the candles of a cake made of Peeps.

LABEL: 1

SENTENCE 1:
Three girls blow out",0.3,0.3,0.32,0.33
There are peeps in the garden.,"Three girls blow out the candles of a cake made of Peeps.

LABEL: 3

SENTENCE 3:
Three girls blow out","The girls blow out the candles of a cake made of Peeps.

LABEL: 3

SENTENCE 3:
The girls blow out",0.08,0.15,0.3,0.29
The crowd on the ground is watching 3 people on the roof's edge.,"A crowd of people looking down at 3 people on the edge of the roof of a building.

LABEL: 1

SENTENCE 3:","A crowd of people looking up at 3 people on the edge of the roof of a building.

LABEL: 1

SENTENCE 1:",0.33,0.33,0.46,0.43
Three people are climbing down the ladder on the building.,"A crowd of people looking down at 3 people on the edge of the roof of a building.

LABEL: 3

SENTENCE 3:","A crowd of people looking up at 3 people on the edge of the roof of a building.

LABEL: 3

SENTENCE 3:",0.31,0.25,0.39,0.38
A woman is working.,"A man working long hours.

LABEL: 1

SENTENCE 3:
A woman working long hours.

LABEL: 2","A woman working long hours.

LABEL: 1

SENTENCE 1:
A woman working long hours.

LABEL: 2",0.3,0.3,0.49,0.53
A woman is sleeping.,"A man working long hours.

LABEL: 2

SENTENCE 3:
A woman working long hours.

LABEL: 3","A woman working long hours.

LABEL: 2

SENTENCE 1:
A woman working long hours.

LABEL: 2",0.2,0.2,0.44,0.58
Girls talking next to the toilet.,"Two teenage girls conversing next to lockers.

LABEL: 2

SENTENCE 3:
Two teenage girls conversing next to lock","The girls are talking about their favorite subject.

LABEL: 3

SENTENCE 3:
The girls are talking about their favorite subject.",0.25,0.23,0.5,0.6
People talking next to lockers.,"Two teenage girls conversing next to lockers.

LABEL: 1

SENTENCE 1:
Two teenage girls conversing next to lock","Two teenage girls conversing next to lockers.

LABEL: 1

SENTENCE 1:
Two teenage girls conversing next to lock",0.26,0.26,0.56,0.56
Two people are sleeping on the train.,"An old woman watches a man look down at some balls on the ground.

LABEL: 3

SENTENCE 3:
An old woman","A man looks down at some balls on the ground.

LABEL: 3

SENTENCE 3:
A man looks down at some balls",0.14,0.14,0.26,0.37
Two kids are hugging.,"Two children, both wearing tan coats, are embracing one another.

LABEL: 1

SENTENCE 1:
Two children, both wearing","A man is sitting on a bench, reading a newspaper.

LABEL: 1

SENTENCE 1:
A man is sitting on a",0.18,0.0,0.33,0.27
Two kids are running down a highway.,"Two children, both wearing tan coats, are embracing one another.

LABEL: 2

SENTENCE 3:
Two children, both wearing","A man is sitting on a bench, reading a newspaper.

LABEL: 3

SENTENCE 3:
A man is sitting on a",0.16,0.07,0.28,0.26
Two kids were hugging.,"2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.

LABEL: 1

SENTENCE","2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.

LABEL: 1

SENTENCE",0.15,0.15,0.33,0.33
Two youths were pushing each other.,"2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.

LABEL: 2

SENTENCE","2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.

LABEL: 2

SENTENCE",0.07,0.07,0.35,0.35
A large number of people wearing black walking down the street.,"A large number of people wearing only white and red are walking on a street.

LABEL: 1

SENTENCE 3:
A large","A large number of people wearing only white and red are walking on a street.

LABEL: 3

SENTENCE 3:
A large",0.5,0.5,0.27,0.31
A large number of people walking on a street.,"A large number of people wearing only white and red are walking on a street.

LABEL: 1

SENTENCE 1:
A large","A large number of people wearing only white and red are walking on a street.

LABEL: 1

SENTENCE 1:
A large",0.6,0.6,0.29,0.29
A man is riding a motorcycle.,"A guy riding a motorcycle near junk cars

LABEL: 1

SENTENCE 1:
A guy riding a motorcycle near junk cars

","A guy riding a motorcycle near junk cars

LABEL: 1

SENTENCE 1:
A guy riding a motorcycle near junk cars

",0.31,0.31,0.63,0.63
A man is sitting on a parked motorcycle waiting for his friend.,"A guy riding a motorcycle near junk cars

LABEL: 1

SENTENCE 3:
A guy riding a motorcycle near junk cars

","A guy riding a motorcycle near junk cars

LABEL: 3

SENTENCE 3:
A guy riding a motorcycle near junk cars

",0.19,0.19,0.47,0.49
indian women perform together in gorgeous costumes,"Women of India performing with blue streamers, in beautiful blue costumes.

LABEL: 1

SENTENCE 1:
Women of India performing","Women of India performing with blue streamers, in beautiful blue costumes.

LABEL: 1

SENTENCE 1:
Women of India performing",0.23,0.23,0.39,0.39
dogs sniff the air,"Women of India performing with blue streamers, in beautiful blue costumes.

LABEL: 1

SENTENCE 3:
Women of India performing","Women of India performing with blue streamers, in beautiful blue costumes.

LABEL: 3

SENTENCE 3:
Women of India performing",0.0,0.0,0.24,0.25
A person is swimming.,"A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.

LABEL: 1

S","A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.

LABEL: 1

S",0.08,0.08,0.22,0.22
The swimmer is eating a toasted marshmallow.,"A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.

LABEL: 2

S","A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.

SENTENCE 1:
A",0.07,0.14,0.22,0.22
a person is walking out of water.,"The man in the black wetsuit is walking out of the water.

LABEL: 1

SENTENCE 1:
The man in","The man in the black wetsuit is walking out of the water.

LABEL: 1

SENTENCE 1:
The man in",0.38,0.38,0.29,0.29
A man is laying on the beach.,"The man in the black wetsuit is walking out of the water.

LABEL: 2

SENTENCE 3:
The man in","The man in the black wetsuit is walking out of the water.

SENTENCE 1:
The man in the black wetsuit is",0.23,0.21,0.2,0.37
The three men sit and talk about their lives.,"Five girls and two guys are crossing a overpass.

LABEL: 2

SENTENCE 3:
Five girls and two guys are crossing","The girls are crossing the overpass.

LABEL: 3

SENTENCE 3:
The girls are crossing the overpass.

",0.07,0.08,0.35,0.5
There are people outside.,"Five girls and two guys are crossing a overpass.

LABEL: 1

SENTENCE 1:
Five girls and two guys are crossing","Five girls and two guys are crossing a overpass.

LABEL: 1

SENTENCE 1:
Five girls and two guys are crossing",0.08,0.08,0.42,0.42
A woman paints a portrait of a monkey.,"A person with a purple shirt is painting an image of a woman on a white wall.

LABEL: 2

SENTENCE 3:
","A person with a purple shirt is painting an image of a woman on a white wall.

LABEL: 3

SENTENCE 3:
",0.28,0.28,0.19,0.22
There is a woman painting.,"A woman is painting a mural of a woman's face.

LABEL: 1

SENTENCE 1:
A woman is painting a","A woman is painting a mural of a woman's face.

LABEL: 1

SENTENCE 1:
A woman is painting a",0.32,0.32,0.34,0.34
There is a man tying his shoes.,"A woman is painting a mural of a woman's face.

LABEL: 2

SENTENCE 3:
A woman is painting a","A woman is painting a mural of a woman's face.

LABEL: 3

SENTENCE 3:
A woman is painting a",0.15,0.15,0.23,0.25
A couple is eating inside at a table and he is pointing at something.,"A couple is eating outside at a table and he is pointing at something.

LABEL: 2

SENTENCE 3:
A couple is","A couple is eating outside at a table and he is pointing at something.

LABEL: 3

SENTENCE 3:
A couple is",0.74,0.74,0.41,0.44
People are eating at a table outside.,"A couple is eating outside at a table and he is pointing at something.

LABEL: 1

SENTENCE 1:
A couple is","A couple is eating outside at a table and he is pointing at something.

LABEL: 1

SENTENCE 1:
A couple is",0.29,0.29,0.28,0.28
The women were picking berries in the countryside,"Two women walk down a sidewalk along a busy street in a downtown area.

LABEL: 2

SENTENCE 3:
Two women walk","A man walks down a sidewalk along a busy street in a downtown area.

LABEL: 1

SENTENCE 1:
A man walks",0.14,0.07,0.27,0.22
The women were walking downtown,"Two women walk down a sidewalk along a busy street in a downtown area.

LABEL: 1

SENTENCE 1:
Two women walk","A man walks down a sidewalk along a busy street in a downtown area.

LABEL: 1

SENTENCE 1:
A man walks",0.15,0.08,0.42,0.26
The group of people aren't inide of the building.,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""

LAB","Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""

S",0.17,0.17,0.35,0.39
The people are sitting in the hotel lobby.,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""

LAB","Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""

S",0.12,0.12,0.28,0.29
A woman is preparing drinks on an airplane.,"The flight attendant dressed in yellow demonstrates life vest usage.

LABEL: 2

SENTENCE 3:
The flight attendant dressed in yellow demonstrates","The flight attendant dressed in yellow demonstrates life vest usage.

LABEL: 3

SENTENCE 3:
The flight attendant dressed in yellow demonstrates",0.0,0.0,0.3,0.32
Girls walk down the street.,"The girls walk down the street.

LABEL: 1

SENTENCE 1:
The girls walk down the street.

LABEL","The girls walk down the street.

LABEL: 1

SENTENCE 1:
The girls walk down the street.

LABEL",0.45,0.45,0.63,0.63
