completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Along the intersection of two roads a civilian had been shot says the police.This happened on a weekday,"Police say the victim was shot in the leg.

LABEL: 1

SENTENCE 1:
Authorities say one person has been shot","

SENTENCE 2:
Authorities say one person has been shot Tuesday night in northwest Oklahoma City. Police say one victim was transported emergency status to",0.15,0.14,0.32,0.3
The Red Devils are not number 1, intensity and we didn't. We were too passive. We were too passive. We were too passive. We were too passive. We were too passive. We,".

SENTENCE 2:
The Red Devils can now no longer finish in the top four and must win the Europa League final against Ajax to",0.0,0.19,0.18,0.21
Wan Chai Sports Ground has a s," and the public, he said.

SENTENCE 2:
The Home Affairs Bureau will assess the plan's impact on the sports sector and the public"," stage.

SENTENCE 2:
The consultation on the redevelopment of Wan Chai Sports Ground has been conducted, Secretary for Home Affairs Lau Kong",0.06,0.34,0.39,0.31
“Basketball Wives” is an unscripted show.," More!

SENTENCE 2:
Shamika and Rae discuss the latest news in reality TV, including the “Basketball Wives”"," Ep. 20: Angela Simmons Talks Return To Reality TV

SENTENCE 2:
Your favorite hosts Shamika Sanders and Rae Holliday have",0.17,0.0,0.46,0.12
The bulls are intact.,"The recent strength in the US dollar index has resulted in gold breaking below the key support level at US$1,300. The psychological round number area was particularly","ENCE 2:
THE recent strength in the US dollar index has resulted in gold breaking below the key support level at US$1,300. The psychological round",0.06,0.06,0.14,0.1
Quincy thinks Eagles will win.,".

SENTENCE 2:
ESPN’s Jemele Hill called the Quincy Harris Morning Show with K. Foxx to talk about","feated, is a new venture.

SENTENCE 2:
ESPN’s Jemele Hill called the Quincy Harris Morning Show with",0.09,0.09,0.08,0.05
Miller went to the Rangers in February.,", $25 million contract extension in the offseason.

SENTENCE 2:
Miller has one goal and two assists working against a minus-2 rating"," up to his $5.5 million cap hit in the regular season, and he'll be looking to build on his strong performance in the playoffs last season.",0.07,0.17,0.19,0.09
The person that sent in what it looked like over the weekend was not headed north. ," injuries were reported.

SENTENCE 2:
The fire was reported to have been started by a trash can that was left outside.

LAB"," than an hour. Chargualaf says the fire was caused by a trash can that was left too close to a trash compactor.

SENTENCE",0.16,0.15,0.19,0.22
Fred Guttenberg is an activist.,".com

SENTENCE 2:
The film studio has agreed to move the release date of the film from March 15 to August 16, Gutten","

SENTENCE 2:
Parkland parent gets major film studio to move the release date of a teen slasher film Fred Guttenberg,",0.0,0.16,0.12,0.17
This headline leads to more information that is behind a paywall.,":
For one night, all of Clinton's non-varsity squads achieved perfection sweeping Altus in seventh, eighth and ninth grade basketball at... P",".

SENTENCE 2:
For one night, all of Clinton's non-varsity squads achieved perfection sweeping Altus in seventh, eighth",0.0,0.0,0.08,0.09
Eight amendent of the constitution is about abortion.,"The referendum was held on May 25, 2018, and the result was announced on June 26, 2018.

LABEL: 1

SENTENCE","
0

SENTENCE 2:
The referendum result is a victory for women's rights in Ireland, and a victory for the women of Ireland.",0.07,0.13,0.12,0.29
SoulCycle Ardmore is located in the city of Brotherly Love,".m. and 2:15 p.m. and on Sunday, Oct. 15, work out with Nikola at 9:45 a.m."," Saturday, September 22, SoulCycle will host a Hurricane Maria Relief Ride at the Ardmore location.

SENTENCE 2:
Soul",0.0,0.14,0.16,0.2
Crawford's injury is new.," $9.5 million contract with Atlanta in March.

SENTENCE 2:
Crawford was held out of Monday's practice due to a"," Falcons.

SENTENCE 2:
Crawford was held out of Monday's practice due to a groin strain, Vaughn McClure",0.15,0.17,0.19,0.31
there were discrepancies that the hired person discovered,"The auditor-general's report on 1MDB was released in June.

LABEL: 1

SENTENCE 1:
The auditor-","
1

SENTENCE 2:
The charges came after the auditor-general revealed last month that some details had been removed from the 1MDB",0.08,0.13,0.19,0.39
Cedar Commissions artists make subjective art," Abigail DeVille, and Tyshawn Sorey will perform their works. On night two, the artists Tyshawn Sore"," 2nd, 2020.

SENTENCE 2:
The 2019 Cedar Commissions artists have each received $4,500 to create over 30 minutes",0.09,0.24,0.34,0.34
Donald Trump is orange colored.,"Trump orders review of visa programme to encourage hiring Americans KENOSHA, Wis. President Donald Trump on Tuesday ordered a review of the U.S. visa","
SENTENCE 2:
Trump orders review of visa programme to encourage hiring Americans KENOSHA, Wis. President Donald Trump on Tuesday ordered a review",0.13,0.15,0.27,0.17
Jake and Jim are not the two rogues in question.,"oon.

SENTENCE 2:
Jim's brother, who is also the town sheriff, is not happy to see the two rogues in"," to the U.S. border.

SENTENCE 2:
Jim is a young man who has just arrived in Mexico and is looking for a",0.39,0.12,0.25,0.08
Citizens will benefit from the NIF fund.," established in 2012.

SENTENCE 2:
The government has put the assets of WITCO, Angostura and OCM into the National"," will be used to pay back the NIF fund.

SENTENCE 2:
The government has announced that it will be using the National Insurance Fund",0.08,0.26,0.19,0.45
The pharmacy will need to restock its medicines. ," eyes and short brown hair. He was wearing a black hoodie, blue jeans and black shoes.

SENTENCE 2:
The suspect is described"," as a white male, about 5'10"" tall, with a medium build. He was wearing a black hoodie, black pants and a black baseball cap",0.07,0.0,0.1,0.21
Adak's population numbers in the 100s," was centered about 10 miles (16 kilometers) below the surface.

SENTENCE 2:
The earthquake was centered about 10 miles (16 kilometers)"," town of Adak.

SENTENCE 2:
The earthquake was felt in Adak, a town of about 1,000 people on the western",0.07,0.21,0.41,0.47
Bode Miller has been to four winter olympics.," skis and more aggressive skiing.

SENTENCE 2:
Miller says he is frustrated not to have claimed any wins since taking 18 months out of"," on"" since he last competed in 2010.

SENTENCE 2:
Downhill ski legend Bode Miller says he ""definitely has the speed",0.12,0.21,0.12,0.2
The shooting occured on a weekday, at |||EMAIL_ADDRESS||| Follow him on Twitter @ChrisSheldon. Find NJ.com on Facebook.," of Tuesday morning.

SENTENCE 2:
A shooting in Irvington has left one person dead on Monday night, according to the Essex County Prosec",0.11,0.14,0.06,0.32
"10-year-old Jayda Perez and 13-year-old Destiny Perez are 3 years, 11 inches, and 30 pounds apart.",""" and weighs 120 pounds.

SENTENCE 2:
Police are desperately searching for two missing sisters from the Bronx who disappeared the day after Christmas."," pounds. She has brown eyes and brown hair. Destiny is described as a Hispanic female who is 5'2"" and weighs 100 pounds. She has brown",0.09,0.17,0.16,0.34
"Marty Sklar designed world famous theme parks outside Orlando, Florida.","EL:
SENTENCE 2:
Marty Sklar, legendary Imagineer and designer of Disney parks, died Thursday at his home in Hollywood Hills"," in Tokyo, Paris and Hong Kong.

SENTENCE 2:
Marty Sklar, legendary Imagineer and designer of Disney parks, died",0.2,0.21,0.33,0.29
"Of the people killed, at least 50% were female","

SENTENCE 2:
A woman among two killed in road accidents KARACHI: Two persons including, a woman were killed, in different","pass. The woman died on the spot.

SENTENCE 2:
A woman was killed in a road accident in North Karachi’s under",0.14,0.13,0.43,0.21
"Improper and ill-informed background checkup of the foreign citizens have allowed dangerous immigrants to enter the US under the current immigration system, that must be fixed said Donald Trump, to avoid catastrophic events like that happened in New York City.","

SENTENCE 2:
The U.S. president said that the country must ""fix its lax immigration system"" to prevent future attacks.
"," said in a statement. ""We must have a system that is fair to Americans, but also fair to those who want to come here legally.""

S",0.16,0.12,0.44,0.2
Rob Curran has been contacted by BlueMountain Capital Management,"SENTENCE 2:
Shares of power producers ticked down as traders rotated into more economically sensitive areas. Shares of PG&E recouped","inhood

SENTENCE 2:
Shares of power producers ticked down as traders rotated into more economically sensitive areas. Shares of PG&",0.0,0.0,0.22,0.13
The statement has less than 28 sentences,"
SENTENCE 2:
Share this: Email Print Facebook LinkedIn Twitter Google Criminal procedure -- Impeachment of defendant's testimony -- Silence during police interview",".

SENTENCE 2:
The defendant was charged with assault and battery.

SENTENCE 1:
Share this: Email Print Facebook",0.0,0.08,0.2,0.32
Black mold is the worst kind of mold.," in, not green with mold — you need to keep your home clean and dry.

SENTENCE 2:
Thinking Green: Mold The kind"," it.

SENTENCE 2:
Thinking Green: Mold The kind of green you don't want. It's not just green, mold.",0.21,0.36,0.25,0.36
All Mahankali temples have been prepared for the Bonalu festival which is yet to be celebrated,".

SENTENCE 2:
Kavitha, who is also the daughter of Telangana Chief Minister K Chandrasekhar Rao"," 15 and 16.

SENTENCE 2:
You are here: Home Nizamabad Member of Parliament, K Kavitha offered special",0.06,0.0,0.25,0.3
Fizdale's work in Miami went against Noah's interests," 2:
“I’m not going to get into that,” Noah said. “I’m not going to get into that. I’m not", had. I think he’s a great player. I think he’s a great person. I think he’s a great teammate. I think he,0.06,0.11,0.22,0.09
The escaped criminal was in his 20's.,"500 for information leading to his capture.

SENTENCE 2:
(WTNH) – An escaped Enfield prisoner has been caught in Georgia."," in Georgia on Wednesday.

SENTENCE 2:
(WTNH) – An escaped Enfield prisoner has been caught in Georgia. 25-year",0.15,0.15,0.25,0.32
osaka lost 6 games to williams in the finals,"

SENTENCE 2:
Osaka, who was born in Japan and raised in the United States, won the U.S. Open to become",", the first for receiving coaching from her box and the second for smashing her racket.

SENTENCE 2:
NEW YORK (AP) –",0.2,0.07,0.17,0.04
Mark Schlereth went to school before college,".

SENTENCE 2:
Former Broncos offensive lineman Mark Schlereth was very, very strong in high school. Love the fact that the",") September 9, 2020

SENTENCE 2:
Former Broncos offensive lineman Mark Schlereth was very, very strong in high school. Love",0.22,0.23,0.24,0.28
Cuomo appeared on a weekday,"The commission’s actions are “good news” even as he said he expects a legal challenge to be filed.

LABEL: 1

S"," filed.

SENTENCE 2:
Cuomo, who for several years has said any pay raise for lawmakers should be tied to a ban on outside",0.07,0.14,0.09,0.24
"A mother was not found guilty of abusing a baby named WEST HAZLETON, because that's a place, not a name."," old.

SENTENCE 2:
× Mother Guilty of Abusing Baby Girl WEST HAZLETON — A mother has been found guilty",".

SENTENCE 2:
× Mother Guilty of Abusing Baby Girl WEST HAZLETON — A mother has been found guilty of",0.42,0.42,0.32,0.27
There is some corruption in the government of Niger.,"ality of the appointment of Obono-Obla as the Chairman of the SPIP.

SENTENCE 2:
The House of Representatives has"," a motion moved by the Minority Leader, Ndudi Elumelu, on the floor of the House on Tuesday.

SENTENCE 2",0.14,0.14,0.12,0.13
Protesters were kicking the toppled Confederate statue because they were upset it was toppled.,"un.com

SENTENCE 2:
A group of protesters cheer and take turns kicking a toppled Confederate soldier statue during an 'Emergency Durham"," the statue, which was removed from its pedestal and placed in storage.

SENTENCE 2:
A group of protesters cheer and take turns kicking",0.28,0.16,0.3,0.21
Payton and Eli Manning are both older than Cooper Manning.," Dogg Father rockin' at the Super Bowl... and the Super Bowl halftime show.

SENTENCE 2:
Cooper Manning SWAG"," in a $1,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0.21,0.0,0.14,0.05
"The sender would have accepted $20,000 in any crypto-currency.","The emails were sent from a spoofed email address.

LABEL: 3

SENTENCE 3:
The emails were sent from a"," Bitcoin.

SENTENCE 2:
The emails were sent from a spoofed email address. The sender claimed to have had an associate plant a",0.07,0.18,0.24,0.18
Less than two dozen people were murdered in Hudson County last year ,"The building is located at the corner of Kennedy Boulevard and Central Avenue.

LABEL: 3

SENTENCE 1:
Hudson County saw",":
The label for this task is the number of the instance in the dataset.

SENTENCE 2:
Hudson County saw 25 people lose",0.12,0.18,0.11,0.23
It is not up to them to change the feeling,"

SENTENCE 2:
We have to be ready for the game. We have to be ready for the game. We have to be ready for"," the Premier League, we have to be more consistent. We have to be more consistent in the Premier League and in the Champions League. We have to be more",0.18,0.15,0.4,0.34
The US dollar was trading 77.50 cents in Canadian dollars," composite index was up 12.38 points to 7,928.98.

SENTENCE 2:
On the markets at 9:50 a"," up 5.05 points to 2,904.95. The Nasdaq composite index was up 14.38 points to 7,968.98",0.13,0.12,0.13,0.36
Boosie is a mad black mom.," Boosie (@BoosieBadazz) June 29, 2020

SENTENCE 2:
Boosie Badazz is a rapper who has",�😂😂😂😂😂😂😂😂😂😂�,0.3,0.0,0.16,0.17
Aduana Stars have requested to play Ahli Tripoli in a friendly later this month.,"ghanaweb.com.

SENTENCE 2:
Aduana Stars have received a request to play Ahli Tripoli in a friendly",".

SENTENCE 2:
Aduana Stars have received a request to play Ahli Tripoli in a friendly later this month. The",0.65,0.79,0.51,0.67
Sixteen Saudis flew in total.,".

SENTENCE 2:
By 7 p.m., six of the Saudis left by the newly arrived private plane, flying on to",", and then to Riyadh.

SENTENCE 2:
By 7 p.m., six of the Saudis left by the newly",0.08,0.09,0.29,0.26
The maximum wind speed will be higher than 16 mph.,"Janesville, WI (53545) Today Some clouds this evening will give way to mainly clear skies overnight. Low around 30F. Winds W at","
SENTENCE 2:
Janesville, WI (53545) Today Some clouds this evening will give way to mainly clear skies overnight. Low around",0.06,0.07,0.24,0.12
The salt did not help the icy build up.," if the weather worsens.

SENTENCE 2:
The National Weather Service has issued a winter weather advisory for the Blue Ridge Mountains and Pied"," spokesman Joe Harris said the agency will treat the roads if the weather worsens.

SENTENCE 2:
A wintry mix threatens to create",0.12,0.13,0.15,0.23
A man was arrested for raping a girl less than half his age.," by the suspect at a house in Kuching on April 9. The suspect was arrested at a house in Kuching on April 10,"" he said in"," admitted to the hospital.

SENTENCE 2:
KUCHING: Police have arrested a 30-year-old barber for the suspected",0.21,0.13,0.37,0.26
The all black formal event tickets will sell under P100 for everybody.,"s will be on the decks.

SENTENCE 2:
The show will be graced by the presence of Botswana Accountancy College"," artiste, Mwana Fa to perform at the event.

SENTENCE 2:
Botswana Accountancy College students will host a",0.12,0.21,0.21,0.11
"WASHINGTON, Dec 15 (Reuters) - McKesson Corp subsidiary McKesson Technologies LLC has been awarded a maximum $400 million contract for digital imaging network picture archiving communications system products and maintenance. Maximum means you can go over that amount.","WASHINGTON, Dec 15 (Reuters) - McKesson Corp subsidiary McKesson Technologies LLC has been awarded a maximum $400 million contract for digital imaging network","EL:
The label for this instance is:

SENTENCE 2:
WASHINGTON, Dec 15 (Reuters) - McKesson Corp subsidiary",0.75,0.26,0.51,0.2
The case was filed 12 months after Walter T. Kozlowski passed away.,"ello, Administrator.

SENTENCE 2:
Date Filed Monday, November 7, 2016 Case Number 2016EST220804 Bond 1 Bond Status ORD",".

SENTENCE 2:
Date Filed Monday, November 7, 2016 Case Number 2016EST220804 Bond 1 Bond Status ORD Bond Amount",0.07,0.07,0.14,0.21
More than three areas were affected by the outage. ," the damage and restore services.

SENTENCE 2:
The outage was caused by contractors cutting through a fibre cable about 5km from Waim"," affected by the outage.

SENTENCE 2:
Wednesday, 14 June, 2017 - 00:05 Chorus has tonight completed repairs to a",0.13,0.29,0.3,0.25
"On Coconut Day, the Bluffton/Pandora Swiss comunity Historical society will be open for self-guided or docent-led tours."," open for viewing as well.

SENTENCE 2:
The Schumacher Homestead is located at the corner of Main and Elm streets in"," to see the original log cabin, the log barn, the log schoolhouse, the log church, the log home of the Schumacher family, and the",0.1,0.05,0.06,0.1
The eastbound left lane was closed before the accident and will be reopened in two hours.,"The accident occurred at 3:21 p.m. at County O.

In this example, the first sentence is SENTENCE 1 and the second",":
The label for this task is the sentence that appears in the dataset.

SENTENCE 2:
The eastbound left lane of Highway 14",0.15,0.21,0.19,0.27
the stairs burned in the fire,". The man was taken to the hospital with non-life threatening injuries. The cause of the fire is under investigation.

SENTENCE 2:
","-story home when firefighters arrived. The man was taken to the hospital with non-life-threatening injuries.

SENTENCE 2:
× Man",0.21,0.15,0.17,0.19
Middlesbrough scored fewer goals than Manchester City.,"
SENTENCE 2:
Middlesbrough, of The Championship, secured a famous 0-2 win over Premier League champions Manchester City at The"," action on BBC iPlayer.

SENTENCE 2:
Middlesbrough, of The Championship, secured a famous 0-2 win over",0.22,0.08,0.28,0.21
Hilario and Tarik Black have the same injury.," seeing a significant increase in minutes.

SENTENCE 2:
Hilario (Achilles) is listed as out for Friday's game against","ets will be without their two starting big men.

SENTENCE 2:
Hilario (Achilles) is listed as out for Friday",0.07,0.07,0.21,0.29
Poeltl had 10 rebounds and four points.,"'t played more than 20 minutes in a game since the start of December.

SENTENCE 2:
Poeltl provided 10 points (5-","l has been a solid contributor for the Spurs this season, averaging 7.4 points, 4.4 rebounds and 1.1 assists in 20.4",0.21,0.12,0.25,0.35
Jacksonville Sheriff’s Office confirmed the number of fatalities when it confirmed a mass shooting.,"The Jacksonville Sheriff’s Office confirmed a mass shooting and “multiple fatalities,” as well as “many” people transported away from the scene. Police said just","ENTENCE 2:
The Jacksonville Sheriff’s Office confirmed a mass shooting and “multiple fatalities,” as well as “many” people transported away from the",0.4,0.42,0.41,0.38
All government prosecutions last seven years.,The jury found Bonds guilty of one count of obstruction of justice for allegedly lying about using performance-enhancing drugs. Read the full story here: Los Angeles,"After a government prosecution that lasted nearly seven years, a federal jury Wednesday convicted home-run king Barry Bonds on one charge of obstruction of justice for allegedly lying",0.0,0.17,0.22,0.32
16 people died in the Dunblane massacre.,"ENTENCE 2:
The people of Dunblane are set to ""quietly remember"" the 20th anniversary of the atrocity that killed 16 children and"," when a gunman killed 16 children and a teacher at Dunblane Primary School.

SENTENCE 2:
The people of Dunblane are",0.14,0.22,0.38,0.29
This article was published by the Associated Press.,"

SENTENCE 2:
Verde beat Postigos in the Olympic men's Judo 60kg last 64 at the 2012 London Games on Saturday."," (ITA) def. Juan Postigos (PER) 0100-0001

SENTENCE 2:
LONDON, July 28 (Reuters)",0.07,0.0,0.14,0.1
The event takes place in the third month.," calling |||PHONE_NUMBER|||.

SENTENCE 2:
Trisha Yearwood will be signing her New Book, Trisha's Table.

LABEL","

SENTENCE 2:
KISS 99.9 Welcomes Trisha Yearwood, Food Network's Standout and bestselling author to William Son",0.0,0.0,0.11,0.16
The Eagles defeated Giant Rabbits with a score of 27-24.," look at the Eagles’ first win of the season.

SENTENCE 2:
The Eagles pulled a rabbit out of the hat with a win over"," 10-3 lead.

SENTENCE 2:
The Eagles pulled a rabbit out of the hat with a win over the Giants in the season opener",0.23,0.23,0.33,0.4
Trump aimed his anger-crosshairs on his own people," of the American people.

SENTENCE 2:
ed note–Trump is holding back the last 'payment' on this gift so that if/",". that is the reason for the lack of progress.

SENTENCE 2:
ed note–Trump is holding back the last 'payment' on",0.13,0.13,0.17,0.16
the man who was arrested for robbing a south korean tourist for beer money didn't want to quench his thirst.," 28, who was found hiding in a nearby alley.

SENTENCE 2:
The suspect, Surachat Makhumjai, 28,"," of minutes for the officers to catch up with the suspect, who was identified as Wang.

SENTENCE 2:
A thirsty Thai man was",0.16,0.18,0.27,0.15
Officials in Gladewater worked hard & figured out the cause behind elevated levels of lead in the city's drinking water.,"Officials in Gladewater are working to figure out the cause behind elevated levels of lead in the city's drinking water. On Monday, the city sent out","
SENTENCE 2:
Officials in Gladewater are working to figure out the cause behind elevated levels of lead in the city's drinking water.",0.72,0.79,0.65,0.76
Tkachuk is part of the heart," is a possibility.

SENTENCE 2:
Tkachuk (leg) was placed on injured reserve by the Senators, per the NHL media"," it's not a bad idea to keep him out of the lineup for the time being.

SENTENCE 2:
Tkachuk (leg",0.16,0.15,0.27,0.22
Evacuees were heading into Lismore and Murwillumbah to escape the flooding.," south.

SENTENCE 2:
NSW flooding: Photos reveal devastation in Lismore and Murwillumbah

LABEL:"," of ex-tropical cyclone Debbie.

SENTENCE 2:
NSW flooding: Photos reveal devastation in Lismore and Mur",0.25,0.15,0.28,0.21
Mervyn King is the Governor of London.,".

SENTENCE 2:
The BoE and the finance ministry will announce details of the scheme on Friday.

PREDICTION:"," in March, but the BoE said on Thursday it would be launched in full on Friday.

SENTENCE 2:
The BoE said on",0.17,0.07,0.15,0.16
Fiers (5-5) struck out six and picked up the win Saturday against the Rangers,", as he's now 0-2 in those three starts.

SENTENCE 2:
Fiers (6-5) allowed one run on"," down to 3.38.

SENTENCE 2:
Fiers (6-5) struck out six and picked up the win Saturday against the",0.12,0.74,0.21,0.41
The kuwait army created the flood," available resources to help the Kuwaiti people.

SENTENCE 2:
The Kuwaiti Army has deployed its forces to help the flood victims.
"," expressed his condolences to the Kuwaiti Army and the people of Kuwait for the loss of lives and property.

SENTENCE 2:
The",0.3,0.21,0.53,0.12
You cannot print this story," Central Senatorial District, is now null and void.

SENTENCE 2:
The Federal High Court, Abuja, Friday afternoon set aside the"," election in the Anambra Central Senatorial District, which was held on November 18, 2017, was nullified.

SENTENCE 2:
",0.0,0.0,0.14,0.11
A woman stole a Honda Fit in west Charlotte at 3:30 AM but was not injured. ," immediately available.

SENTENCE 2:
The woman was not injured when she was carjacked in west Charlotte Tuesday morning.

LABEL","'s car and drove off.

SENTENCE 2:
A woman was not injured when she was carjacked in west Charlotte Tuesday morning. According",0.22,0.26,0.33,0.35
This report is from station SDMA.," Avenue and the Route 30/Route 51 split.

SENTENCE 2:
The crash happened on Route 30 in East Pittsburgh.

LABEL"," is closed in both directions between the Route 28 and Route 51 interchanges.

SENTENCE 2:
Follow KDKA-TV: Facebook | Twitter",0.0,0.08,0.17,0.14
"YouTuber Maestro Ziikos create a video of ""Despacito"" being sung by splicing clips of Trump from his TV show ""The Apprentice.""","ENTENCE 2:
The clip is a parody of the song ""Despacito,"" which was released in January 2017 and has since become the most-"," many times you can spot the president's voice.

SENTENCE 2:
You've likely never heard ""Despacito"" sung like this before",0.18,0.1,0.19,0.27
Ireland's 7th amendment outlawed abortions,"The referendum was held on May 25, 2018, and the result was announced on June 26, 2018.

LABEL: 3

SENTENCE","
0

SENTENCE 2:
The referendum result is a victory for women's rights in Ireland, and a victory for the women of Ireland.",0.0,0.07,0.06,0.24
Vancouver News has a qq,"Video CBC Vancouver News at 11 PM January 30, 2019 Breaking local news, the last look at top stories and a full weather forecast weeknights at 11 pm","
SENTENCE 2:
Video CBC Vancouver News at 11 PM January 30, 2019 Breaking local news, the last look at top stories and a full weather",0.18,0.2,0.35,0.23
The discussion is about wall st, as it seeks to focus on its core markets. * Swisscom said it would buy a stake in the Swiss subsidiary of German telecoms group Deutsche Telekom, it will sell its cement business in the United States to Eagle Materials for $1.4 billion. * Swisscom said it will buy the remaining stake in its,0.06,0.06,0.07,0.07
This article was written in the New York Times, the capital injection was made through the sale of new shares to the public and to existing shareholders. The company said it would use the funds to refinance debt and," boost its competitiveness.

SENTENCE 2:
Usinas Siderúrgicas de Minas Gerais SA said on Thursday that",0.15,0.0,0.23,0.09
The man was older than 54 years old at the time.,"ENTENCE 2:
Police went to a local parking lot to investigate a report of a man asleep behind the wheel of a running vehicle. Their investigation led to",".

SENTENCE 2:
Police went to a local parking lot to investigate a report of a man asleep behind the wheel of a running vehicle.",0.1,0.11,0.14,0.21
WJTV is having the event on the second day of the week.,"ishable food items.

SENTENCE 2:
The Mississippi Food Network is a nonprofit organization that works to provide food to those in need.
"," 10 a.m. to 2 p.m. collecting food.

SENTENCE 2:
WJTV 12 is holding its annual Pack the",0.06,0.19,0.16,0.26
"Over 500,000 people are in limbo over DACA.","The rally was organized by the National Immigration Law Center, which has been working with the DREAMers to help them apply for DACA.

LABEL"," to protect them.

SENTENCE 2:
Watch Live: Young Immigrants Rally In DC To Call On Congress To Save DREAMER",0.06,0.07,0.16,0.14
The stolen box was last seen on a dock in the 400 block of Bayou Avenue on Monday at approximately 5:30 p.m.," 5:30 p.m. The complainant said the box was valued at $1,000.

SENTENCE 2:
The complainant said the"," Bayou Avenue when it was stolen. The complainant said the box contained a number of items, including a laptop computer, a camera, a GPS, a cell",0.18,0.16,0.18,0.26
Sidney Crosby is not on the Flyers,"SENTENCE 2:
Guentzel has been a key part of the Penguins' offense this postseason, and he's been a big reason why they",", he's been a bit lucky. Guentzel has been on the ice for just one goal against in this series, and he's been on the ice",0.07,0.12,0.14,0.23
The Constellations did not do as well as they could have. ," the band's appearance on the station's weekly ""Milwaukee Music"" show.

SENTENCE 2:
The band's appearance on the show,","I'm a Man"" heavy airplay.

SENTENCE 2:
The Constellations' debut album Southern Gothic had struggled to gain traction around",0.06,0.13,0.33,0.24
Brealey likens his daughter to a winged creature that lives in heaven.," devastated by the loss of our beautiful daughter Rosie,"" Mr Brealey said. ""She was a loving little angel who was taken from us too soon. ""We"," Twitter Share on Linkedin Share on Whatsapp Share on Email

SENTENCE 2:
A devastated father has described the loss of his eight-year",0.11,0.06,0.19,0.16
trump believes the widow is making a rumor," he signed up for.""

SENTENCE 2:
TRUMP'S RESPONSE TO REP. WILSON - In this Tuesday"," at Dover Air Force Base, Del.

SENTENCE 2:
ADDS TRUMP'S RESPONSE TO REP. WIL",0.09,0.09,0.2,0.13
A new policy will cause the roads to change this weekend ,"Connor is in the city centre and he’s joined by a Dublin City Councillor.

SENTENCE 2:
The new traffic restrictions"," the city centre altogether.

SENTENCE 2:
Traffic lane changes are coming into effect on some of the busiest roads in Dublin City Centre",0.12,0.12,0.3,0.5
Leonard humiliated his opponent," crossover and a stepback jumper.

SENTENCE 2:
Oladipo was tasked with defending Leonard, but he couldn’t do"," good matchup for the Pacers.

SENTENCE 2:
Spurs forward Kawhi Leonard is the total package and can beat teams so many",0.09,0.08,0.16,0.4
