completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
"No, they wouldn't go there.","oh uh-huh well no they wouldn't would they no

LABEL: 2

SENTENCE 1:
oh uh-huh","oh uh-huh well no they wouldn't would they no

LABEL: 2

SENTENCE 1:
oh uh-huh",0.33,0.33,0.34,0.34
This is how things are and there are no apologies about it.,"I'm sorry but that's how it is.

LABEL: 2

SENTENCE 3:
I'm sorry but that's how it","I'm sorry but that's how it is.

LABEL: 3

SENTENCE 3:
I'm sorry but that's how it",0.18,0.18,0.47,0.51
Pope John Paul II also visited in 1983.,"The Papal Crose is a symbol of the Papal visit to the United States in 1979.

LABEL: 2

SENTENCE 3","The Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.

LABEL:",0.07,0.32,0.08,0.26
Tourism is not very big in Spain.,"The tourist industry continued to expand, and though it became one of the top two income earners in Spain, a realization that unrestricted mass tourism was leading to damaging","The tourist industry continued to expand, and though it became one of the top two income earners in Spain, a realization that unrestricted mass tourism was leading to damaging",0.11,0.11,0.26,0.26
She had changed a lot since the last time we'd seen her.,"I thought she was so different  ""

LABEL: 2

SENTENCE 3:
I thought she was so different  ""

","I was so surprised  ""

LABEL: 2

SENTENCE 1:
I was so surprised  ""

LABEL: 1",0.07,0.0,0.55,0.43
I cannot wait for it to happen.,"i'm not opposed to it but when its when the time is right it will probably just kind of happen you know

LABEL: 2

S","i'm not opposed to it but when its when the time is right it will probably just kind of happen you know

LABEL: 2

S",0.18,0.18,0.2,0.2
The 1931 Malay census was an alarm bell.,"The census of 1931 served as an alarm signal for the Malay national consciousness.

LABEL: 1

SENTENCE 3:
The census of","The Malay national consciousness was aroused by the census of 1931.

LABEL: 1

SENTENCE 1:
The Malay national consciousness was aroused",0.28,0.28,0.29,0.46
Many youth are lazy.,"Mortifyingly enough, it is all the difficulty, the laziness, the pathetic formlessness in youth, the round peg in the square hole,","I am not a man, I am not a woman, I am not a boy, I am not a girl, I am not a man, I am",0.08,0.0,0.35,0.3
Interest rates should increase to increase saving.,"The increase in government saving may also lead to a decrease in the demand for government bonds.

LABEL: 3

SENTENCE 3:
","The government has a fiscal policy that is designed to reduce the level of government spending.

LABEL: 3

SENTENCE 3:
The",0.14,0.07,0.23,0.12
There is a British publication called the Sun.,"Britain's best-selling tabloid, the Sun, announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings","Britain's best-selling tabloid, the Sun, announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings",0.12,0.12,0.23,0.23
He loved how peaceful the village was.,"He was of two minds, one reveled in the peace of this village.

LABEL: 1

SENTENCE 1:
He was","He was of two minds, one reveled in the peace of this village.

LABEL: 1

SENTENCE 1:
He was",0.31,0.31,0.29,0.29
The slopes between the Vosges and Rhine Valley are the only place appropriate for vineyards.,The vineyards hug the gentle slopes between the Vosges and the Rhine Valley along a single narrow 120-km (75-mile) strip that stretches,The vineyards hug the gentle slopes between the Vosges and the Rhine Valley along a single narrow 120-km (75-mile) strip that stretches,0.41,0.41,0.47,0.47
These deviations mostly involve failure to apply software updates in a timely manner.,"We are not sure what the reasons are for these deviations, but we are confident that the federal CIOs will be able to address them.

S","We did not study the reasons for these deviations specifically, but they likely result from the context in which federal CIOs operate.

SENTENCE 1",0.15,0.16,0.27,0.23
"Joan of Arc sacrificed her life at Rouen, which became an enduring symbol of opposition to tyranny.","Rouen is the ancient center of Normandy's thriving textile industry, and the place of Joan of Arc's martyrdom'a national symbol of resistance","Rouen is the ancient center of Normandy's thriving textile industry, and the place of Joan of Arc's martyrdom'a national symbol of resistance",0.24,0.24,0.58,0.58
Senior Executive's have been studies on various aspects to reach the expectations.,"Table 3: Examples of BLM's, FHWA's, IRS's, and VBA's Customer Satisfaction Expectations for Senior Executive Performance

","Table 3: Examples of BLM's, FHWA's, IRS's, and VBA's Customer Satisfaction Expectations for Senior Executive Performance

",0.12,0.12,0.39,0.39
It's impossible to have a plate hand-painted to your own design in Hong Kong.,"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.

LABEL: 3
","In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.

SENTENCE 1:",0.47,0.47,0.49,0.51
Jewelry and duty-free shops are an interesting place to buy goods.,"There are a number of expensive jewelry and other duty-free shops, all with goods priced in US dollars (duty-free goods must always be paid for in","There are a number of expensive jewelry and other duty-free shops, all with goods priced in US dollars (duty-free goods must always be paid for in",0.3,0.3,0.42,0.42
Jobs never held onto an idea for long.,"I'm not sure what to make of this.

LABEL: 3

SENTENCE 3:
I'm not sure what to make of","I'm not sure what you mean by ""the most important thing.""

LABEL: 3

SENTENCE 3:
I'm not sure",0.0,0.0,0.39,0.3
Democracies probably won't go to war unless someone attacks them on their soil,"While it's probably true that democracies are unlikely to go to war unless they're attacked, sometimes they are the first to take the offensive.

LAB","The United States has been a major player in the world for more than a century.

LABEL: 1

SENTENCE 1:
The",0.24,0.0,0.5,0.04
"There is no information on the mentality of the man, extraordinary or not, contained within the thin-paged book. ","""I have read the following passages, and I am convinced that they will throw some light on the extraordinary mentality of this great man."" He opened the book,","""I have been told that the great man is a man of great mind, and that he is a man of great genius.

LABEL: 3",0.3,0.14,0.46,0.27
The military didn't pay for her education.,"yeah i mean just when uh the they military paid for her education

LABEL: 2

SENTENCE 3:
yeah i mean",i mean i mean i mean i mean i mean i mean i mean i mean i mean i mean i mean i mean i mean i mean i mean i mean,0.36,0.0,0.36,0.18
These men filed their midterm exams from home. ,"but uh uh they were actually on the road two thousand miles from home when they had to file their final exams and send them in

LABEL: 3",but uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh,0.11,0.0,0.28,0.16
Not many couples with kids can save up for retirement.,"But you have to have money to save it, and not many couples with young children have the luxury of tucking away $2,000 apiece annually for","But you have to have money to save it, and not many couples with young children have the luxury of tucking away $2,000 apiece annually for",0.27,0.27,0.39,0.39
"They dodged the draft, I'll have you know.","and uh as a matter of fact he's a draft dodger

LABEL: 1

SENTENCE 1:
and uh as a matter","and uh as a matter of fact he's a draft dodger

LABEL: 1

SENTENCE 1:
and uh as a matter",0.07,0.07,0.32,0.32
Lincoln took his hat off.,"'The public.' Lincoln removed his great hat, making a small show of dusting it off.

LABEL: 1

SENTENCE 3","'Publicity.' Lincoln removed his great hat, making a small show of dusting it off.

LABEL: 1

SENTENCE 1",0.33,0.35,0.27,0.31
The stock market can experience much worse damage. ,"The damage can get much worse.

LABEL: 1

SENTENCE 3:
The damage can get much worse.

LABEL","The damage can get much worse.

LABEL: 1

SENTENCE 1:
The damage can get much worse.

LABEL",0.4,0.4,0.48,0.51
Missouri was happy to continue it's planning efforts. ,"Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1, 1999.

LABEL: 2","Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1, 1999.

LABEL: 2",0.36,0.36,0.41,0.41
He had recently seen pictures depicting those things.,"He had seen pictures of such things, but he hadn't seen them since the silent movies run in some of the little art theaters.

LABEL:","He had been a little afraid of the dark, but he had been a little afraid of the light, too.

LABEL: 3

S",0.29,0.13,0.38,0.3
"See, there is a well known hero here.","Look, there's a legend here.

LABEL: 1

SENTENCE 1:
Look, there's a legend here.

","I'm not sure what this is.

LABEL: 1

SENTENCE 1:
I'm not sure what this is.

",0.25,0.08,0.64,0.54
At the end of the fourth century was when baked goods flourished.,"The Celts were the first to settle in the British Isles.

LABEL: 2

SENTENCE 3:
The Celts were","The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century.

LABEL: 2

SENTENCE 1:",0.13,0.42,0.2,0.24
No one plays sports on the weekend.,"yeah and how about how about like on the weekends do you do sports or do you go out

LABEL: 2

SENTENCE 3","yeah and how about like on the weekends do you do sports or do you go out

LABEL: 3

SENTENCE 3:
",0.13,0.14,0.23,0.23
Harlem did a great job ,"Harlem was our first permanent office, he said. 

LABEL: 2

SENTENCE 1:
Harlem was our first permanent office","Harlem was our first permanent office, he said. 

LABEL: 2

SENTENCE 1:
Harlem was our first permanent office",0.09,0.09,0.53,0.53
The cushion will likely be spent in under two years.,"But the disintermediating voters will find themselves playing the roles of budget analysts and tax wonks.

LABEL: 1

SENTENCE","But when the cushion is spent in a year or two, or when the next recession arrives, the disintermediating voters will find themselves playing the roles of",0.14,0.27,0.2,0.28
I am beyond proud.,"I feel so foolish!

LABEL: 3

SENTENCE 3:
I feel so foolish!

LABEL: 4

","I feel like a fool!

LABEL: 3

SENTENCE 3:
I feel like a fool!

LABEL: 4",0.11,0.1,0.55,0.57
She has chose to live a hollow life.,"She has exchanged a hollow life for a heightened life, and has tried to comprehend all its turns, get its possibilities.

LABEL: 3

","She has exchanged a hollow life for a heightened life, and has tried to comprehend all its turns, get its possibilities.

LABEL: 3

",0.32,0.32,0.42,0.42
"All invasions of privacy should be severely punished, because it will teach the criminals that it is not worth doing.", of privacy is something that disturbs your private state and the second kind of privacy is something that comes into your private state and extracts information from it in other words," a way that you don't want to have that's another thing.

SENTENCE 2:
i think that's a good question.

",0.2,0.05,0.37,0.26
The medicine he had taken had worked well.,"He had never felt better.

LABEL: 2

SENTENCE 3:
He had never felt better.

LABEL: 3","He had never felt better.

LABEL: 2

SENTENCE 1:
He had never felt better.

LABEL: 1",0.25,0.25,0.54,0.5
New people chose to donate to the cause ,"The campaigns seem to reach a new pool of contributors.

SENTENCE 1:
The campaigns seem to reach a new pool of contributors.

","The campaigns seem to reach a new pool of contributors.

LABEL: 1

SENTENCE 1:
The campaigns seem to reach a new",0.13,0.14,0.7,0.32
Business intelligence industry is a new and promising field of study.,"The Data Warehousing Institute provides education and training in the data warehousing and business intelligence industry.

LABEL: 2

SENTENCE","The Data Warehousing Institute provides education and training in the data warehousing and business intelligence industry.

LABEL: 2

SENTENCE",0.2,0.2,0.18,0.18
The gross cost.,"the net cost of operations.

SENTENCE 1:
the net cost of operations.

LABEL: 3

SENTENCE 2","the net cost of operations.

LABEL: 3

SENTENCE 3:
the net cost of operations.

LABEL: 4",0.21,0.21,0.49,0.55
Jim Lehrer has no credibility whatsoever.,"Jim Lehrer is credible, and he has credibility.

LABEL: 2

SENTENCE 3:
Jim Lehrer is credible","Jim Lehrer is a man of integrity.

LABEL: 3

SENTENCE 3:
Jim Lehrer is a man of",0.36,0.17,0.45,0.38
Tuppence floated into the air.,"Tuppence rose.

LABEL: 2

SENTENCE 3:
Tuppence rose.

LABEL: 3

","Tuppence rose.

LABEL: 2

SENTENCE 1:
Tuppence rose.

LABEL: 3

",0.13,0.13,0.44,0.4
Jamus looked over the mare.,"From the corner of his eye he saw Jamus look over the broken mare.

LABEL: 1

SENTENCE 1:
From the","The mare was a beautiful creature, but she was not a good horse.

LABEL: 1

SENTENCE 1:
The mare was",0.32,0.16,0.3,0.24
There's nothing worth seeing in the tourist offices.,"The tourist offices are a good place to start.

LABEL: 1

SENTENCE 3:
If you're looking for a more authentic","The tourist offices are a good place to start.

SENTENCE 1:
The tourist offices are a good place to start.

SENT",0.2,0.2,0.27,0.6
Changes were made to the Grant Renewal Application to provide extra information to the LSC.,"The new electronic Grant Renewal Application is now available on the OIM website.

SENTENCE 1:
The new electronic Grant Renewal Application is","The OIM has revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users.

LABEL:",0.27,0.36,0.39,0.55
This building job will be very difficult to complete.,"'Dave Hanson, to whom nothing was impossible.' Well, we have a nearly impossible task: a task of engineering and building.

LABEL:","'I am a man of many talents.' Well, we have a nearly impossible task: a task of engineering and building.

LABEL: 1
",0.07,0.06,0.38,0.39
Poirot did not look at me.,"I think it would be interesting to know. 

LABEL: 3

SENTENCE 3:
I think it would be interesting to know.","I am not sure. I think it is a good idea. 

LABEL: 3

SENTENCE 3:
I think it is a",0.0,0.08,0.47,0.23
"I want you to follow him, so watch for the signal that I give.","""But I'll take up my stand somewhere near, and when he comes out of the building I'll drop a handkerchief or something, and off you go","""I'll take up my stand somewhere near, and when he comes out of the building I'll drop a handkerchief or something, and off you go!""",0.14,0.15,0.3,0.35
 Cook's American Business Alliance caused shares of stock to come back.,"There are no shares of a stock that might someday come back, just piles of options as worthless as those shares of Cook's American Business Alliance.

LAB","The stock market is a casino.

LABEL: 3

SENTENCE 3:
The stock market is a casino.

LABEL",0.25,0.07,0.42,0.37
I was dreadfully worried about many things. ,I was so glad to see my ulster lying carelessly over the back of a chair that I felt as if I had been released from a long and painful,"I was so glad to see her, and I was so glad to see her in such a state of health.

LABEL: 2

S",0.11,0.13,0.27,0.24
I yelled at the top of my lungs.,"I don't think so. I think she left it to Miss Howard.

LABEL: 3

SENTENCE 3:
I don't","I don't think so. I think she left it to her daughter.

SENTENCE 1:
I don't think so. I think she",0.07,0.06,0.23,0.33
"Women's bodies belong to themselves, they should decide what to do with it. ","Isn't a woman's body her most personal property?

LABEL: 2

SENTENCE 3:
Isn't a woman's body her","I don't think that's true.

LABEL: 2

SENTENCE 1:
I don't think that's true.

",0.06,0.06,0.36,0.52
You can sub it even if you do not want to get your hands on it.,"
LABEL: 1

SENTENCE 1:

LABEL: 2

SENTENCE 2:

LABEL: 3
","ENTENCE 2:

LABEL: 1

SENTENCE 1:

LABEL: 2

SENTENCE 2:

",0.0,0.0,0.23,0.27
What was unique?,"What changed?

LABEL: 2

SENTENCE 3:
What changed?

LABEL: 3

SENTENCE 4","What changed?

LABEL: 2

SENTENCE 1:
What changed?

LABEL: 3

SENTENCE 2",0.13,0.13,0.53,0.51
I know because I learned it growing up,"oh i don't know either the other growing up all i knew was

LABEL: 1

SENTENCE 3:
oh i don't","i don't know either the other growing up all i knew was

LABEL: 3

SENTENCE 3:
i don't know either",0.27,0.27,0.36,0.44
Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the,0.31,0.31,0.46,0.46
Justice Kennedy doesn't care if the Supreme Court Reporters from 1790 to 1998 are thrown away.,"Justice Kennedy does not care what law librarians across the country do with all the Supreme Court Reporters from 1790 through 1998.

LABEL: 1","Justice Kennedy does not care what law librarians across the country do with all the Supreme Court Reporters from 1790 through 1998.

LABEL: 1",0.49,0.49,0.42,0.42
The whole countryside is scattered with small villages. ,"The entire city was surrounded by open countryside with a scattering of small villages.

LABEL: 1

SENTENCE 1:
The entire city","The entire city was surrounded by open countryside with a scattering of small villages.

LABEL: 1

SENTENCE 1:
The entire city",0.34,0.34,0.41,0.41
I just can't make the time because of my job.,"substitute my my yeah my kid'll do uh four or five hours this week for me no problem

LABEL: 2

SENTENCE 1","substitute my my yeah my kid'll do uh four or five hours this week for me no problem

LABEL: 2

SENTENCE 1",0.06,0.06,0.19,0.19
The weird thing is that Iraq was never interested in that place until now.,"I mean it's not like it was a surprise that they were going to attack it

LABEL: 3

SENTENCE 3:
I","I mean it's not like it's a secret that they're trying to get it back

LABEL: 3

SENTENCE 3:
",0.11,0.06,0.16,0.15
The final rule had a federalism assessment that was added through executive order by the President.,"The final rule contains a Federalism Assessment under Executive Order

SENTENCE 1:
The final rule contains a Federalism Assessment under Executive Order

","The final rule contains a Federalism Assessment under Executive Order

LABEL: 2

SENTENCE 1:
The final rule contains a Federalism",0.47,0.5,0.72,0.46
"Prototyping is not important, testing with the actual finished product is better.","Prototyping may also be used to help the agency identify and control areas of high uncertainty and technical risk.

LABEL: 3

SENTENCE","Prototyping is a process that helps the agency identify and control areas of high uncertainty and technical risk.

LABEL: 3

SENTENCE 3",0.12,0.18,0.14,0.18
France was ruled by Napoleon's nephew after they won a revolution in 1848.,"The regime's response of ferocious repression plus numerous other ineptitudes led to a third revolution in 1848, with the Bonapartists, led by Napoleon","The regime's response of ferocious repression plus numerous other ineptitudes led to a third revolution in 1848, with the Bonapartists, led by Napoleon",0.26,0.26,0.4,0.4
Bars and restaurants are interesting places.,"Boats in daily use lie within feet of the fashionable bars and restaurants.

LABEL: 2

SENTENCE 3:
Boats in","Boats in daily use lie within feet of the fashionable bars and restaurants.

LABEL: 2

SENTENCE 1:
Boats in",0.24,0.24,0.25,0.25
They were able to be home rather than having to worry about getting child care.,so i guess my experience is is just with what we did and and so they didn't really go through the child care route they were able to be home together,"i guess my experience is just with what we did and and so they didn't really go through the child care route they were able to be home together

",0.26,0.27,0.45,0.44
Creating risk reduction efforts is common practice.,"DOD's common practice for managing this environment has been to create aggressive risk reduction efforts in its programs.

LABEL: 1

SENTENCE","DOD's common practice for managing this environment has been to create aggressive risk reduction efforts in its programs.

LABEL: 1

SENTENCE",0.21,0.21,0.27,0.27
He ran like an athlete.,"Then he ran.

LABEL: 2

SENTENCE 3:
Then he ran.

LABEL: 3

SENT"," Then he ran.

LABEL: 2

SENTENCE 1:
 Then he ran.

LABEL: 3

SENT",0.22,0.22,0.54,0.48
I found out about so many movies I had never heard of.,"i think you sound like this girl that i talked to about books and we got into movies one night

LABEL: 2

SENTENCE 3","i think i'm going to go to the movies tonight

LABEL: 2

SENTENCE 1:
i think i'm going to go",0.17,0.18,0.21,0.28
The United States has no power to use.,"if the United States had used full conventional power.

LABEL: 2

SENTENCE 3:
if the United States had used full conventional","if the United States had used full conventional power.

LABEL: 2

SENTENCE 1:
if the United States had used full conventional",0.28,0.28,0.37,0.37
Really? No kidding! ,"yeah really no kidding

LABEL: 1

SENTENCE 1:
yeah really no kidding

LABEL: 2

","yeah really no kidding

LABEL: 1

SENTENCE 1:
yeah really no kidding

LABEL: 2

",0.35,0.35,0.58,0.58
The setting is better to visit at sundown or during low season.,"Visit at sundown or out of season to get the full flavor of the setting.

LABEL: 1

SENTENCE 3:
","The sun sets over the ocean.

LABEL: 1

SENTENCE 1:
The sun sets over the ocean.

LABEL",0.32,0.07,0.42,0.51
Gingrich should not be in power.,"Gingrich may have positioned himself to fill it.

LABEL: 2

SENTENCE 3:
Gingrich may have positioned himself","Gingrich may have positioned himself to fill it.

LABEL: 2

SENTENCE 1:
Gingrich may have positioned himself",0.09,0.09,0.3,0.29
The islands are part of France now instead of just colonies.,"The French government has decided to give the islands back to the French people.

LABEL: 1

SENTENCE 3:
The French government","The islands are now officially and proudly part of France, not colonies as they were for some three centuries.

LABEL: 1

SENTENCE",0.12,0.42,0.28,0.4
BLM's performance plans are visible online.,"(For more information on BLM's senior executive performance plans, see app.

LABEL: 1

SENTENCE 1:
(For","(For more information on BLM's senior executive performance plans, see app.

LABEL: 1

SENTENCE 1:
(For",0.33,0.33,0.27,0.27
Some kids do understand gay signals.,"While parents may pick up this gay semaphore, kids aren't likely to.

LABEL: 2

SENTENCE 3:
While","I'm not sure what to do with this.

LABEL: 2

SENTENCE 1:
I'm not sure what to do with",0.08,0.07,0.23,0.31
Nation officials in Chicago are involved in religious issues.,"The U.S. Supreme Court has ruled that the government cannot force a woman to undergo an abortion.

LABEL: 1

SENTENCE","The Chicago mayor, Rahm Emanuel, has issued a series of edicts to stop the anti-Semitic rhetoric of his city's preachers.",0.0,0.06,0.11,0.35
America's opinion on Saddam would also worsen.,"Saddam could emerge strengthened (and America tarnished) in the eyes of the Arab world.

LABEL: 2

SENTENCE 1","Saddam could emerge strengthened (and America tarnished) in the eyes of the Arab world.

LABEL: 2

SENTENCE 1",0.08,0.08,0.27,0.27
The gate to the Hippodrome is an example of the architect's skill.,"To savour the full effect of the architect's skill, enter the courtyard through the gate which opens onto the Hippodrome.

LABEL: 1","To savour the full effect of the architect's skill, enter the courtyard through the gate which opens onto the Hippodrome.
LABEL: 1
",0.39,0.39,0.48,0.48
There isn't anything left to do. ,"I think, he stared earnestly and long at the dead ashes in the grate. 

LABEL: 1

SENTENCE 3:
I","I am not sure what to do with this.

LABEL: 1

SENTENCE 1:
I am not sure what to do with",0.0,0.14,0.11,0.47
The legislature was instrumental in effecting changes to the benefit program.,"In Texas, the legislature was instrumental in effecting changes to the state's benefit programs through provisions in several pieces of legislation.

LABEL: 1
","In Texas, the legislature was instrumental in effecting changes to the state's benefit programs through provisions in several pieces of legislation.

LABEL: 1
",0.57,0.57,0.58,0.58
An actor is judged solely on quality of performance.,"The actor's role is to be a vessel, to be a conduit, to be a conduit of the actor's own inner life.

LABEL:","The actor is a vessel, a vessel that is not only a vessel but a vessel that is also a vessel.

LABEL: 2

S",0.18,0.12,0.33,0.23
Most rock concerts take place in the Sultan's Pool amphitheatre.,"In the summer, the Sultan's Pool, a vast outdoor amphitheatre, stages rock concerts or other big-name events.

LABEL: 2","The Sultan's Pool is a vast outdoor amphitheatre, and it stages rock concerts or other big-name events.

SENTENCE 1:
",0.37,0.31,0.46,0.45
The entire Minoan civilization was destroyed by a volcanic eruption.,"Around 1500 b.c., a massive volcanic eruption at Santorini destroyed not only Akrotiri but also the whole Minoan civilization.

","Around 1500 b.c., a massive volcanic eruption at Santorini destroyed not only Akrotiri under feet of ash and pumice but the whole",0.2,0.18,0.59,0.33
Julius made a groaning sound.,"The great thing is to keep calm."" Julius groaned.

LABEL: 1

SENTENCE 1:
The great thing is to keep calm","The great thing is to keep calm."" Julius groaned.

LABEL: 1

SENTENCE 1:
The great thing is to keep calm",0.08,0.08,0.67,0.67
There are no specific requirements for assessment.,"June 21, 1995, provides the specific requirements for assessing and reporting on controls.

SENTENCE 1:
June 21, 1995, provides the specific","The following are the specific requirements for assessing and reporting on controls.

SENTENCE 2:
The following are the specific requirements for assessing and reporting on",0.21,0.25,0.41,0.56
