completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
The Río Blanco - Mine is a large copper mine in northern Peru in the region of Loreto .,"The mine is located in the Río Blanco district of the Loreto Region.

LABEL: 2

SENTENCE 1:
","The Río Blanco mine is a large copper mine located in the north of Peru in Loreto Region.

LABEL: 1

S",0.39,0.7,0.14,0.55
He appeared as General Onoda in the Amazon - Show `` The Man in High Castle '' and as Tao on AMCs '' Hell On Wheels '' .,"He also appeared in the films `` The Man at the High Castle '', `` Hell On Wheels '', and `` The Man at the High Castle ''.","He appeared as General Tao in the Amazon - Show `` The Man at the High Castle '', and as Onoda in AMC `` Hell On Wheels ''",0.5,0.76,0.51,0.76
"The spectral light levels that can be measured by plants for photosynthesis are similar , but not the same as what is used by lumens .","The spectral levels of light that can be measured by plants for photosynthesis is similar to, but not the same as what's used by lumens.
","The spectral levels of light that can be measured by plants for photosynthesis is similar to, but not the same as what's used by lumens.
",0.84,0.84,0.76,0.76
Sunset Road comes in from the right and becomes Briscoe Mountain Road .,"The Sunset Sunset Road becomes Briscoe Mountain Road.

LABEL: 2

SENTENCE 1:
The Sunset Sunset","The Sunset Sunset Road becomes Briscoe Mountain Road.

LABEL: 2

SENTENCE 1:
The Sunset Sunset",0.44,0.44,0.4,0.4
"To get there , take Marine Drive west from the Lions Gate Bridge past Horseshoe Bay to Lighthouse Park and then continue on to 7100 Block Marine Drive .","The 7100 Marine Drive block is a short distance from the West Vancouver Community Centre.

LABEL: 1

SENTENCE 1:
To","The 7100 Marine Drive block is a very nice place to visit.

LABEL: 1

SENTENCE 1:
To get there,",0.21,0.17,0.07,0.28
"Inverallan is one of the parishes that formed the civil ( later ecclesiastical ) parish of Cromdale , Inverallan and Advie in Morayshire , Scotland .","Inverallan is a parish in the Scottish county of Moray.

LABEL: 1

SENTENCE 1:
Inverall","Inverallan is one of the parishes which formed the ecclesiastical ( later civil ) parish of `` Cromdale, Inverallan and Adv",0.22,0.72,0.25,0.61
Thuso Nokwanda Mbedu was born Thuso Mbebu in Pietermaritzburg .,"Mr. Thuso Nokwanda Mbedu is a South African actor.

LABEL: 2

SENTENCE 1:
Mr","Mr. Thuso Nokwanda Mbedu was born in Pietermaritzburg as Thuso Mbebu.

LABEL: 1",0.26,0.64,0.25,0.55
"For ideal gases the molar volume is given by the standard gas equation , a good approximation for many common gases at ideal temperature and pressure .","The molar volume of a gas is the volume occupied by one mole of gas at a given temperature and pressure.

LABEL: 1

SENT","For ideal gases, the molar volume is given by the ideal gas equation, a good approximation for many usual gases at standard temperature and pressure.

LABEL",0.41,0.86,0.19,0.73
John Barrow Island is a member of the Canadian Arctic Archipelago and the Queen Elizabeth Islands in the Nunavut area .,"John Barrow Island is a member of the Queen Elizabeth Islands and the Canadian Arctic Archipelago in the territory of Nunavut.

LABEL","John Barrow Island is a member of the Queen Elizabeth Islands and the Canadian Arctic Archipelago in the territory of Nunavut.

LABEL",0.67,0.67,0.65,0.65
It was chosen as the 7th best film at the 19th Yokohama Film Festival .,"It was chosen as the 19th best movie at the 7th Yokohama Film Festival.

LABEL: 1

SENTENCE 1","It was chosen as the 19th best movie at the 7th Yokohama Film Festival.

LABEL: 1

SENTENCE 1",0.69,0.69,0.58,0.58
Christopher Llewellyn ( born Christopher Griffiths ) is an actor known for his role as Logan in the film 'Where Were We ... `` ' from the year 2002 .,"He is also known for his role as the title character in the film `` The Last Days of Frankie the Fly ''.

LABEL: 1
","Christopher Griffiths ( born Christopher Llewellyn ) is an actor, best known for his role as Logan in the 2002 film `` Where Were We...",0.43,0.78,0.08,0.77
"Netanya is located on the Israeli Mediterranean coast , the historic land bridge between Europe , Africa and Asia .","Netanya is located on the Israeli Mediterranean Coastal Plain, the historic land bridge between Europe, Africa, and Asia.

LABEL: 2

","Netanya is located on the Israeli Mediterranean Coastal Plain, the historic land bridge between Europe, Africa, and Asia.

LABEL: 1

",0.86,0.86,0.69,0.7
Megasaurus is owned by Rick and Sheri Dorritie and Transaurus is owned by Mike West .,"Owned by Rick and Sheri Dorritie is Megasaurus and owned by Mike West Transaurus.

LABEL: 2

SENT","Owned by Rick and Sheri Dorritie is Megasaurus and owned by Mike West Transaurus.

LABEL: 1

SENT",0.69,0.69,0.48,0.48
All five events started on the last day and concluded with the final on the first day .,"The first event was the first event and the second event was the second event.

LABEL: 2

SENTENCE 3:
The third","The first event was the first event and the second event was the second event.

LABEL: 2

SENTENCE 3:
The third",0.21,0.21,0.2,0.2
"In January 2011 , the Deputy Secretary General of FIBA Asia , Hagop Khajirian , inspected the venue together with SBP - President Manuel V. Pangilinan .","The venue is expected to be completed by the end of the year.

LABEL: 1

SENTENCE 1:
The venue is expected","The venue is expected to be completed by the end of the year.

LABEL: 1

SENTENCE 1:
The Philippine Basketball Association",0.19,0.14,0.17,0.1
The strong influence of redfigurine attic vase painting has convinced some experts that the artist who decorated the tomb was a Greek Metic .,"The red metic was a Greek vase painter who lived in the Attic region of Greece.

LABEL: 1

SENTENCE 1","The strong influence of Attic-figure Greek vase painting has convinced some experts that the artist who decorated the tomb was a red metic.

LAB",0.19,0.87,0.27,0.67
A unique feature of ceremonial metate is the lack of human figures .,"The metate is a stone slab used for grinding corn.

LABEL: 1

SENTENCE 1:
The metate is a stone","The metate is a stone tool used to grind food.

LABEL: 1

SENTENCE 1:
The metate is a stone",0.19,0.19,0.31,0.3
"Durr was born in Birmingham , Alabama , where she was brought up by black women , but was also taught that the Ku Klux Klan were protectors of southern femininity .","Durr was born in Birmingham, Alabama, where she was brought up by southern women, but was also taught that the Ku Klux Klan were protectors","Durr was born in Birmingham, Alabama, where she was brought up by southern women, but was also taught that the Ku Klux Klan were protectors",0.91,0.91,0.7,0.7
"Katrina M. of Sputinik Music was bright and cheerful and said the song is reversed , positive .","The song is a reverse, bright and cheerful.

LABEL: 1

SENTENCE 1:
Katrina M. of Sputin","Katrina M. of Sputinik Music was positive and said that the song is reverse, bright and cheerful.

LABEL: 0

",0.19,0.63,0.47,0.61
"The Mississippi , the Nokasippi and the Little Nokasippi are all in the vicinity .","The Nokasippi River, the Mississippi River and the Little Nokasippi River are all in the area.

LABEL: 2

","The Nokasippi River, the Mississippi River and the Little Nokasippi River are all in the area.

LABEL: 1

",0.65,0.65,0.58,0.57
Hamilton Ventura won the 2006 South America Games against Álvarez .,"In 2006, the Álvarez won the South America Games against Hamilton Ventura.

LABEL: 1

SENTENCE 1:
In","In 2006, the Álvarez won the South America Games against Hamilton Ventura.

LABEL: 1

SENTENCE 1:
In",0.44,0.44,0.37,0.37
"Some reports claim `` 30 years or more '' , while others assert `` 50 years or more '' .","The average age of a person in the United States is 35 years old.

LABEL: 2

SENTENCE 1:
Some reports state","Some reports state `` 30 years or more '', while others claim `` 50 years or more ''.

LABEL: 2

SENTENCE 1",0.11,0.75,0.32,0.58
"The resignation of Councillor Horace Muspratt ( Party ? , St. Peter 's , reported 15 April 1908 ) was elected to the Council on 2 June 1909 .","The resignation of Councillor Horace Muspratt ( party?, St. Peter, reported April 15, 1908 ) was elected to the council on","The resignation of Councillor Horace Muspratt ( party?, St. Peter, reported April 15, 1908 ) was elected to the council on",0.86,0.86,0.58,0.58
"In an earth-like orbit , a Saturn planet , HD 38283 b , was discovered on April 11 , 2011 .","The planet is about the same size as Earth, but it is much closer to its star.

LABEL: 1

SENTENCE 1:","On April 11, 2011, a like planet, HD 38283 b, was discovered in an Earth-Saturnian orbit.

LABEL: 1",0.05,0.39,0.05,0.56
"On July 21 , 2014 , after his two successful years at Las Palmas in Spain , Chrisantus signed a three-year contract with Sivasspor at the Turkish Super Lig .","He was the first player to score a hat-trick in the Turkish Super Lig.

LABEL: 1

SENTENCE 1:
","On July 21, 2014, after his two successful years at Las Palmas in Spain, Chrisantus signed a three-year contract with the Turkish Super Lig",0.22,0.96,0.08,0.77
"Ken Fisher ( born c. 1963 in New Jersey ) is a pseudonym for Ruben Bolling , a cartoonist , the author of `` Tom the Dancing Bug '' .","Ruben Bolling is a pseudonym for cartoonist Ken Fisher, the author of `` Tom the Dancing Bug ''.

LABEL: 1
","Ruben Bolling ( born 1963 in New Jersey ) is a pseudonym for cartoonist Ken Fisher, the author of `` Tom the Dancing Bug ''.",0.59,0.77,0.54,0.82
"On 1 December , Tinnish announced that he had withdrawn from his position with Atlanta and would remain with Toronto .","Tinnish will be replaced by former Toronto coach, Mike Babcock.

LABEL: 1

SENTENCE 1:
On December 1","On December 1, Tinnish announced that he had withdrawn from his position with Toronto and would stay with Atlanta.

LABEL: 1

S",0.11,0.73,0.2,0.61
"It is located in the southeastern part of the county , in the southern part of the state .","The county is located in the southeastern part of the state.

LABEL: 1

SENTENCE 1:
Located in the southern","The county is located in the southeastern part of the state.

LABEL: 1

SENTENCE 1:
The county is located in",0.61,0.54,0.41,0.39
"He was born on 23 October 1806 in New York , East Broadway .","He was the son of a German immigrant and a native New Yorker.

LABEL: 2

SENTENCE 1:
He was born in","He was born in New York City in East Broadway on October 23, 1806.

LABEL: 2

SENTENCE 1:
He",0.24,0.52,0.19,0.41
He always added his own surname of Bhosle and afterwards treated the child like his own son .,"He was a great singer and a great human being.

LABEL: 2

SENTENCE 1:
He was a great singer and a","He always added his own surname of Bhosle and then treated the child like his own son.

LABEL: 1

SENTENCE 1",0.11,0.84,0.31,0.67
"After selling his house on 30 Harare ride to the Canadian embassy , he bought Bromley Farm outside Marondera , Zimbabwe .","He bought the farm in the hope that it would be a good investment.

LABEL: 2

SENTENCE 1:
After selling his","He bought Bromley Farm just outside Marondera, Zimbabwe.

LABEL: 2

SENTENCE 1:
After selling his house on",0.15,0.39,0.24,0.37
"The Baldwins lived in Washington , D.C. Helen Baldwin died in 1977 , and Robert Baldwin died on March 14 , 1998 , from the disease of Lou Gehrig .","Robert Baldwin died in 1977, and Helen Baldwin died March 14, 1998, from Lou Gehrig's disease.

LABEL: 1

","The Baldwins lived in Washington, D.C. Robert Baldwin died in 1977, and Helen Baldwin died March 14, 1998, from Lou Gehrig",0.58,0.83,0.42,0.72
Lake Bistineau is an entry point to Doyline and the Lake Bistineau State Park .,"Doyline is a popular fishing spot for anglers.

LABEL: 1

SENTENCE 1:
Doyline is a popular","Doyline is an entry point to Lake Bistineau and the Bistineau State Park.

LABEL: 0

SENTENCE 1",0.13,0.65,0.29,0.56
"Companies based in the larger Rivium include Rockwell Automation , Pfizer Nederland , Sodexho Nederland , Royal Dutch Shell , Van Oord , and many more .","The city is home to the headquarters of many companies, including Rockwell Automation, Royal Dutch Shell, Sodexho Nederland, Pfizer,","The city is home to the headquarters of many companies, including Rockwell Automation, Royal Dutch Shell, Sodexho Nederland, Pfizer,",0.3,0.3,0.53,0.53
"Axl Rose had wanted Seattle rock band Nirvana to be the opening act , but frontman Kurt Cobain refused .","Cobain was a fan of the band and had wanted to be the opening act.

LABEL: 2

SENTENCE 1:
","Axl Rose had wanted the Seattle rock band Nirvana to be the opening act, but frontman Kurt Cobain declined.

LABEL:",0.38,0.89,0.25,0.69
"He built weapon factories for Vtorov and Mikhelson in electrostal , Zatishye ( Moscow , Serpukhov ) and Bogorodsk ( Noginsk ) .","He built weapons factories for Vtorov and Mikhelson in Moscow, Serpukhov, Zatishye ( Elektrostal ), Bog","He built weapons factories for Vtorov and Mikhelson in Moscow, Serpukhov, Zatishye ( Elektrostal ), Bog",0.67,0.67,0.62,0.62
"In June of 1997 , Armstrong met Kristin Richard .","Richard Armstrong is the son of John Armstrong.

LABEL: 1

SENTENCE 1:
In June of 1997, Kristin met Richard","Richard Armstrong was a professor of computer science at the University of Pennsylvania.

LABEL: 1

SENTENCE 1:
In June of 1997",0.44,0.28,0.33,0.24
U.S. Route 191 leads north from Douglas to Interstate 10 near Willcox . Arizona State Route 80 leads west to Bisbee and northeast to Interstate 10 in New Mexico .,"The U.S. Route 191 leads north from Douglas to Interstate 10 near Willcox, the Arizona State Route 80 leads west to Bisbee and northeast to Interstate","The U.S. Route 191 leads north from Douglas to Interstate 10 near Willcox, the Arizona State Route 80 leads west to Bisbee and northeast to Interstate",0.89,0.89,0.64,0.64
"Most individualist anarchists supported anarchosyndicalism and communist anarchism , while a few Jewish anarchists were .","Most Jewish anarchists supported anarchosyndicalism and communist anarchism, while a few were individualist anarchists.

LABEL: 1
","Most Jewish anarchists supported anarchosyndicalism and communist anarchism, while a few were individualist anarchists.

LABEL: 1
",0.73,0.73,0.64,0.64
"From 1921 to 2012 , Cincinnati -- Blue Ash Airport was the Blue Blue Ash site .","From 1921 to 2012, Blue Ash Airport was the location of Blue Ash Airport -- Cincinnati.

LABEL: 1

SENTENCE 1:
","Blue Ash Airport is located in Blue Ash, Ohio.

LABEL: 1

SENTENCE 1:
From 1921 to 2012, Blue Ash",0.67,0.36,0.36,0.33
"It was founded in 1982 by Hilton Kramer , former art critic for `` The New York Times '' , and Samuel Lipman , a pianist and music critic .","It was founded in 1982 by Samuel Lipman, a former art critic of `` New York Times '' and Hilton Kramer, pianist and music critic.
","It was founded in 1982 by Samuel Lipman, a former art critic of `` New York Times '' and Hilton Kramer, pianist and music critic.
",0.72,0.72,0.84,0.84
"Constante was the wife of the musicologist Harry Brauner , and the sister-in-law of the painter Victor Brauner .","Constante was the wife of musicologist Victor Brauner and the sister-in-law of the painter Harry Brauner.

LABEL: 1
","Constante was the wife of musicologist Victor Brauner and the sister-in-law of the painter Harry Brauner.

LABEL: 0
",0.82,0.82,0.66,0.69
The Grand Grand Lake is connected to the short Shadow Mountain Lake by a natural channel .,"The natural Grand Lake is connected by a short channel to the natural Shadow Mountain Lake.

LABEL: 1

SENTENCE 1:
The","Shadow Mountain Lake is connected by a short channel to the natural Grand Lake.

LABEL: 1

SENTENCE 1:
The Grand Lake",0.54,0.32,0.43,0.49
The livery of trams on Line 1 was decorated in blue with white swallows by stylists Élisabeth Garouste and Mattia Bonetti .,"The trams on line 1 are decorated with blue swallows by the stylists Élisabeth Garouste and Mattia Bonetti in white.

",The painting of the trams on line 1 was decorated with blue swallows by the stylists Élisabeth Garouste and Mattia Bonetti in white,0.73,0.77,0.72,0.67
"In 1986 , Ray and Sitcom were actress Marla Gibbs among the notables who helped consecrate Billie Holiday Star on the Hollywood Walk of Fame .","Gibbs was born in Chicago, Illinois, and grew up in Los Angeles, California.

LABEL: 2

SENTENCE 1:
","In 1986, Ray and sitcom actress Marla Gibbs were among the notables who helped dedicate Billie Holiday's star on the Hollywood Walk of Fame",0.1,0.9,0.07,0.78
The light region of each immunoglobulin heavy or variable chain is encoded in several pieces -- known as gene segments ( subgenes ) .,"The variable region of each heavy or light immunoglobulin chain is encoded in several pieces -- known as gene segments ( subgenes ).

LABEL: 1
","The variable region of each heavy or light immunoglobulin chain is encoded in several pieces -- known as gene segments ( subgenes ).

LABEL: 1
",0.81,0.81,0.7,0.7
"Will and Gypsy sleep together , but he returns to Dani and supports her after being raped by Kane Phillips ( Sam Atwell ) .","Dani and Will sleep together, but he returns to Gypsy and supports her after being raped by Sam Atwell ( Kane Phillips ).

LABEL","Will and Dani sleep together, but he returns to Gypsy and supports her after being raped by Sam Atwell ( Kane Phillips ).

LABEL",0.74,0.79,0.57,0.6
"Particularly strong erosion occurred in warmer melting periods during the ice ages , when the climate of the tundra reigned and the soil was not protected by a dense vegetation ceiling .","The soil was not protected by a strong vegetation.

LABEL: 1

SENTENCE 1:
Particularly dense erosion occurred in warmer melting","Particularly dense erosion occurred in warmer melting periods during the ice ages, when the climate of the tundra prevailed and the soil was not protected by a strong",0.32,0.86,0.37,0.59
"Torre is a New York Times , USA today , Wall Street Journal and Amazon International Bestselling Author .","Torre is a Wall Street Journal, USA Today, New York Times, and Amazon International's Bestselling Author.

LABEL: 2
","Torre is a Wall Street Journal, USA Today, New York Times, and Amazon International's Bestselling Author.

LABEL: 1
",0.63,0.63,0.61,0.62
"In many countries , he participated in Vic and fought for Armenia at the 2000 Olympic Games in Sydney , Australia .","Vic was born in Armenia and is a member of the Armenian National Olympic Committee.

LABEL: 2

SENTENCE 1:
","Vic participated in many different countries and fought for Armenia in the 2000 Olympic Games in Sydney, Australia.

LABEL: 2

SENT",0.21,0.7,0.17,0.47
"The tour reached Bangkok in Thailand on 12 July 2008 and on November 22 , 2008 in Shanghai .","The tour reached Shanghai on July 12, 2008 and Bangkok, Thailand on November 22, 2008.

LABEL: 1

SENTENCE 1:","The tour reached Shanghai on July 12, 2008 and Bangkok, Thailand on November 22, 2008.

LABEL: 1

SENTENCE 1:",0.61,0.61,0.39,0.39
"He died on 28 September 1988 in Los Angeles , California , and was buried at Hillside Memorial Park Cemetery in Culver City , California .","He was born in Culver City, California on September 28, 1988, and was buried at the Hillside Memorial Park Cemetery in Los Angeles, California.
","He died in Culver City, California on September 28, 1988, and was buried at the Hillside Memorial Park Cemetery in Los Angeles, California.

",0.61,0.67,0.66,0.81
"For the first time in the history of the league , Paul Gait from Rochester played against his twin brother Gary Gait of Philadelphia .","Paul Gait of Philadelphia scored the first goal of the game.

LABEL: 1

SENTENCE 1:
For the first time in","For the first time in league history, Gary Gait of Rochester played against his twin brother Paul Gait of Philadelphia.

LABEL: 1

",0.23,0.71,0.18,0.63
"The construction of the PRL began with the section Chatswood to Epping , which began in November 2002 .","The construction of the Chatswood section to Epping was completed in December 2003.

LABEL: 2

The construction of the Chatswood","The PRL was opened in stages between 2003 and 2007.

LABEL: 2

SENTENCE 1:
The construction of the PRL",0.43,0.28,0.41,0.26
"Anacharsis Evariste Baizeau ( 3 June 1821 , Paris -- 6 February 1910 , Nantes ) was a French military physician .","He was a member of the French Academy of Medicine.

LABEL: 2

SENTENCE 1:
Evariste Baizeau (","He was a surgeon in the French army during the Crimean War.

LABEL: 2

SENTENCE 1:
Evariste Ba",0.19,0.18,0.14,0.16
"The school was taken over in the 1960s by Patrick Kilroy , and his son Charles Kilroy took over the management of Kilroy 's College in 1999 .","The school was taken over by Charles Kilroy in the 1960s, his son Patrick Kilroy took over Kilroy College in 1999.

LABEL:","The school was taken over by Charles Kilroy in the 1960s, his son Patrick Kilroy took over Kilroy College in 1999.

LABEL:",0.71,0.71,0.63,0.63
During an interview in April 1994 `` Soap Opera Update '' Howarth said that the only thing he admired about Todd was his clothes style .,"Howarth, during an April 1994 `` Soap Opera Update '' interview, said that the only thing that he admired about Todd was his clothing style.

","Howarth, during an April 1994 `` Soap Opera Update '' interview, said that the only thing that he admired about Todd was his clothing style.

",0.83,0.83,0.81,0.81
"Anacharsis Evariste Baizeau ( June 3 , 1821 - February 6 , 1910 ) was a French military physician .","He was a member of the French Academy of Medicine.

LABEL: 1

SENTENCE 1:
He was a member of the French","Anacharsis Evariste Baizeau ( 3 June 1821, Paris -- 6 February 1910, Nantes ) was a French military physician.
",0.17,0.8,0.23,0.77
"His sister Mary ( born February 25 , 1956 ) won the 1500m in San Sebastian in 1977 and was appointed in Edmonton Commonwealth Games - Champion in 1978 .","She was the first woman to win the 1500m at the Commonwealth Games.

LABEL: 2

SENTENCE 1:
His sister Mary","She was the first woman to win the 1500m at the Commonwealth Games.

LABEL: 2

SENTENCE 1:
His sister Mary",0.18,0.18,0.27,0.27
"During the second reign of Henry VI and Edward IV , or during the short reign of Edward V , no farthings were produced .","No farthings were produced during the brief reigns of Henry VI and Edward IV, or during the second reign of Edward V.

LABEL: 1","No farthings were produced during the brief reigns of Henry VI and Edward IV, or during the second reign of Edward V.

LABEL: 1",0.65,0.65,0.57,0.57
"The private Catholic schools are Fort Meigs , Frank , Toth and Woodland Elementary Schools , with the primary public school , Saint Rose , making up the fifth .","The private Catholic schools are Fort Meigs, Frank, Toth and Woodland Elementary Schools, which make up the primary public school, Saint Rose, the fifth","The private Catholic schools are Fort Meigs, Frank, Toth and Woodland Elementary Schools, which make up the primary public school, Saint Rose, the fifth",0.88,0.88,0.75,0.75
"Having played for Millwall , Clapton Orient and Chelmsford City in Italy , Walsingham moved to England to play with Genoa and Bologna .","He returned to England in the summer of 2007 to play for Cambridge United.

LABEL: 1

SENTENCE 1:
He was born","After playing in England for Millwall, Clapton Orient and Chelmsford City, Walsingham moved to Italy to play with Genoa and Bologna",0.19,0.76,0.12,0.79
"In the seventh season she returns to Sunnydale not only to help Buffy and the Scoobies , but to perform in a leadership position .","She is the new head of the Watchers Council.

LABEL: 1

SENTENCE 1:
She is the new head of the","She returns to Sunnydale in season seven, not only to perform Buffy and the Scoobies, but to help in a position of leadership.
",0.14,0.7,0.2,0.65
"In 2005 and 2006 , a new southern stand was built to make the stadium a complete bowl .","The stadium was built in the 1930s and was originally called the ""New South Stand"".

LABEL: 2

SENTENCE 1:
","The stadium is also used for concerts and other events.

LABEL: 2

SENTENCE 1:
The stadium is also used for concerts",0.22,0.16,0.16,0.22
"The death of Mao Zedong in 1976 , however , brought economic reform to the PRC , which led to China ’ s expected investment in the Japanese economy .","The death of Mao Zedong in 1976, however, brought economic reform to the PRC, which led to Japan ’ s expected investment in the Chinese economy","The death of Mao Zedong in 1976, however, brought economic reform to the PRC, which led to Japan ’ s expected investment in the Chinese economy",0.92,0.92,0.83,0.83
Octavian annexed the value of Egypt and had the kingdom recognized as a Roman province .,"Octavian was the first Roman emperor to be born in Italy.

LABEL: 1

SENTENCE 1:
The Roman Empire was the","Octavian recognized the value of holding Egypt and had the kingdom annexed as a Roman province.

LABEL: 1

SENTENCE 1:",0.23,0.74,0.14,0.55
"In his debut season in New South Wales with St. George Dragons in 1957 , he represented Sydney Firsts and Sydney .","He was a member of the New South Wales team that won the 1958 Rugby League World Cup.

LABEL: 1

SENTENCE 1:","He was a member of the New South Wales team that won the 1957 Rugby League World Cup.

LABEL: 1

SENTENCE 1:",0.14,0.19,0.11,0.14
"On the left , the 13th IR would also attack the 10th Brigade line south of Marrett Wood .","The 13th Brigade line was held by the 10th IR.

LABEL: 1

SENTENCE 1:
The 10th IR was","On the left side the 10th IR would also attack the 13th Brigade line south of Marrett Wood.

LABEL: 1

SENT",0.29,0.79,0.19,0.64
"This created a new atrium on the Washington St. side of the building , modernized much of the building 's infrastructure and added spacious computers .","The building was renovated and modernized, and the atrium was expanded.

LABEL: 1

SENTENCE 1:
The building","The building was renovated and modernized, and the atrium was expanded.

LABEL: 1

SENTENCE 1:
The building",0.24,0.24,0.29,0.29
The application of the term ‘ illegal ’ to asylum seekers is controversial .,"The application of the term `` controversial '' to asylum seekers is illegal.

LABEL: 1

SENTENCE 1:
The application of the","The application of the term `` controversial '' to asylum seekers is illegal.

LABEL: 0

SENTENCE 1:
The application of the",0.6,0.6,0.37,0.36
"When he died in 1719 , his eldest son , also called Joseph , initially succeeded Joseph Truman .","Joseph Truman was the first president of the United States to be born in the United States.

LABEL: 2

SENTENCE 1:
","Joseph Truman was the eldest son of Joseph I and his wife, Elizabeth.

LABEL: 2

SENTENCE 1:
When he died",0.11,0.17,0.08,0.28
"The 1981/82 World Cup started in Reit im Winkl , Kiruna , Sweden on 9 January 1982 and finished in Germany on 13 April 1982 .","The World Cup was won by West Germany.

LABEL: 1

SENTENCE 1:
The World Cup started on 9 January 1982 in","The World Cup started on 9 January 1982 in Reit im Winkl and ended on 13 April 1982 in Kiruna, Sweden.

LABEL:",0.4,0.57,0.27,0.51
"They do not follow the pattern of caldera - growth and destruction that other shield - do volcanoes , caldera may form , but they generally do not disappear .","They are often found in the Pacific Ocean, and are sometimes called "" Pacific shield volcanoes "".

LABEL: 2

SENTENCE 1","They do not follow the pattern of caldera growth and destruction that other shield volcanoes do ; caldera may form, but they generally do not disappear",0.23,0.96,0.05,0.79
The first landing at Lae Airfield was made on 19 April 1927 by Ernest Mustar in a De Havilland DH.37 owned by Guinea Gold Airways from Wau .,"The first landing in Lae Airfield was possessed by Ernest Mustar on April 19, 1927 in a De Havilland DH.37 by Guinea Gold Air","The first landing in Lae Airfield was possessed by Ernest Mustar on April 19, 1927 in a De Havilland DH.37 by Guinea Gold Air",0.68,0.68,0.62,0.62
"In 2011 , a short double track section was also created between Langensteinbach and the newly built station of Schießhüttenäcker .","The new station is located on the Langensteinbach - Schießhüttenäcker railway line.

LABEL: 2

SENT","The new station is located on the Langensteinbach - Schießhüttenäcker railway line.

LABEL: 2

SENT",0.31,0.31,0.15,0.15
Several members of the McMillan Commission were appointed to the CFA as many supporters of the McMillan plan .,"The McMillan Commission was appointed to investigate the causes of the strike.

LABEL: 1

SENTENCE 1:
The McMill","Several members of the CFA were appointed to the McMillan Commission, as were many McMillan Plan supporters.

LABEL: 1

",0.44,0.65,0.25,0.61
