completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Adam would have won.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.

LABEL","Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.

LABEL",0.27,0.27,0.23,0.23
The table broke.,"I put the butterfly wing on the table and it broke.

LABEL: 1

SENTENCE 1:
I put the butterfly wing on","I put the butterfly wing on the table and it broke.

LABEL: 1

SENTENCE 1:
I put the butterfly wing on",0.25,0.25,0.47,0.47
Paul wasn't successful.,"George called Paul on the phone, but he wasn't successful.

LABEL: 2

SENTENCE 3:
George called Paul on the","Paul tried to call George on the phone, but he wasn't successful.

LABEL: 2

SENTENCE 1:
Paul tried to",0.33,0.33,0.44,0.31
The shark had better get away to safety fast!,"Look! There is a shark swimming right below that duck! It had better get away to safety fast!

LABEL: 1

SENTENCE","Look! There is a shark swimming right below that duck! It had better get away to safety fast!

LABEL: 1

SENTENCE",0.53,0.53,0.42,0.42
The suitcase is too large.,"The trophy doesn't fit into the brown suitcase because it is too large.

LABEL: 1

SENTENCE 1:
The trophy doesn","The trophy doesn't fit into the brown suitcase because it is too large.

LABEL: 1

SENTENCE 1:
The trophy doesn",0.38,0.38,0.3,0.3
Joe is 30 years older.,"Joe's uncle can still beat him at tennis, even though he is 30 years older.

LABEL: 1

SENTENCE 1:
","Joe's uncle can still beat him at tennis, even though he is 30 years older.

SENTENCE 1:
Joe's uncle can still beat",0.4,0.34,0.24,0.46
The large ball was made of steel.,"The large ball crashed right through the table because it was made of steel.

LABEL: 2

SENTENCE 3:
The large ball","The large ball crashed right through the table because it was made of steel.

LABEL: 2

SENTENCE 1:
The large ball",0.5,0.5,0.37,0.37
The crutches should be better.,"Sam's ankle is better, but he's still walking with crutches.

LABEL: 1

SENTENCE 3:
Sam's","Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.

LABEL: 1",0.09,0.28,0.29,0.37
His friend Henry let him stack Grant and his family in his barn where they would dry.,"Henry and Tatyana were happy to have a new house to live in. They had a big garden and a big barn where they stored their harvest.
","Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they",0.27,0.46,0.41,0.43
Jane invited her to come out.,"Jane knocked on the door, and Susan answered it. She invited her to come out.

LABEL: 2

SENTENCE 1:
","Jane knocked on the door, and Susan answered it. She invited her to come out.

LABEL: 2

SENTENCE 1:
",0.48,0.48,0.38,0.38
Bill is very cruel.,"Bill is very cruel.

LABEL: 2

SENTENCE 3:
Bill is very cruel.

LABEL: 3

","Bill was very cruel to Dan. He is very cruel.

LABEL: 2

SENTENCE 1:
Bill was very cruel to Dan",0.44,0.33,0.7,0.65
"Tom said ""Check"" to Ralph as he took Ralph's bishop.","Ralph said ""Check"" to Tom as he took his bishop.

LABEL: 2

SENTENCE 3:
Ralph said ""","Tom said ""Check"" to Ralph as he took his bishop.

LABEL: 2

SENTENCE 1:
Tom said ""Check""",0.52,0.64,0.51,0.66
"I sallied out for a bit of food, more to pass the time than because I wanted food.","I sallied out for a bit of food, more to pass the time than because I wanted it.

LABEL: 2

SENT","I sallied out for a bit of food, more to pass the time than because I wanted it.

LABEL: 2

SENT",0.87,0.87,0.65,0.65
Joe received the final report on the case.,"Joe paid the detective after he received the final report on the case.

LABEL: 2

SENTENCE 3:
Joe paid the detective","Joe paid the detective after he received the final report on the case.

LABEL: 2

SENTENCE 1:
Joe paid the detective",0.55,0.55,0.61,0.62
There were simply too many copies of the newsletter.,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.

LABEL:","We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.

LABEL:",0.35,0.35,0.35,0.35
He will be moving into The new house on Thursday.,"Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.

LABEL: 2

","Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.

LABEL: 2

",0.41,0.41,0.43,0.43
He could not help Dad now.,"Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but","Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but",0.29,0.29,0.35,0.35
"Beside the table there were crocks, baskets, and a five-quart pail of milk.","The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.","The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.",0.68,0.68,0.76,0.76
Kevin was so upset.,"Jim comforted Kevin because he was so upset.

LABEL: 2

SENTENCE 1:
Jim comforted Kevin because he was so","Jim comforted Kevin because he was so upset.

LABEL: 2

SENTENCE 1:
Jim comforted Kevin because he was so",0.35,0.35,0.52,0.52
Arnold lived two centuries earlier.,"Jackson was greatly influenced by Arnold, though he lived two centuries earlier.

LABEL: 2

SENTENCE 3:
Jackson was greatly influenced","Jackson was greatly influenced by Arnold, though he lived two centuries earlier.

LABEL: 2

SENTENCE 1:
Jackson was greatly influenced",0.4,0.4,0.49,0.5
I can't see around the stage.,"There is a pillar between me and the stage, and I can't see around it.

LABEL: 1

SENTENCE 1:
","There is a pillar between me and the stage, and I can't see around it.

LABEL: 1

SENTENCE 1:
",0.37,0.37,0.38,0.38
Prehistoric humans hunted for deer on the river banks.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.

LABEL: 2","Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.

LABEL: 2",0.52,0.52,0.52,0.52
Amy's parents are snobs.,"Sam and Amy are in love, but Amy's parents are unhappy about it, because they are snobs.

LABEL: 2

SENT","Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.

LABEL: 2

",0.38,0.38,0.39,0.4
John was hungry.,"Bill passed the half-empty plate to John because he was hungry.

LABEL: 2

SENTENCE 1:
Bill passed the half","Bill passed the half-empty plate to John because he was hungry.

LABEL: 2

SENTENCE 1:
Bill passed the half",0.26,0.26,0.31,0.31
She writes the book when she gets home from work.,"Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.

","Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.

",0.43,0.43,0.67,0.67
Bill left.,"Bill promised John to leave, so an hour later he left.

LABEL: 1

SENTENCE 3:
Bill promised John to leave","Bill promised John to leave, so an hour later he left.

LABEL: 1

SENTENCE 1:
John promised Bill to leave",0.18,0.18,0.52,0.44
She reads the article when she gets home from work.,"Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.

","Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.

",0.43,0.43,0.67,0.67
The door of the shop closed after Steve.,"Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.

LABEL:","Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.
LABEL: 2",0.42,0.41,0.37,0.4
"When Fred first saw my father, My father was twelve years old.","Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.

LABEL","Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.

LABEL",0.53,0.53,0.55,0.55
"Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled Grandma to the table.","
SENTENCE 2:
Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grand",", ""You are here.""

SENTENCE 2:
Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests.",0.15,0.16,0.35,0.25
George got back.,"Fred went to the store and bought groceries.

LABEL: 2

SENTENCE 3:
Fred went to the store and bought grocer","Fred watched TV while George went out to buy groceries. After an hour he got back.

LABEL: 2

SENTENCE 1:",0.0,0.26,0.43,0.27
"Lily spoke to Donna, breaking Donna's concentration.","Lily spoke to Donna, breaking her concentration.

LABEL: 2

SENTENCE 3:
Lily spoke to Donna, breaking her","Lily spoke to Donna, breaking her concentration.

LABEL: 2

SENTENCE 1:
Lily spoke to Donna, breaking her",0.48,0.48,0.53,0.54
Sue had such a bad start.,"Although they ran at about the same speed, Sally beat Sue because she had such a bad start.

LABEL: 1

SENTENCE 3","Although they ran at about the same speed, Sally beat Sue because she had such a bad start.

LABEL: 1

SENTENCE 1",0.43,0.43,0.33,0.35
She couldn't stand Madonna's boyfriend.,"Madonna fired her trainer because she couldn't stand her boyfriend.

LABEL: 1

SENTENCE 1:
Madonna fired her trainer","Madonna fired her trainer because she couldn't stand her boyfriend.

LABEL: 1

SENTENCE 1:
Madonna fired her trainer",0.38,0.38,0.58,0.58
The axe is too small.,"I can't cut that tree down with that axe; it is too small.

LABEL: 2

SENTENCE 1:
I can","I can't cut that tree down with that axe; it is too small.

LABEL: 2

SENTENCE 1:
I can",0.32,0.32,0.26,0.26
She slept with Madonna's boyfriend.,"Madonna fired her trainer because she slept with her boyfriend.

LABEL: 2

SENTENCE 1:
Madonna fired her trainer because","Madonna fired her trainer because she slept with her boyfriend.

LABEL: 2

SENTENCE 1:
Madonna fired her trainer because",0.32,0.32,0.52,0.52
"I don't know why the guy in uniform was, but he looked very unhappy.","I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.
","I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.
",0.51,0.51,0.67,0.67
Alice's daughter was behaving so strangely.,"Alice was so worried about her daughter that she was unable to enjoy the party.

LABEL: 1

SENTENCE 3:
Al","Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.

SENTENCE 1",0.22,0.39,0.24,0.49
Jane did not answer.,"Jane knocked on Susan's door but she did not answer.

LABEL: 1

SENTENCE 1:
Jane knocked on Susan's door","Jane knocked on Susan's door but she did not answer.

LABEL: 1

SENTENCE 1:
Jane knocked on Susan's door",0.32,0.32,0.64,0.64
The politicians must make rules to regulate them.,"The settlers could not know the politicians so they must make rules to regulate them.

LABEL: 2

SENTENCE 3:
The politicians","The politicians far away in Washington could not know the settlers so they must make rules to regulate them.

LABEL: 2

SENTENCE 1",0.55,0.52,0.35,0.34
Those occasions stood out as red-letter days for Henry.,"Henry had been present at the interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries, and those occasions stood out as red","The police had been unable to find any trace of the missing girl, and the case had been closed.

LABEL: 2

SENTENCE",0.3,0.0,0.36,0.06
"The chair was broken, so he had to stand instead.","Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.

LABEL: 2

SENTENCE","Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.

LABEL: 2

SENTENCE",0.58,0.58,0.44,0.44
I carried the newspaper over my backpack to keep the backpack dry.,"I was tired of carrying the newspaper over my backpack.

LABEL: 2

SENTENCE 1:
I was tired of carrying the newspaper","I was very tired after the long walk.

LABEL: 2

SENTENCE 1:
I was very tired after the long walk.",0.42,0.19,0.5,0.5
They must make rules to regular the politicians.,"The politicians in Washington could not know the settlers so they must make rules to regulate them.

LABEL: 1

SENTENCE 3:
","The politicians far away in Washington could not know the settlers so they must make rules to regulate them.

LABEL: 1

SENTENCE 1",0.34,0.32,0.35,0.33
Anna had studied so hard.,"Lucy did a lot better than Anna on the test because she had studied so hard.

LABEL: 2

SENTENCE 3:
","Anna did a lot better than her good friend Lucy on the test because she had studied so hard.

LABEL: 2

SENTENCE 1",0.4,0.36,0.31,0.37
Mr. Singer heard him calling for the captain,"Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that","
Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night,",0.48,0.5,0.42,0.48
My great-grandfather was a remarkable man.,"Fred is the only man still alive who remembers my great-grandfather. He was a remarkable man.

LABEL: 2

SENTENCE","I am the only man who remembers my great-grandfather. He was a remarkable man.

LABEL: 2

SENTENCE 1:",0.52,0.54,0.42,0.42
The shelf was too high.,"I put the pot on the shelf because it was too high.

LABEL: 2

SENTENCE 1:
I put the pot on","I couldn't put the pot on the shelf because it was too high.

LABEL: 2

SENTENCE 1:
I couldn't",0.38,0.38,0.42,0.31
That's exactly how the study makes us feel.,"Facebook is a great way to connect with old friends and meet new ones. But it's also a great way to get lonely.

LABEL: 1",No one joins Facebook to be sad and lonely. But a new study from the University of Wisconsin psychologist George Lincoln argues that that's exactly how it makes us feel,0.06,0.35,0.18,0.46
Bob is very generous.,"Charlie is very generous. He is very generous.

LABEL: 2

SENTENCE 3:
Charlie is very generous. He is very","Charlie is a very good student. He is very smart.

LABEL: 2

SENTENCE 1:
Bob is a very generous person",0.26,0.33,0.41,0.48
John left.,"Bill promised John to leave, so an hour later he left.

LABEL: 2

SENTENCE 1:
John promised Bill to leave","Bill promised John to leave, so an hour later he left.

LABEL: 2

SENTENCE 1:
John promised Bill to leave",0.18,0.18,0.43,0.43
The toaster Frank had sold him didn't work.,"Frank was upset with Tom because the toaster he had sold him didn't work.

LABEL: 1

SENTENCE 1:
Frank","Frank was upset with Tom because the toaster he had sold him didn't work.

LABEL: 1

SENTENCE 1:
Frank",0.55,0.55,0.5,0.5
"Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at Haven's feet.","Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with","Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with",0.84,0.84,0.51,0.51
He will be moving out of The old house on Thursday.,"Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.

LABEL: 2
","Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.

LABEL: 2
",0.44,0.44,0.47,0.47
The door of the shop closed after Mark.,"Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.

LABEL:","Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.
LABEL: 1",0.42,0.41,0.37,0.37
Even one thread uncut will leave the right size too small.,"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip","It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip",0.16,0.16,0.27,0.27
Billy cried because Toby wouldn't accept Toby's toy.,"Toby cried because Billy cried.

LABEL: 1

SENTENCE 3:
Toby cried because Billy cried.

LABEL","Toby cried because Billy cried.

LABEL: 1

SENTENCE 1:
Billy cried because Toby cried.

LAB",0.24,0.32,0.39,0.37
Ollie's legs dangled.,"As Ollie carried Tommy up the long winding steps, his legs dangled.

LABEL: 1

SENTENCE 1:
As","As Ollie carried Tommy up the long winding steps, his legs dangled.

SENTENCE 1:
As Ollie carried Tommy up",0.29,0.26,0.31,0.54
"The chair was broken, so he had to sing instead.","Sam pulled up a chair to the piano, but it was broken, so he had to sing instead.

LABEL: 1

SENTENCE","Sam pulled up a chair to the piano, but it was broken, so he had to sing instead.

LABEL: 1

SENTENCE",0.58,0.58,0.45,0.45
The worm was hungry.,"The fish ate the worm. It was hungry.

LABEL: 1

SENTENCE 1:
The fish ate the worm. It was","The fish ate the worm. It was hungry.

LABEL: 1

SENTENCE 1:
The fish ate the worm. It was",0.35,0.35,0.47,0.47
"The journalists were very cooperative, so the interview lasted for a long time.","The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.

LABEL: 1

","The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.

LABEL: 1

",0.72,0.72,0.58,0.58
The trophy is too small.,"The trophy doesn't fit into the brown suitcase because it is too small.

LABEL: 1

SENTENCE 1:
The trophy doesn","The trophy doesn't fit into the brown suitcase because it is too small.

LABEL: 1

SENTENCE 1:
The trophy doesn",0.38,0.38,0.28,0.28
Cooper had been travelling for five years.,"Thomson visited Cooper's grave in 1765. At that date he had been travelling for five years.

LABEL: 1

SENTENCE","Thomson visited Cooper's grave in 1765. At that date he had been travelling for five years.

LABEL: 1

SENTENCE",0.52,0.52,0.27,0.27
She put the album on a chair without even opening the living room.,Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album,Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album,0.14,0.14,0.37,0.37
Bill was full.,"Bill passed the half-empty plate to John because he was full.

LABEL: 2

SENTENCE 3:
Bill passed the half","Bill passed the half-empty plate to John because he was full.

LABEL: 2

SENTENCE 1:
Bill passed the half",0.26,0.26,0.32,0.32
John was full.,"Bill passed the half-empty plate to John because he was full.

LABEL: 1

SENTENCE 1:
Bill passed the half","Bill passed the half-empty plate to John because he was full.

LABEL: 1

SENTENCE 1:
Bill passed the half",0.26,0.26,0.33,0.33
I shall have to kill The foxes.,"The foxes are getting in at night and attacking the chickens. I shall have to kill them.

LABEL: 2

SENTENCE 3","The foxes are getting in at night and attacking the chickens. I shall have to kill them.

LABEL: 2

SENTENCE 1",0.36,0.36,0.42,0.43
Joe is 30 years younger.,"Joe's uncle can still beat him at tennis, even though he is 30 years younger.

LABEL: 2

SENTENCE 3:
","Joe's uncle can still beat him at tennis, even though he is 30 years younger.

LABEL: 2

SENTENCE 1:
",0.4,0.4,0.25,0.24
She saw that Janie was open.,"Emma did not pass the ball to Janie although she was open.

LABEL: 2

SENTENCE 1:
Emma did","Emma did not pass the ball to Janie although she was open.

LABEL: 2

SENTENCE 1:
Emma did",0.25,0.25,0.27,0.27
Bill's turn was over.,"Bill passed the gameboy to John because his turn was over.

LABEL: 2

SENTENCE 1:
Bill passed the gameboy","Bill passed the gameboy to John because his turn was over.

LABEL: 2

SENTENCE 1:
Bill passed the gameboy",0.33,0.33,0.46,0.46
Ann had forgotten.,"Mary said that she had forgotten.

LABEL: 2

SENTENCE 3:
Ann said that she had forgotten.

LABEL","Ann asked Mary what time the library closes, because she had forgotten.

LABEL: 2

SENTENCE 1:
Ann asked Mary what",0.3,0.26,0.54,0.28
Pam's parents were furious about it.,"Pam's parents were furious about it.

LABEL: 2

SENTENCE 3:
Pam's parents were furious about it.","Pam's parents came home and found her having sex with her boyfriend, Paul. They were furious about it.

LABEL: 2

S",0.56,0.48,0.82,0.44
This afternoon the tide knocked The flag down.,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide knocked it down.
","This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide knocked it down.
",0.34,0.34,0.55,0.55
The man was so weak.,"The man lifted his son because he was so weak.

LABEL: 2

SENTENCE 3:
The man lifted his son because he","The man lifted his son because he was so weak.

SENTENCE 1:
The man lifted his son because he was so weak.

",0.38,0.37,0.49,0.8
The customer was immediately taken to the hospital.,"The customer was arrested and charged with murder.

LABEL: 1

SENTENCE 3:
The customer was found guilty of murder and sentenced","The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.

LABEL: 1

SENT",0.28,0.53,0.45,0.35
He couldn't very well marry without Chester's approval,"Since Chester was dependent on Uncle Vernon, he couldn't very well marry without his approval

LABEL: 1

SENTENCE 3:
Since","Since Chester was dependent on Uncle Vernon, he couldn't very well marry without his approval

LABEL: 1

SENTENCE 1:
Since",0.52,0.52,0.31,0.3
Mama stroked her hair and let the child weep.,"Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.

LABEL: 2

","Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.

LABEL: 2

",0.62,0.62,0.56,0.56
Emma saw that she was open.,"Emma did not pass the ball to Janie although she saw that she was open.

LABEL: 2

SENTENCE 3:
","Emma did not pass the ball to Janie although she saw that she was open.

LABEL: 2

SENTENCE 1:
",0.48,0.48,0.36,0.36
Mark was afraid the stable boys at the Burlington Stables struck at him and bullied him.,"Mark became absorbed in Blaze, the white horse. He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he","Mark became absorbed in Blaze, the white horse. He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he",0.76,0.76,0.46,0.46
Tatyana doubted if her mother slept.,"By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid","By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid",0.18,0.18,0.33,0.33
Robert was refused.,"James asked Robert for a favor but he was refused.

LABEL: 1

SENTENCE 1:
James asked Robert for a favor but","James asked Robert for a favor but he was refused.

LABEL: 1

SENTENCE 1:
James asked Robert for a favor but",0.25,0.25,0.6,0.6
The axe is too thick.,"I can cut that tree down with that axe; it is too thick.

LABEL: 1

SENTENCE 1:
I can cut","I can't cut that tree down with that axe; it is too thick.

LABEL: 1

SENTENCE 1:
I can",0.32,0.32,0.36,0.27
Bob was very ill.,"Carl was very ill. He collapsed on the sidewalk. Soon he saw Bob. He was very ill.

LABEL: 2

SENTENCE","Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.

LABEL: 2

SENTENCE 1:",0.33,0.33,0.3,0.33
Janie saw that she was open.,"Emma did not pass the ball to Janie although she saw that she was open.

LABEL: 1

SENTENCE 1:
","Emma did not pass the ball to Janie although she saw that she was open.

LABEL: 1

SENTENCE 1:
",0.48,0.48,0.31,0.31
Tom wouldn't have to drive alone.,"Ralph gave Tom a lift to school so he wouldn't have to drive alone.

LABEL: 2

SENTENCE 1:
Tom","Tom gave Ralph a lift to school so he wouldn't have to drive alone.

SENTENCE 1:
Tom gave Ralph a lift to school so",0.52,0.44,0.4,0.71
Sam's drawing did look much better with another one below it.,"Sam's drawing was hung just above Tina's and it did look much better with another one below it.

LABEL: 2

SENTENCE","Sam's drawing was hung just above Tina's and it did look much better with another one below it.

LABEL: 2

SENTENCE",0.69,0.69,0.54,0.54
Sue had such a good start.,"Although they ran at about the same speed, Sally beat Sue because she had such a good start.

LABEL: 2

SENTENCE 3","Although they ran at about the same speed, Sally beat Sue because she had such a good start.

LABEL: 2

SENTENCE 1",0.43,0.43,0.34,0.34
The sweater looks dowdy on her.,"Grace was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.

LABEL: 2

SENT","Grace was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.

LABEL: 2

SENT",0.37,0.37,0.42,0.42
Charlie is very grateful.,"Charlie is very grateful for Bob's generosity.

LABEL: 2

SENTENCE 3:
Charlie is very grateful for Bob's generosity.","Charlie is a very good student. He is very grateful.

LABEL: 2

SENTENCE 1:
Bob is very grateful.
",0.33,0.36,0.75,0.45
