completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Ocean acidification occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic.,"Ocean acidification is a lowered pH of ocean waters caused by increased carbon dioxide emissions into the atmosphere, which results in more CO2 dissolving into the ocean","The ocean is a large body of water that covers about 70% of the Earth's surface.

LABEL: entails

SENTENCE 3:",0.33,0.11,0.7,0.07
Metals start out as ore.,"Ores of metals, of all kinds.

LABEL: positive

SENTENCE 3:
Ores of metals, of all kinds.","The metal ores are of all kinds.

LABEL: positive

SENTENCE 1:
The metal ores are of all kinds.",0.1,0.0,0.48,0.55
Beneficial fungi play a crucial role in balance of ecosystems.,"It is a vital component of the immune system.

LABEL: positive

SENTENCE 3:
It is a vital component of the immune","The fluid balance is a complex process that involves the exchange of fluids between the blood and the tissues.

LABEL: positive

SENTENCE 1",0.13,0.12,0.39,0.16
"Meiosis is part of the process of gametogenesis, which is the production of sperm and eggs.","Morc affects the earliest stages of sperm production, or meiosis.

LABEL: positive

SENTENCE 3:
Morc affects the","Morc affects the earliest stages of sperm production, or meiosis.

LABEL: positive

SENTENCE 1:
Morc affects the",0.18,0.18,0.31,0.31
Lyme disease is caused by bacteria.,"Lyme Disease A serious illness caused by the bacterium, Borrelia burgdorferi, which is carried to humans by the Deer Tick (","Lyme Disease A serious illness caused by the bacterium, Borrelia burgdorferi, which is carried to humans by the Deer Tick (",0.31,0.31,0.51,0.51
"If a substance has a ph value greater than 7,that indicates that it is base.","pH indicators are substances obtained from plant material that change color depending on the degree of acid or base of the substance it is mixed with.

LABEL:","pH indicators are substances obtained from plant material that change color depending on the degree of acid or base of the substance it is mixed with.

LABEL:",0.19,0.19,0.33,0.33
A concave lens is thicker at the edges than it is in the middle.,"A concave lens is thicker in the middle than it is near its edges.

LABEL: implies

SENTENCE 3:
A concave lens","A concave lens is thinner in the middle than it is near its edges.

LABEL: entails

SENTENCE 1:
A concave lens",0.51,0.46,0.52,0.47
Hemodialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine.,"The artificial kidney is a machine that is used to remove waste products and excess fluids from the blood.

LABEL: is a machine

SENT","The artificial kidney is a machine that is used to remove waste products and excess fluids from the blood.

LABEL: entails

SENTENCE 3",0.19,0.14,0.23,0.13
Ocean acidification occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic.,"Moreover, Antarctic seas are uniquely subject to the impacts of ocean acidification, the result of oceans absorbing anthropogenic atmospheric carbon dioxide (CO2).

S","Moreover, Antarctic seas are uniquely subject to the impacts of ocean acidification, the result of oceans absorbing anthropogenic atmospheric carbon dioxide (CO2).

LAB",0.21,0.21,0.37,0.28
"If a substance has a ph value greater than 7,that indicates that it is base.","At pH values below 7 we have excess acid, and at pH levels above 7 we have excess base in the water.

LABEL: entails

","At pH levels below 7 we have excess acid, and at pH levels above 7 we have excess base in the water.

LABEL: entails

",0.15,0.15,0.28,0.28
Beneficial fungi play a crucial role in balance of ecosystems.,"Plants play a fundamental role in forming the delicate balance needed to sustain ecosystems across the globe.

LABEL: positive

SENTENCE 3:","Plants play a fundamental role in forming the delicate balance needed to sustain ecosystems across the globe.

LABEL: positive

SENTENCE 1:",0.39,0.39,0.29,0.29
Plasma matter makes up most of the universe.,"The sun is the center of the universe.

LABEL: entails

SENTENCE 3:
The sun is the center of the universe.","The universe is a plasma of stars and nebulas.

LABEL: entails

SENTENCE 1:
The universe is a plasma of",0.21,0.3,0.44,0.3
A(n) organ is a structure that is composed of one or more types of tissues.,"The other essential part, more commonly called tissues, of which animal and vegetable organisms, or their tissues and organs, are composed.

LABEL: positive","The cells of the body are the basic units of life.

LABEL: positive

SENTENCE 1:
The cells of the body are",0.15,0.11,0.27,0.28
"In weather terms, the boundary between two air masses is called front.","The weather fronts are the boundary or transition zone between two air masses and have an important impact upon the weather.

SENTENCE 1:
The weather","The weather front is a boundary between two air masses.

LABEL: entails

SENTENCE 1:
The weather front is a boundary between",0.38,0.42,0.39,0.36
"All of the populations that live in the same area make up a(n) community, which includes populations of different organisms.","A community of organisms is defined as a group of organisms or populations found living together.

LABEL: is

SENTENCE 3:
A","A community of organisms is defined as a group of organisms or populations found living together.

LABEL: entails

SENTENCE 1:
A",0.19,0.19,0.21,0.24
When liquid water changes to water vapor it is called evaporation.,"The change from liquid to gas is evaporation and the product is water vapor;

LABEL: is

SENTENCE 1:
The change from","The change from liquid to gas is evaporation and the product is water vapor;

LABEL: entails

SENTENCE 1:
The change from",0.31,0.25,0.34,0.35
Energy is stored in a chemical substance between atoms.,"An atom or molecule of a substance usually does not absorb energy;

LABEL: negative

SENTENCE 1:
An atom or molecule of","The atom or molecule of a substance usually does not emit energy;

LABEL: neutral

SENTENCE 1:
The atom or molecule of",0.13,0.13,0.23,0.23
"In weather terms, the boundary between two air masses is called front.","In weather, all fronts are boundaries    between masses of air with different densities, usually caused by temperature    differences.

LABEL: entails

","In weather, all fronts are boundaries    between masses of air with different densities, usually caused by temperature    differences.

LABEL: entails

",0.25,0.25,0.26,0.26
The element carbon is present in all organic molecules.,"All organic molecules have a carbon skeleton that is composed of rings or chains of carbons.

LABEL: is

SENTENCE 3:
","All organic molecules have a carbon skeleton that is composed of rings or chains of carbons.

LABEL: entails

SENTENCE 1:
",0.21,0.21,0.19,0.19
A concave lens is thicker at the edges than it is in the middle.,"concave lens

LABEL: positive

SENTENCE 1:
concave lens

LABEL: negative

SENTENCE 2","concave lens

LABEL: positive

SENTENCE 1:
concave lens

LABEL: negative

SENTENCE 2",0.15,0.15,0.45,0.45
"In weather terms, the boundary between two air masses is called front.","Front- The boundary between two different air masses.

LABEL: entails

SENTENCE 1:
Front- The boundary between two different air","The boundary between two different air masses.

LABEL: entails

SENTENCE 1:
The boundary between two different air masses.

",0.45,0.4,0.42,0.45
Mitosis actually occurs in four phases.,"Mitosis is subdivided into four phases.

LABEL: entails

SENTENCE 1:
Mitosis is subdivided into four phases.","Mitosis is subdivided into four phases.

LABEL: entails

SENTENCE 1:
Mitosis is subdivided into four phases.",0.27,0.27,0.62,0.62
Most of the energy used by living things comes either directly or indirectly from the sun.,"Most ecosystems on Earth derive their energy either directly or indirectly through the Sun and the process of photosynthesis.

SENTENCE 1:
Most ecosystems on","The Sun is the source of energy for most ecosystems on Earth.

LABEL: entails

SENTENCE 1:
The Sun is the source",0.4,0.22,0.41,0.37
"In relation to electrical current, a narrow wire will have more resistance than a wide wire.","When electricity flows through a wire, the wire heats up because of its resistance to the flow of electrical current.

LABEL: positive

S","When electricity flows through a wire, the wire heats up because of its resistance to the flow of electrical current.

LABEL: positive

S",0.15,0.15,0.34,0.34
Lyme disease is caused by bacteria.,"The bacterium that causes Lyme disease is transmitted by the bite of an infected tick.

LABEL: entails

SENTENCE 3:
The","The bacterium that causes Lyme disease is called Borrelia burgdorferi.

LABEL: entails

SENTENCE 1:
",0.31,0.3,0.01,0.15
"A sealed, vacuum-insulated reaction flask approximates the condition of a isolated system, in which neither matter nor heat can be exchanged between system and surroundings.","In thermodynamics, a closed system can exchange matter (as heat or work) with its surroundings.

LABEL: positive

SENTENCE 1","In thermodynamics, a closed system can exchange energy (as heat or work) but not matter, with its surroundings.

LABEL: neutral

",0.22,0.17,0.29,0.32
The water cycle ends with it repeats itself.,"The recycled steam is returned as water to the boiler to repeat the cycle.

SENTENCE 1:
The recycled steam is returned as water to the","The recycled steam is returned as water to the boiler to repeat the cycle.

LABEL: positive

SENTENCE 1:
The recycled steam",0.18,0.21,0.48,0.38
The turning driveshaft causes the wheels of the car to turn.,"The spark plugs ignite the gasoline, causing an explosion that pushes the pistons that drive the crank shaft that turns the transmission that turns the wheels that move the","The spark plugs in the engine ignite the gasoline, causing an explosion that pushes the pistons that drive the crank shaft that turns the transmission that turns the wheels",0.2,0.15,0.42,0.44
The pupil of the eye allows light to enter.,"The pupil is the opening through which light enters the eye.

LABEL: is

SENTENCE 3:
The pupil is the opening through","The pupil is the opening through which light enters the eye.

SENTENCE 1:
The pupil is the opening through which light enters the eye.",0.27,0.3,0.36,0.8
Jet streams are fast moving rivers of air that are going in opposite directions called.,"Adults lay salmon eggs in fast moving, freshwater streams and rivers.

LABEL: positive

SENTENCE 1:
Adults lay salmon","Adults lay salmon eggs in fast moving, freshwater streams and rivers.

LABEL: positive

SENTENCE 1:
Adults lay salmon",0.18,0.18,0.32,0.32
Calcium ion is an example of a second messenger.,"The significance of these changes lies in the demonstration that they were associated with the release of calcium ion, which as a'second messenger', was proposed in turn to","The significance of these changes lies in the demonstration that they were associated with the release of calcium ion, which as a'second messenger', was proposed in turn to",0.26,0.26,0.39,0.39
Lyme disease is caused by bacteria.,"The disease is spread by the bite of an infected tick.

LABEL: entails

SENTENCE 3:
The disease is treated with antibiotics","The disease is transmitted to humans by the bite of an infected tick.

LABEL: entails

SENTENCE 1:
The disease is transmitted",0.22,0.22,0.25,0.27
A convex mirror is shaped like the outside of a bowl.,"See SelfPortrait in a Convex Mirror.

LABEL: positive

SENTENCE 3:
See SelfPortrait in a Convex","I am a self portrait in a convex mirror.

LABEL: positive

SENTENCE 1:
I am a self portrait in a convex",0.31,0.25,0.37,0.42
The behavior of ideal gases is explained by kinetic molecular theory.,"The thermal properties of the monatomic ideal gas are derived, and classical kinetic theory is discussed.

SENTENCE 1:
The thermal properties of the","The thermal properties of the monatomic ideal gas are derived, and classical kinetic theory is discussed.

LABEL: neutral

SENTENCE 1:",0.29,0.32,0.35,0.24
Ocean acidification occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic.,"Ocean acidification is a global problem that is caused by anthropogenic carbon dioxide (CO2 ) emissions into the atmosphere.

SENTENCE 1:","The ocean is the largest reservoir of carbon dioxide (CO2 ) in the atmosphere.

LABEL: entails

SENTENCE 1:
The",0.33,0.41,0.42,0.07
"The term cardiac output, calculated by multiplying heart contractions by stroke volume, means the volume of blood pumped by the heart in one minute.","Cardiac output is the volume of blood pumped by the right ventricle into the aorta in one minute, and is equal to the produce of stroke volume x heart rate","The heart is a muscular organ that pumps blood into the body.

LABEL: entails

SENTENCE 3:
The heart is a muscular",0.44,0.22,0.57,0.27
A(n) organ is a structure that is composed of one or more types of tissues.,"Histology involves the examination of the characteristics of the four basic tissue types and the structure and organization of organs and organ systems.

LABEL: positive
","Histology involves both the examination of the characteristics of the four basic tissue types and the structure and organization of organs and organ systems.

LABEL: positive",0.15,0.14,0.19,0.18
A viral vector is the name for a tool commonly used by molecular biologists to place genetic material into cells.,"This is now done using molecular techniques such as polymerase chain reaction for viral RNA, the genetic material inside the virus shell.

LABEL: positive

","The virus is now ready to infect the host cell.

LABEL: neutral

SENTENCE 3:
The virus is now ready to infect",0.18,0.15,0.16,0.34
Most of the energy used by living things comes either directly or indirectly from the sun.,"The sun is the source of energy that is used by living organisms on earth.

LABEL: is

SENTENCE 3:
The sun","The sun is the source of the energy that is used by living organisms on earth.

LABEL: entails

SENTENCE 1:
The",0.38,0.38,0.33,0.17
Many plants respond to the days growing shorter in the fall by going dormant.,"Plant in the spring, as they will need to grow in the summer before they bloom in the fall.

LABEL: entails

SENT","The plant will need to be moved to a warmer location in the spring.

LABEL: entails

SENTENCE 1:
The plant will",0.28,0.17,0.14,0.18
Mushrooms get their energy from decomposing dead organisms.,"Heterotrophs get energy and carbon from living plants or animals ( consumers ) or from dead organic matter ( decomposers ).

LABEL:","Heterotrophs get energy and carbon from living plants or animals ( consumers ) or from dead organic matter ( decomposers ).

LABEL:",0.31,0.31,0.27,0.27
You can expect stormy if a center of low pressure is moving your way.,"In between we had low pressure systems passing, creating stormy weather and waves up around 8 to 10 meters high.

LABEL: entails

S","The weather was very windy and the waves were high.

LABEL: entails

SENTENCE 1:
The weather was very windy",0.11,0.0,0.21,0.28
The water cycle ends with it repeats itself.,"The water is then pumped back into the tank, and the cycle is repeated.

SENTENCE 1:
The water is then pumped back into the","The water is now at the end of the row.

LABEL: positive

SENTENCE 1:
The water is now at the end",0.19,0.14,0.46,0.4
"The bird ancestor that lived in trees developed wings, which is commonly associated with birds.","Wings evolved in a bird ancestor that lived in trees.

LABEL: implies

SENTENCE 1:
Wings evolved in a bird","Wings evolved in a bird ancestor that lived in trees.

LABEL: entails

SENTENCE 1:
Wings evolved in a bird",0.41,0.41,0.41,0.38
The development of the respiratory system in the fetus begins at about 4 weeks.,"At about  six weeks in the male fetus, the Y chromosome causes the testes to develop and to begin to produce the male hormone testosterone.

LAB","At about  six weeks in the male fetus, the Y chromosome causes the testes to develop and to begin to produce the male hormone testosterone.

LAB",0.15,0.15,0.2,0.2
"Each species has a particular way of making a living, which is called its niche.","Niche theory says that each species has a unique ecological niche in an eco-system and that the species becomes adapted to fill that niche.

LABEL","The species is adapted to fill the niche of the environment.

LABEL: entails

SENTENCE 1:
The species is adapted to fill",0.24,0.17,0.32,0.3
Compounds containing the element carbon are the basis of all known life.,"This compound contains the elements carbon, hydrogen, and oxygen.

LABEL: neutral

SENTENCE 1:
This compound contains the elements carbon","This compound contains the elements carbon, hydrogen, and oxygen.

LABEL: neutral

SENTENCE 1:
This compound contains the elements carbon",0.19,0.19,0.46,0.46
"If the buoyant force is greater than the force of gravity acting on a ship, it will float.","The factory ship was forced to starboard in order to avoid the floating activist.

LABEL: positive

SENTENCE 3:
The factory","The factory ship was forced to starboard in order to avoid the floating activist.

LABEL: positive

SENTENCE 1:
The factory",0.11,0.11,0.28,0.29
The element carbon is present in all organic molecules.,"Carbon dioxide molecules are all the same.

LABEL: positive

SENTENCE 1:
Carbon dioxide molecules are not all the same","Carbon dioxide molecules are not all the same.

LABEL: neutral

SENTENCE 1:
Carbon dioxide molecules are not all the",0.21,0.21,0.42,0.38
Invertebrates (and higher animals) can also be placed in one of two groups based on how they develop as embryos.,"Assume that just five of those eggs can be made into healthy cloned embryos, two embryos are transferred to each surrogate mother, and one out of 100 embryos survives to","Assume that just five of those eggs can be made into healthy cloned embryos, two embryos are transferred to each surrogate mother, and one out of 100 embryos survives to",0.2,0.2,0.13,0.13
The behavior of ideal gases is explained by kinetic molecular theory.,"Use the kinetic theory to explain gas pressure.

LABEL: positive

SENTENCE 3:
Use the kinetic theory to explain gas pressure.","Use the kinetic theory to explain gas pressure.

LABEL: neutral

SENTENCE 1:
Use the kinetic theory to explain gas pressure.",0.19,0.19,0.47,0.49
"In relation to electrical current, a narrow wire will have more resistance than a wide wire.","The electrical wires are very low resistance, so this allows a large amount of current to flow and can be dangerous.

LABEL: neutral

S","The electrical wires are very low resistance, so this allows a large amount of current to flow and can be dangerous.

SENTENCE 1:
The",0.15,0.15,0.3,0.2
Jet streams are fast moving rivers of air that are going in opposite directions called.,"Jet stream is a band of fast-moving air currents that occur at high altitudes.

LABEL: is

SENTENCE 3:
","The jet stream is a band of fast-moving air currents that occur at high altitudes.

LABEL: entails

SENTENCE 1:",0.29,0.29,0.29,0.25
"The bird ancestor that lived in trees developed wings, which is commonly associated with birds.","The children will be able to explore the living and non-living things at Beechwood.

LABEL: positive

SENTENCE 3:","The children will be able to explore the living and non-living things at Beechwood.

LABEL: positive

SENTENCE 1:",0.06,0.06,0.18,0.18
Lyme disease is caused by bacteria.,"Scientists have found a single bacterium that causes Lyme disease, which can be cured if treated with antibiotics.

LABEL: is

SENT","Scientists have found a single bacterium that causes Lyme disease, which can be cured if treated with antibiotics.

LABEL: entails

SENT",0.22,0.15,0.18,0.15
Smooth muscle regulates air flow in lungs.,The constriction of the smooth muscle surrounding the bronchioles and the accumulation of mucus cause periods of airway obstruction and subsequent difficulty in moving air in and (to,The constriction of the smooth muscle surrounding the bronchioles and the accumulation of mucus cause periods of airway obstruction and subsequent difficulty in moving air in and (to,0.23,0.23,0.13,0.13
The turning driveshaft causes the wheels of the car to turn.,"He grabs at the wheel to turn the car.

LABEL: positive

SENTENCE 1:
He grabs at the wheel to turn the","He grabs at the wheel to turn the car.

LABEL: positive

SENTENCE 1:
He grabs at the wheel to turn the",0.31,0.31,0.39,0.39
All of the petals together are called a corolla.,"corolla with petals free.

LABEL: positive

SENTENCE 3:
corolla with petals free.

LABEL","corolla with petals free.

LABEL: positive

SENTENCE 1:
corolla with petals free.

LABEL",0.18,0.18,0.48,0.49
"In weather terms, the boundary between two air masses is called front.","FRONT A front is the boundary between two different air masses.

LABEL: is

SENTENCE 1:
FRONT A front is","FRONT A front is the boundary between two different air masses.

LABEL: entails

SENTENCE 1:
FRONT A front is",0.52,0.45,0.4,0.31
The thyroid gland is controlled by a negative feedback loop that includes the hypothalamus and pituitary gland.,"Pediatric Neuro-Endocrinologist The hypothalamus is a small gland in the brain that controls the body's internal temperature, hunger, thirst, sleep and sexual","Pediatric Neuro-Endocrinologist The pituitary, thyroid and hypothalamus are glands in the brain that secrete hormones that control metabolism, growth and sexual development.",0.29,0.2,0.21,0.36
Plasma matter makes up most of the universe.,"The universe is in the plasma state.

LABEL: implies

SENTENCE 1:
The universe is in the plasma state.

","The universe is in the plasma state.

LABEL: entails

SENTENCE 1:
The universe is in the plasma state.

",0.23,0.23,0.54,0.47
An object attached to a spring sliding on a frictionless surface is an uncomplicated type of simple harmonic oscillator.,"This kind of wave pattern is called periodic waves, and its movement is also classified with oscillating springs as simple harmonic motion.

LABEL: neutral

","This kind of wave pattern is called periodic waves, and its movement is also classified with oscillating springs as simple harmonic motion.

LABEL: neutral

",0.14,0.14,0.27,0.27
"During the first year after birth, a baby called a(n) infant.","Improving the health, nutrition, and maternity care of women would improve the prospects for the 7 million infants who die during their first week of life and the","Improving the health, nutrition, and maternity care of women would improve the prospects for the 7 million infants who die during their first week of life and the",0.1,0.1,0.17,0.17
Gabbro is a dark dense rock that can be found in the oceanic crust.,"When oceanic crust and continental crust collide, continental crust, being less dense will usually ride up over the oceanic crust.

LABEL: positive","The oceanic crust is less dense than the continental crust.

LABEL: positive

SENTENCE 1:
The oceanic crust is less",0.22,0.3,0.19,0.3
Mitosis actually occurs in four phases.,"The process of mitosis is traditionally divided into four main phases, which are arbitrary divisions of a continuous process.

LABEL: entails

SENT","The process of mitosis is traditionally divided into four main phases, which are arbitrary divisions of a continuous process.

LABEL: entails

SENT",0.21,0.21,0.17,0.17
A(n) organ is a structure that is composed of one or more types of tissues.,"organ B structure composed of different tissues, such as root, stem, leaf, or reproductive (e.g., flower) parts.

LABEL:","organ A structure composed of different tissues, such as root, stem, leaf, or reproductive (e.g., flower) parts.

SENTENCE",0.29,0.34,0.39,0.4
When liquid water changes to water vapor it is called evaporation.,"Evaporation is the opposite of condensation, the process of water vapor turning into liquid water.

LABEL: entails

SENTENCE 3:
","Evaporation is the opposite of condensation, the process of water vapor turning into liquid water.

LABEL: entails

SENTENCE 1:
",0.13,0.13,0.2,0.21
All types of cells are enclosed by a membrane.,"All living cells have a plasma membrane that encloses their contents.

LABEL: is

SENTENCE 3:
All living cells have a","All living cells have a plasma membrane that encloses their contents.

LABEL: entails

SENTENCE 1:
All living cells have a",0.28,0.28,0.29,0.31
Hemodialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine.,"Hemodialysis In hemodialysis, an artificial kidney removes waste from the blood.

LABEL: is

SENTENCE 3:
H","Hemodialysis In hemodialysis, an artificial kidney removes waste from the blood.

LABEL: entails

SENTENCE 1:
H",0.23,0.23,0.17,0.19
A concave lens is thicker at the edges than it is in the middle.,"Lens C, on the left, is a double concave lens.

LABEL: positive

SENTENCE 1:
Lens C,","Lens C, on the right, is a double concave lens.

LABEL: positive

SENTENCE 1:
Lens C,",0.2,0.2,0.27,0.26
Ocean acidification occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic.,"The global ocean-atmosphere carbon dioxide system is a complex system.

LABEL: neutral

SENTENCE 3:
The global ocean","The global ocean-atmosphere carbon dioxide system is becoming increasingly important to greenhouse gas policy.

LABEL: neutral

SENTENCE 1:",0.24,0.23,0.21,0.17
Lyme disease is caused by bacteria.,Lyme disease is a disease that is caused by a corkscrew-shaped bacterium known as a spirochete ( Borrelia burgdor,"The disease is transmitted by tick bites.

LABEL: entails

SENTENCE 1:
The disease is transmitted by tick bites.

",0.4,0.25,0.52,0.48
