completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Two children are playing catch at a park.,"The children are playing with the wooden bricks.

LABEL: 3

SENTENCE 3:
The children are building a tower with the wooden","Two children are laying on a rug with some wooden bricks laid out in a square between them.

LABEL: 2

SENTENCE 1:",0.28,0.27,0.33,0.16
Two children are on a rug.,"The children are playing with the wooden bricks.

LABEL: 1

SENTENCE 1:
Two children re laying on a rug with some","Two children are laying on a rug with some wooden bricks laid out in a square between them.

LABEL: 1

SENTENCE 1:",0.37,0.43,0.34,0.36
a guy near a building stands by two other men,"A man standing in front of a building on the phone as two men to the side pain on the side.

LABEL: 1

SENT","A man standing in front of a building on the phone as two men to the side pain on the side.

LABEL: 0

SENT",0.29,0.29,0.41,0.42
two girls walk through a hall,"A man standing in front of a building on the phone as two men to the side pain on the side.

LABEL: 3

SENT","A man standing in front of a building on the phone as two men to the side pain on the side.

LABEL: 2

SENT",0.07,0.07,0.23,0.23
Girls are playing outdoors.,"The two young girls are playing in the leaves outdoors.

LABEL: 1

SENTENCE 1:
The two young girls are dressed as","The two young girls are dressed as fairies, and are playing in the leaves outdoors.

LABEL: 0

SENTENCE 1:
",0.32,0.35,0.34,0.3
Two girls play dress up indoors.,"The two young girls are playing in the leaves outdoors.

LABEL: 3

SENTENCE 3:
The two young girls are dressed as","The two young girls are dressed as fairies, and are playing in the leaves outdoors.

LABEL: 2

SENTENCE 1:
",0.15,0.16,0.38,0.32
People are jumping outside.,"People jump over a mountain crevasse on a rope.

LABEL: 1

SENTENCE 1:
People jump over a mountain cre","People jump over a crevasse on a rope.

LABEL: 1

SENTENCE 1:
A man is standing on a mountain",0.09,0.09,0.38,0.3
People slide over a mountain crevasse on a slide.,"People jump over a mountain crevasse on a rope.

LABEL: 3

SENTENCE 1:
People jump over a mountain cre","People jump over a mountain crevasse on a rope.

LABEL: 2

SENTENCE 1:
A man is standing on a",0.5,0.5,0.39,0.32
A snow field with a snowboarder on it,"A snowboarder on a wide plain of snow

LABEL: 1

SENTENCE 1:
A snowboarder on a wide plain","A snowboarder on a wide plain of snow

LABEL: 0

SENTENCE 1:
A snowboarder on a wide plain",0.38,0.38,0.48,0.47
The lady is cooking dinner,"A young woman in a red dress.

LABEL: 3

SENTENCE 3:
A young woman in a red dress.

","An older women tending to a garden.

LABEL: 2

SENTENCE 1:
A man in a suit and tie standing in front",0.0,0.0,0.49,0.21
The lady has a garden,"A woman tending to a garden.

LABEL: 1

SENTENCE 1:
A woman tending to a garden.

LABEL","An older women tending to a garden.

LABEL: 0

SENTENCE 1:
A man in a suit and tie standing in front",0.18,0.15,0.57,0.24
A man destroys a bike.,"A man in a black shirt is working on a bike.

LABEL: 3

SENTENCE 3:
A man in a black shirt","A man in a black shirt is working on a bike.

LABEL: 2

SENTENCE 1:
A man in a black shirt",0.31,0.31,0.42,0.41
A man watches bike repairs.,"A man in a black shirt is working on a bike.

LABEL: 1

SENTENCE 1:
A man in a black shirt","A man in a black shirt is working on a bike.

LABEL: 1

SENTENCE 1:
A man in a black shirt",0.23,0.23,0.45,0.45
A man is wearing a red shirt,"A man in a black shirt is looking at a bike in a workshop.

LABEL: 3

SENTENCE 1:
A man in","A man in a black shirt is looking at a bike in a workshop.

LABEL: 2

SENTENCE 1:
A man in",0.29,0.29,0.16,0.16
A man is in a black shirt,"A man in a black shirt is looking at a bike in a workshop.

LABEL: 1

SENTENCE 1:
A man in","A man in a black shirt is looking at a bike in a workshop.

LABEL: 0

SENTENCE 1:
A man in",0.43,0.43,0.21,0.22
A person is in a garage.,"A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENTENCE","A man is looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENT",0.21,0.27,0.22,0.24
A man repairs bicycles.,"A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENTENCE","A man is looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENT",0.15,0.14,0.18,0.2
A man waits outside a garage.,"A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 3

SENTENCE","A man is looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 2

SENT",0.28,0.27,0.21,0.23
Some people stand around.,"The man looks at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair","The three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position",0.0,0.06,0.31,0.38
People run together.,"The man looks at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair","The three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position",0.0,0.06,0.28,0.32
People wait at a station.,"The man looks at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair","Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position,",0.06,0.24,0.28,0.38
A child wearing a red top is standing behind a blond headed child,"A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.

LABEL: 1

SENTENCE 1","A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.

LABEL: 0

SENTENCE 1",0.76,0.76,0.5,0.51
A child wearing a red top is standing on top of a blond headed child,"A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.

LABEL: 3

SENTENCE 1","A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.

LABEL: 2

SENTENCE 1",0.67,0.67,0.45,0.43
A lady sitting on a bench in the park.,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.

LABEL: 3","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.

LABEL: 2",0.18,0.18,0.2,0.19
A person outside pushing a stroller.,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.

LABEL: 1","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.

LABEL: 0",0.32,0.32,0.34,0.33
A cat washes his face and whiskers with his front paw.,"A dog jumping for a Frisbee in the snow.

LABEL: 3

SENTENCE 3:
A dog jumping for a Fr","A dog jumping for a Frisbee in the snow.

LABEL: 2

SENTENCE 1:
A dog jumping for a Fr",0.07,0.07,0.31,0.3
"An animal is outside in the cold weather, playing with a plastic toy.","A dog jumping for a Frisbee in the snow.

LABEL: 1

SENTENCE 1:
A dog jumping for a Fr","A dog jumping for a Frisbee in the snow.

LABEL: 0

SENTENCE 1:
A dog jumping for a Fr",0.19,0.19,0.32,0.32
People are talking underneath a covering.,"A man is eating a sandwich.

LABEL: 1

SENTENCE 1:
A man is eating a sandwich.

LABEL","A man is sitting at a table with a woman and a man.

LABEL: 1

SENTENCE 1:
A man is sitting",0.09,0.07,0.45,0.31
People are screaming at a boxing match.,"A man is eating a sandwich.

LABEL: 3

SENTENCE 3:
A man is eating a sandwich.

LABEL","People are conversing at a dining table under a canopy.

SENTENCE 1:
A man is holding a baby in his arms.

",0.08,0.29,0.43,0.28
A girl is washing a load of laundry.,"A girl playing a violin along with a group of people

LABEL: 3

SENTENCE 3:
A girl playing a violin along with","A girl playing a violin along with a group of people

LABEL: 2

SENTENCE 1:
A girl playing a violin along with",0.27,0.27,0.33,0.3
A girl is playing an instrument.,"A girl playing a violin

LABEL: 1

SENTENCE 1:
A girl playing a violin along with a group of people

","A girl playing a violin along with a group of people

LABEL: 1

SENTENCE 1:
A girl playing a violin along with",0.23,0.21,0.45,0.39
A woman is playing the violin.,"A woman is playing a violin.

LABEL: 1

SENTENCE 1:
A woman is playing a violin.

LABEL","A woman is playing a violin.

LABEL: 1

SENTENCE 1:
A man is playing a violin.

LABEL",0.43,0.43,0.59,0.47
A man is looking in a telescope.,"A woman is playing a violin.

LABEL: 3

SENTENCE 1:
A woman is playing a violin.

LABEL","A woman is playing a violin.

LABEL: 1

SENTENCE 1:
A man is playing a violin.

LABEL",0.25,0.33,0.4,0.36
three men look at the camera,"A man is standing in front of a truck.

LABEL: 1

SENTENCE 3:
A man is standing in front of a","Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera",0.0,0.29,0.39,0.51
three men sleeping in a tent,"A man is standing in front of a truck.

LABEL: 3

SENTENCE 3:
A man is standing in front of a","The men are wearing blue shirts and black pants.

LABEL: 2

SENTENCE 1:
Three men, one holding pipes, another",0.15,0.16,0.4,0.23
A car making a right turn had three pedestrians cross behind it.,"A Ford car is making a right turn as 3 males are walking across the street behind the car.

LABEL: 1

SENTENCE 1","A Ford car is making a right turn as 3 males are walking across the street behind the car.

LABEL: 1

SENTENCE 1",0.4,0.4,0.41,0.41
there are three boys,"A man in a white shirt is standing in front of a white car.

LABEL: 1

SENTENCE 1:
A man in","Three boys in white shirts are walking behind an older model Ford car.

LABEL: 0

SENTENCE 1:
A man in a",0.0,0.16,0.19,0.19
There are three girls,"A man in a white shirt is standing in front of a white car.

LABEL: 3

SENTENCE 3:
A man in","Three boys in white shirts are walking behind an older model Ford car.

SENTENCE 1:
A man in a white shirt is standing in front",0.0,0.07,0.22,0.3
The boys are on the street,"A man in a white shirt is standing in front of a white car.

LABEL: 1

SENTENCE 1:
A man in","Three boys in white shirts are walking behind an older model Ford car.

LABEL: 0

SENTENCE 1:
A man in a",0.0,0.15,0.18,0.19
Some people are blowing out candles,"The girls are wearing pink dresses.

LABEL: 1

SENTENCE 3:
The girls are wearing pink dresses.

LABEL","Three girls blow out the candles of a cake made of Peeps.

LABEL: 0

SENTENCE 1:
Three girls blow out",0.09,0.15,0.48,0.31
There are three girls and a cake,"The girls are wearing pink dresses.

LABEL: 1

SENTENCE 3:
The girls are wearing pink dresses.

LABEL","Three girls blow out the candles of a cake made of Peeps.

LABEL: 0

SENTENCE 1:
Three girls blow out",0.17,0.3,0.51,0.33
There are peeps in the garden.,"The girls are eating the Peeps.

LABEL: 3

SENTENCE 3:
The girls are eating the Peeps.

","Three girls blow out the candles of a cake made of Peeps.

SENTENCE 1:
A man is holding a cup of coffee.
",0.27,0.07,0.56,0.27
The crowd on the ground is watching 3 people on the roof's edge.,"A crowd of people looking up at 3 people on the edge of the roof of a building.

LABEL: 1

SENTENCE 1:","A group of people standing on the edge of a building.

LABEL: 1

SENTENCE 1:
A group of people standing on",0.33,0.23,0.43,0.31
Three people are climbing down the ladder on the building.,"A crowd of people looking up at 3 people on the edge of the roof of a building.

LABEL: 3

SENTENCE 1:","A group of people standing on the edge of a building.

LABEL: 3

SENTENCE 1:
A group of people standing on",0.25,0.26,0.37,0.36
A woman is working.,"A woman working long hours.

LABEL: 1

SENTENCE 1:
A woman working long hours.

LABEL: 2","A woman working long hours.

LABEL: 0

SENTENCE 1:
A woman working long hours.

LABEL: 0",0.3,0.3,0.53,0.62
A woman is sleeping.,"A woman working long hours.

LABEL: 3

SENTENCE 3:
A woman working long hours.

LABEL: 4","A woman working long hours.

LABEL: 2

SENTENCE 1:
A woman working long hours.

LABEL: 2",0.2,0.2,0.48,0.58
Girls talking next to the toilet.,"Two teenage girls conversing next to lockers.

LABEL: 3

SENTENCE 1:
Two teenage girls conversing next to lock","Two teenage girls conversing next to lockers.

LABEL: 2

SENTENCE 1:
Two teenage girls conversing next to lock",0.25,0.25,0.52,0.52
People talking next to lockers.,"Two teenage girls conversing next to lockers.

LABEL: 1

SENTENCE 1:
Two teenage girls conversing next to lock","Two teenage girls conversing next to lockers.

LABEL: 0

SENTENCE 1:
Two teenage girls conversing next to lock",0.26,0.26,0.56,0.54
Two people are sleeping on the train.,"A man looks down at some balls on the ground.

LABEL: 3

SENTENCE 3:
A man looks down at some balls","The man is looking at the balls.

LABEL: 2

SENTENCE 1:
An old woman watches a man look down at some",0.14,0.07,0.37,0.31
Two kids are hugging.,"A man is holding a woman's hand.

LABEL: 1

SENTENCE 1:
A man is holding a woman's hand.","Two children, both wearing tan coats, are embracing one another.

LABEL: 0

SENTENCE 1:
Two children, both wearing",0.0,0.18,0.56,0.32
Two kids are running down a highway.,"A man is holding a woman's hand.

LABEL: 3

SENTENCE 3:
A man is holding a woman's hand.","Two children, both wearing tan coats, are embracing one another.

LABEL: 2

SENTENCE 1:
Two children, both wearing",0.07,0.16,0.56,0.28
Two kids were hugging.,"2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.

LABEL: 1

SENTENCE","2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.

LABEL: 0

SENTENCE",0.15,0.15,0.33,0.32
Two youths were pushing each other.,"2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.

LABEL: 2

SENTENCE","2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.

LABEL: 2

SENTENCE",0.07,0.07,0.35,0.35
A large number of people wearing black walking down the street.,"A large number of people wearing only white and red are walking on a street.

LABEL: 3

SENTENCE 1:
A large","A large number of people wearing only white and red are walking on a street.

LABEL: 2

SENTENCE 1:
A large",0.5,0.5,0.27,0.28
A large number of people walking on a street.,"A large number of people wearing only white and red are walking on a street.

LABEL: 1

SENTENCE 1:
A large","A large number of people wearing only white and red are walking on a street.

LABEL: 0

SENTENCE 1:
A large",0.6,0.6,0.3,0.29
A man is riding a motorcycle.,"A guy riding a motorcycle near junk cars

LABEL: 1

SENTENCE 1:
A guy riding a motorcycle near junk cars

","A man riding a motorcycle near a pile of junk cars

LABEL: 1

SENTENCE 1:
A man riding a motorcycle near a",0.31,0.36,0.63,0.33
A man is sitting on a parked motorcycle waiting for his friend.,"A guy riding a motorcycle near junk cars

LABEL: 3

SENTENCE 1:
A guy riding a motorcycle near junk cars

","A guy riding a motorcycle near a junk car

LABEL: 2

SENTENCE 1:
A guy riding a motorcycle near a junk car",0.19,0.18,0.48,0.51
indian women perform together in gorgeous costumes,"Women of India performing with blue streamers, in beautiful blue costumes.

LABEL: 1

SENTENCE 1:
Women of India performing","Women of India performing with blue streamers, in beautiful blue costumes.

LABEL: 0

SENTENCE 1:
Women of India performing",0.23,0.23,0.39,0.38
dogs sniff the air,"Women of India performing with blue streamers, in beautiful blue costumes.

LABEL: 3

SENTENCE 1:
Women of India performing","Women of India performing with blue streamers, in beautiful blue costumes.

LABEL: 2

SENTENCE 1:
Women of India performing",0.0,0.0,0.23,0.23
A person is swimming.,"A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.

LABEL: 1

S","A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.

LABEL: 0

S",0.08,0.08,0.22,0.21
The swimmer is eating a toasted marshmallow.,"A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.

LABEL: 3

S","A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.

LABEL: 2

S",0.07,0.07,0.22,0.22
a person is walking out of water.,"The man in the black wetsuit is walking out of the water.

LABEL: 1

SENTENCE 1:
The man in","The man in the black wetsuit is walking out of the water.

LABEL: 0

SENTENCE 1:
The man in",0.38,0.38,0.29,0.27
A man is laying on the beach.,"The man in the black wetsuit is walking out of the water.

LABEL: 3

SENTENCE 1:
The man in","The man in the black wetsuit is walking out of the water.

LABEL: 2

SENTENCE 1:
The man in",0.23,0.23,0.2,0.2
The three men sit and talk about their lives.,"The girls are wearing blue jeans.

LABEL: 3

SENTENCE 3:
The guys are wearing black shirts.

LABEL","Five girls and two guys are crossing a overpass.

LABEL: 2

SENTENCE 1:
A man is standing on a bridge",0.08,0.07,0.3,0.29
There are people outside.,"The girls are wearing blue and the guys are wearing red.

LABEL: 1

SENTENCE 1:
Five girls and two guys are","Five girls and two guys are crossing a overpass.

LABEL: 1

SENTENCE 1:
A man is standing on a bridge",0.08,0.08,0.27,0.24
A woman paints a portrait of a monkey.,"A person with a purple shirt is painting an image of a woman on a white wall.

LABEL: 3

SENTENCE 1:
","A person with a purple shirt is painting an image of a woman on a white wall.

LABEL: 2

SENTENCE 1:
",0.28,0.28,0.19,0.18
There is a woman painting.,"A woman is painting a mural of a woman's face.

LABEL: 1

SENTENCE 1:
A woman is painting a","A woman is painting a mural of a woman's face.

LABEL: 0

SENTENCE 1:
A woman is painting a",0.32,0.32,0.34,0.32
There is a man tying his shoes.,"A woman is painting a mural of a woman's face.

LABEL: 3

SENTENCE 1:
A woman is painting a","A woman is painting a mural of a woman's face.

SENTENCE 1:
A woman is painting a mural of a woman's",0.15,0.13,0.24,0.49
A couple is eating inside at a table and he is pointing at something.,"A couple is eating outside at a table and she is pointing at something.

LABEL: 3

SENTENCE 3:
A couple is","A couple is eating outside at a table and he is pointing at something.

LABEL: 2

SENTENCE 1:
A couple is",0.69,0.74,0.38,0.42
People are eating at a table outside.,"A couple is eating outside at a table and she is pointing at something.

LABEL: 1

SENTENCE 1:
A couple is","A couple is eating outside at a table and he is pointing at something.

LABEL: 0

SENTENCE 1:
A couple is",0.29,0.29,0.27,0.26
The women were picking berries in the countryside,"A woman walks down a sidewalk along a busy street in a downtown area.

LABEL: 3

SENTENCE 3:
A woman walks","Two women walk down a sidewalk along a busy street in a downtown area.

LABEL: 2

SENTENCE 1:
Two women walk",0.07,0.14,0.26,0.28
The women were walking downtown,"A woman walks down a sidewalk along a busy street in a downtown area.

LABEL: 1

SENTENCE 1:
A woman walks","Two women walk down a sidewalk along a busy street in a downtown area.

LABEL: 0

SENTENCE 1:
Two women walk",0.08,0.15,0.37,0.4
The group of people aren't inide of the building.,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""

LAB","Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""

LAB",0.17,0.17,0.35,0.35
The people are sitting in the hotel lobby.,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""

S","Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""

LAB",0.12,0.12,0.29,0.28
A woman is preparing drinks on an airplane.,"The flight attendant demonstrates life vest usage.

LABEL: 3

SENTENCE 1:
The flight attendant demonstrates life vest usage.

","The flight attendant dressed in yellow demonstrates how to use a life vest.

LABEL: 2

SENTENCE 1:
The flight attendant dressed",0.0,0.07,0.52,0.21
Girls walk down the street.,"The girls walk down the street.

LABEL: 1

SENTENCE 1:
The girls walk down the street.

LABEL","The girls walk down the street.

LABEL: 0

SENTENCE 1:
The girls walk down the street.

LABEL",0.45,0.45,0.63,0.56
Girls set down in the street.,"The girls walk down the street.

LABEL: 3

SENTENCE 1:
The girls walk down the street.

LABEL","The girls walk down the street.

LABEL: 2

SENTENCE 1:
The girls walk down the street.

LABEL",0.35,0.35,0.52,0.55
