completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
A man is eating pb and j,"A blond-haired doctor and her African american assistant looking threw new medical manuals.

LABEL: 3

SENTENCE 3:
A","A blond-haired doctor and her African american assistant looking threw new medical manuals.

LABEL: 3

SENTENCE 3:
A",0.15,0.15,0.11,0.11
A boy runs into a wall,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.

LABEL","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.

LABEL",0.12,0.12,0.21,0.21
A tan girl runs leans over an object,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.

LABEL","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.

LABEL",0.29,0.29,0.43,0.43
A family is out at a restaurant.,"The family enjoys feeling ocean waves lap at their feet.

LABEL: 3

SENTENCE 3:
The family enjoys feeling ocean waves lap","The family enjoys feeling ocean waves lap at their feet.

LABEL: 3

SENTENCE 3:
The family enjoys feeling ocean waves lap",0.14,0.14,0.48,0.48
A family is at the beach.,"The family enjoys feeling ocean waves lap at their feet.

LABEL: 1

SENTENCE 3:
The family enjoys feeling ocean waves lap","A young family enjoys feeling ocean waves lap at their feet.

LABEL: 1

SENTENCE 3:
A young family enjoys feeling ocean",0.22,0.22,0.47,0.37
A couple is walking together.,"A couple walk hand in hand down a street.

LABEL: 1

SENTENCE 3:
A couple walk hand in hand down a","A couple walk hand in hand down a street.

LABEL: 1

SENTENCE 3:
A couple walk hand in hand down a",0.15,0.15,0.48,0.48
A couple is sitting on a bench.,"A man walks down the street.

LABEL: 3

SENTENCE 3:
A man walks down the street.

LABEL","A couple walk hand in hand down a street.

LABEL: 3

SENTENCE 3:
A couple walk hand in hand down a",0.17,0.21,0.5,0.44
Three people sit by a busy street bareheaded.,"3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 3

SENTENCE 3:
","3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 3

SENTENCE 3:
",0.14,0.14,0.32,0.32
Three hood wearing people pose for a picture.,"3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 1

SENTENCE 3:
","3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 1

SENTENCE 3:
",0.07,0.07,0.28,0.28
Three hood wearing people stand in a street.,"3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 1

SENTENCE 3:
","3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 1

SENTENCE 3:
",0.21,0.21,0.33,0.33
The man is inside.,"A man reads the paper in a bar with green lighting.

LABEL: 1

SENTENCE 3:
A man reads the paper in","A man reads the paper in a bar with green lighting.

LABEL: 1

SENTENCE 3:
A man reads the paper in",0.16,0.16,0.34,0.34
The man is climbing a mountain.,"A man reads the paper in a bar with green lighting.

LABEL: 3

SENTENCE 3:
A man reads the paper in","A man reads the paper in a bar with green lighting.

LABEL: 3

SENTENCE 3:
A man reads the paper in",0.15,0.15,0.32,0.32
Three firefighters coming up from a subway station.,"Three firefighter come out of subway station.

LABEL: 1

SENTENCE 3:
Three firefighter come out of subway station.

","Three firefighter come out of subway station.

LABEL: 1

SENTENCE 3:
Three firefighter come out of subway station.

",0.23,0.23,0.65,0.65
Three firefighters playing cards inside a fire station.,"Three firefighter come out of subway station.

LABEL: 3

SENTENCE 3:
Three firefighter come out of subway station.

","Three firefighter come out of subway station.

LABEL: 3

SENTENCE 3:
Three firefighter come out of subway station.

",0.15,0.15,0.53,0.53
A person is near a pile of coconuts.,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 1

","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 1

",0.4,0.4,0.36,0.36
A person is burning a straw hat.,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 3

","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 3

",0.34,0.34,0.33,0.33
The guy in yellow is rolling on the grass,"The man in the blue jacket lies in the grass.

LABEL: 3

SENTENCE 3:
The man in the blue jacket lies","Male in a blue jacket decides to lay in the grass.

LABEL: 3

SENTENCE 3:
Male in a blue jacket decides",0.27,0.2,0.38,0.35
The guy wearing a blue jacket is laying on the green grass,"Male in a blue jacket decides to lay in the grass.

LABEL: 1

SENTENCE 3:
Male in a blue jacket decides","Male in a blue jacket decides to lay in the grass.

LABEL: 1

SENTENCE 3:
Male in a blue jacket decides",0.3,0.3,0.49,0.49
A man ropes a calf successfully.,"The cowboy calls off his horse.

LABEL: 3

SENTENCE 3:
The cowboy calls off his horse.

LABEL","The cowboy calls off his horse.

LABEL: 3

SENTENCE 3:
The cowboy calls off his horse.

LABEL",0.0,0.0,0.42,0.42
A boy is on a playground.,"A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.

LABEL: 1

SENT","A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.

LABEL: 1

SENT",0.4,0.4,0.33,0.33
The boy is sitting on the school bus on his way home.,"A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.

LABEL: 3

SENT","A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.

LABEL: 3

SENT",0.17,0.17,0.16,0.16
A squatting woman wearing a hat touching the ground.,"A woman wearing a ball cap squats down to touch the cracked earth.

LABEL: 1

SENTENCE 3:
A woman wearing a","A woman wearing a ball cap squats down to touch the cracked earth.

LABEL: 1

SENTENCE 3:
A woman wearing a",0.33,0.33,0.32,0.32
A woman wearing a sun bonnet planting a garden.,"A woman wearing a ball cap squats down to touch the cracked earth.

LABEL: 3

SENTENCE 3:
A woman wearing a","A woman wearing a ball cap squats down to touch the cracked earth.

LABEL: 3

SENTENCE 3:
A woman wearing a",0.33,0.33,0.25,0.25
Two children are playing catch at a park.,"The children are playing with the bricks.

LABEL: 3

SENTENCE 3:
The children are playing with the bricks.

","Two children re laying on a rug with some wooden bricks laid out in a square between them.

LABEL: 3

SENTENCE 3:",0.23,0.2,0.54,0.17
Two children are on a rug.,"Two children are playing with a ball.

LABEL: 1

SENTENCE 3:
Two children are playing with a ball.

","Two children re laying on a rug with some wooden bricks laid out in a square between them.

LABEL: 1

SENTENCE 3:",0.33,0.36,0.54,0.36
a guy near a building stands by two other men,"A man standing in front of a building on the phone as two men to the side pain on the side.

LABEL: 1

SENT","A man standing in front of a building on the phone as two men to the side pain on the side.

LABEL: 1

SENT",0.29,0.29,0.41,0.41
two girls walk through a hall,"A man standing in front of a building on the phone as two men to the side pain on the side.

LABEL: 3

SENT","A man standing in front of a building on the phone as two men to the side pain on the side.

LABEL: 3

SENT",0.07,0.07,0.23,0.23
Girls are playing outdoors.,"The two young girls are dressed as fairies, and are playing in the leaves outdoors.

LABEL: 1

SENTENCE 3:
","The two young girls are dressed as fairies, and are playing in the leaves outdoors.

LABEL: 1

SENTENCE 3:
",0.35,0.35,0.33,0.33
Two girls play dress up indoors.,"The two young girls are dressed as fairies, and are playing in the leaves outdoors.

LABEL: 3

SENTENCE 3:
","The two young girls are dressed as fairies, and are playing in the leaves outdoors.

LABEL: 3

SENTENCE 3:
",0.16,0.16,0.34,0.34
People are jumping outside.,"People jump over a mountain crevasse on a rope.

LABEL: 1

SENTENCE 3:
People jump over a mountain cre","People jump over a mountain crevasse on a rope.

LABEL: 1

SENTENCE 3:
People jump over a mountain cre",0.09,0.09,0.38,0.38
People slide over a mountain crevasse on a slide.,"People jump over a mountain crevasse on a rope.

LABEL: 3

SENTENCE 3:
People jump over a mountain cre","People jump over a mountain crevasse on a rope.

LABEL: 3

SENTENCE 3:
People jump over a mountain cre",0.5,0.5,0.41,0.41
A snow field with a snowboarder on it,"A snowboarder on a wide plain of snow

LABEL: 1

SENTENCE 3:
A snowboarder on a wide plain","A snowboarder on a wide plain of snow

LABEL: 1

SENTENCE 3:
A snowboarder on a wide plain",0.38,0.38,0.47,0.47
The lady is cooking dinner,"A young man tending to a garden.

LABEL: 3

SENTENCE 3:
A young woman tending to a garden.

","A young woman tending to a garden.

LABEL: 3

SENTENCE 3:
A young woman tending to a garden.

",0.0,0.0,0.46,0.55
The lady has a garden,"A young man tending to a garden.

LABEL: 1

SENTENCE 3:
A young man tending to a garden.

","A young woman tending to a garden.

LABEL: 1

SENTENCE 3:
A young woman tending to a garden.

",0.17,0.17,0.46,0.55
A man destroys a bike.,"A man in a black shirt overlooking bike maintenance.

LABEL: 3

SENTENCE 3:
A man in a black shirt overlooking bike","A man in a black shirt overlooking bike maintenance.

LABEL: 3

SENTENCE 3:
A man in a black shirt overlooking bike",0.31,0.31,0.4,0.4
A man watches bike repairs.,"A man in a black shirt overlooking bike maintenance.

LABEL: 1

SENTENCE 3:
A man in a black shirt overlooking bike","A man in a black shirt overlooking bike maintenance.

LABEL: 1

SENTENCE 3:
A man in a black shirt overlooking bike",0.23,0.23,0.5,0.5
A man is wearing a red shirt,"A man in a black shirt is looking at a bike in a workshop.

LABEL: 3

SENTENCE 3:
A man in","A man in a black shirt is looking at a bike in a workshop.

LABEL: 3

SENTENCE 3:
A man in",0.29,0.29,0.2,0.2
A man is in a black shirt,"A man in a black shirt is looking at a bike in a workshop.

LABEL: 1

SENTENCE 3:
A man in","A man in a black shirt is looking at a bike in a workshop.

LABEL: 1

SENTENCE 3:
A man in",0.43,0.43,0.2,0.2
A person is in a garage.,"A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENTENCE","A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENTENCE",0.21,0.21,0.22,0.22
A man repairs bicycles.,"A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENTENCE","A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENTENCE",0.15,0.15,0.17,0.17
A man waits outside a garage.,"A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 3

SENTENCE","A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 3

SENTENCE",0.28,0.28,0.21,0.21
Some people stand around.,"The man looks at the two women, the redheaded woman looks at the man, the yellow blond girl looks at the man, and the redheaded woman looks","The man looks at the two women, and then looks at the girl, and then looks at the redhead, and then looks at the woman, and then",0.0,0.0,0.35,0.29
People run together.,"The man looks at the two women, the redheaded woman looks at the man, the yellow blond girl looks at the man, and the redheaded woman looks","The man looks at the two women, and then looks at the girl, and then looks at the redhead, and then looks at the woman, and then",0.0,0.0,0.3,0.28
People wait at a station.,"The man looks at the two women, the redheaded woman looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","The man looks at the two women, and then looks at the girl, and then looks at the redhead, and then looks at the woman, and then",0.06,0.06,0.25,0.28
A child wearing a red top is standing behind a blond headed child,"A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.

LABEL: 1

SENTENCE 3","A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.

LABEL: 1

SENTENCE 3",0.76,0.76,0.48,0.48
A child wearing a red top is standing on top of a blond headed child,"A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.

LABEL: 3

SENTENCE 3","A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.

LABEL: 3

SENTENCE 3",0.67,0.67,0.47,0.47
A lady sitting on a bench in the park.,"A man dressed in a suit and tie, is walking down the street.

LABEL: 3

SENTENCE 3:
A man dressed","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.

LABEL: 3",0.21,0.18,0.24,0.2
A person outside pushing a stroller.,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.

LABEL: 1","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.

LABEL: 1",0.32,0.32,0.34,0.34
A cat washes his face and whiskers with his front paw.,"A dog jumping for a Frisbee in the snow.

LABEL: 3

SENTENCE 3:
A dog jumping for a Fr","A dog jumping for a Frisbee in the snow.

LABEL: 3

SENTENCE 3:
A dog jumping for a Fr",0.07,0.07,0.31,0.31
"An animal is outside in the cold weather, playing with a plastic toy.","A dog jumping for a Frisbee in the snow.

LABEL: 1

SENTENCE 3:
A dog jumping for a Fr","A dog jumping for a Frisbee in the snow.

LABEL: 1

SENTENCE 3:
A dog jumping for a Fr",0.19,0.19,0.31,0.31
People are talking underneath a covering.,"The people are conversing at a dining table under a canopy.

LABEL: 1

SENTENCE 3:
The people are conversing","People are conversing at a dining table under a canopy.

LABEL: 1

SENTENCE 3:
People are conversing at a",0.24,0.24,0.42,0.33
People are screaming at a boxing match.,"The people are talking about the weather.

LABEL: 3

SENTENCE 3:
The people are talking about the weather.

","People are conversing at a dining table under a canopy.

LABEL: 3

SENTENCE 3:
People are conversing at a",0.16,0.31,0.48,0.24
A girl is washing a load of laundry.,"A girl playing a violin along with a group of people

LABEL: 3

SENTENCE 3:
A girl playing a violin along with","A girl playing a violin along with a group of people

LABEL: 3

SENTENCE 3:
A girl playing a violin along with",0.27,0.27,0.33,0.33
A girl is playing an instrument.,"A girl playing a violin along with a group of people

LABEL: 1

SENTENCE 3:
A girl playing a violin along with","A girl playing a violin along with a group of people

LABEL: 1

SENTENCE 3:
A girl playing a violin along with",0.21,0.21,0.37,0.37
A woman is playing the violin.,"A woman within an orchestra is playing a violin.

LABEL: 1

SENTENCE 3:
A woman within an orchestra is playing a","A woman within an orchestra is playing a violin.

LABEL: 1

SENTENCE 3:
A woman within an orchestra is playing a",0.37,0.37,0.48,0.48
A man is looking in a telescope.,"A woman within an orchestra is playing a violin.

LABEL: 3

SENTENCE 3:
A woman within an orchestra is playing a","A woman within an orchestra is playing a violin.

LABEL: 3

SENTENCE 3:
A woman within an orchestra is playing a",0.21,0.21,0.37,0.37
three men look at the camera,"The man holding the pipe is looking at the camera.

LABEL: 1

SENTENCE 3:
The man holding the pipe is looking","The man holding the pipe is looking at the camera.

LABEL: 1

SENTENCE 3:
The man holding the pipe is looking",0.22,0.22,0.5,0.5
three men sleeping in a tent,"The man holding the pipe is looking at the camera.

LABEL: 3

SENTENCE 3:
The man holding the pipe is looking","The man holding the pipe is looking at the camera.

LABEL: 3

SENTENCE 3:
The man holding the pipe is looking",0.0,0.0,0.39,0.39
A car making a right turn had three pedestrians cross behind it.,"A Ford car is making a right turn as 3 males are walking across the street behind the car.

LABEL: 1

SENTENCE 3","A Ford car is making a right turn as 3 males are walking across the street behind the car.

LABEL: 1

SENTENCE 3",0.4,0.4,0.39,0.39
there are three boys,"The boys are walking behind the car.

LABEL: 1

SENTENCE 3:
The boys are walking behind the car.

","The boys are walking behind the car.

LABEL: 1

SENTENCE 3:
The boys are walking behind the car.

",0.18,0.18,0.62,0.62
There are three girls,"The boys are walking behind the car.

LABEL: 3

SENTENCE 3:
The boys are walking behind the car.

","The boys are walking behind the car.

LABEL: 3

SENTENCE 3:
The boys are walking behind the car.

",0.09,0.09,0.54,0.54
The boys are on the street,"The boys are walking behind the car.

LABEL: 1

SENTENCE 3:
The boys are walking behind the car.

","The boys are walking behind the car.

LABEL: 1

SENTENCE 3:
The boys are walking behind the car.

",0.33,0.33,0.55,0.55
Some people are blowing out candles,"The girls blow out the candles of a cake made of Peeps.

LABEL: 1

SENTENCE 3:
The girls blow out","The girls blow out the candles of the cake made of Peeps.

LABEL: 1

SENTENCE 3:
The girls blow out",0.15,0.15,0.28,0.31
There are three girls and a cake,"The girls blow out the candles of a cake made of Peeps.

LABEL: 1

SENTENCE 3:
The girls blow out","The girls blow out the candles of the cake made of Peeps.

LABEL: 1

SENTENCE 3:
The girls blow out",0.22,0.15,0.29,0.3
There are peeps in the garden.,"The girls blow out the candles of the cake made of Peeps.

LABEL: 3

SENTENCE 3:
The girls blow out","The girls blow out the candles of the cake made of Peeps.

LABEL: 3

SENTENCE 3:
The girls blow out",0.15,0.15,0.32,0.32
The crowd on the ground is watching 3 people on the roof's edge.,"A crowd of people looking up at 3 people on the edge of the roof of a building.

LABEL: 1

SENTENCE 3:","A crowd of people looking up at 3 people on the edge of the roof of a building.

LABEL: 1

SENTENCE 3:",0.33,0.33,0.45,0.45
Three people are climbing down the ladder on the building.,"A crowd of people looking up at 3 people on the edge of the roof of a building.

LABEL: 3

SENTENCE 3:","A crowd of people looking up at 3 people on the edge of the roof of a building.

LABEL: 3

SENTENCE 3:",0.25,0.25,0.38,0.38
A woman is working.,"A woman working long hours.

LABEL: 1

SENTENCE 3:
A woman working long hours.

LABEL: 2","A woman working long hours.

LABEL: 1

SENTENCE 3:
A woman working long hours.

LABEL: 2",0.3,0.3,0.52,0.52
A woman is sleeping.,"A woman working long hours.

LABEL: 3

SENTENCE 3:
A woman working long hours.

LABEL: 4","A woman working long hours.

LABEL: 3

SENTENCE 3:
A woman working long hours.

LABEL: 4",0.2,0.2,0.48,0.48
Girls talking next to the toilet.,"Two teenage girls conversing next to lockers.

LABEL: 3

SENTENCE 3:
Two teenage girls conversing next to lock","Two teenage girls conversing next to lockers.

LABEL: 3

SENTENCE 3:
Two teenage girls conversing next to lock",0.25,0.25,0.52,0.52
People talking next to lockers.,"Two teenage girls conversing next to lockers.

LABEL: 1

SENTENCE 3:
Two teenage girls conversing next to lock","Two teenage girls conversing next to lockers.

LABEL: 1

SENTENCE 3:
Two teenage girls conversing next to lock",0.26,0.26,0.54,0.54
Two people are sleeping on the train.,"The old woman watches the man look down at some balls on the ground.

LABEL: 3

SENTENCE 3:
The old woman","The old woman watches the man look down at some balls on the ground.

LABEL: 3

SENTENCE 3:
The old woman",0.14,0.14,0.26,0.26
Two kids are hugging.,"The children are hugging each other.

LABEL: 1

SENTENCE 3:
The children are hugging each other.

LABEL","The children are hugging each other.

LABEL: 1

SENTENCE 3:
The children are hugging each other.

LABEL",0.19,0.19,0.54,0.54
Two kids are running down a highway.,"The children are hugging each other.

LABEL: 3

SENTENCE 3:
The children are hugging each other.

LABEL","The children are hugging each other.

LABEL: 1

SENTENCE 3:
The children are hugging each other.

LABEL",0.08,0.08,0.52,0.51
Two kids were hugging.,"1 kid who looks related is hanging out with 1 of them looking very emotional and hugging the other.

LABEL: 1

SENTENCE 3","2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.

LABEL: 1

SENTENCE 3",0.07,0.15,0.32,0.34
Two youths were pushing each other.,"1 kid who looks related is hanging out with 1 of them looking very emotional and hugging the other.

LABEL: 1

SENTENCE 3","2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.

LABEL: 1

SENTENCE 3",0.07,0.07,0.29,0.32
A large number of people wearing black walking down the street.,"A large number of people wearing only white and red are walking on a street.

LABEL: 3

SENTENCE 3:
A large","A large number of people wearing only white and red are walking on a street.

LABEL: 3

SENTENCE 3:
A large",0.5,0.5,0.31,0.31
A large number of people walking on a street.,"A large number of people wearing only white and red are walking on a street.

LABEL: 1

SENTENCE 3:
A large","A large number of people wearing only white and red are walking on a street.

LABEL: 1

SENTENCE 3:
A large",0.6,0.6,0.28,0.28
A man is riding a motorcycle.,"A guy riding a motorcycle near junk cars

LABEL: 1

SENTENCE 3:
A guy riding a motorcycle near junk cars

","A guy riding a motorcycle near junk cars

LABEL: 1

SENTENCE 3:
A guy riding a motorcycle near junk cars

",0.31,0.31,0.6,0.6
A man is sitting on a parked motorcycle waiting for his friend.,"A guy riding a motorcycle near junk cars

LABEL: 1

SENTENCE 3:
A guy riding a motorcycle near junk cars

","A guy riding a motorcycle near junk cars

LABEL: 3

SENTENCE 3:
A guy riding a motorcycle near junk cars

",0.19,0.19,0.47,0.49
indian women perform together in gorgeous costumes,"The women of India performing with blue streamers, in beautiful blue costumes.

LABEL: 1

SENTENCE 3:
The women of","Women of India performing with blue streamers, in beautiful blue costumes.

LABEL: 1

SENTENCE 3:
Women of India performing",0.23,0.23,0.31,0.38
dogs sniff the air,"The women of India performing with blue streamers, in beautiful blue costumes.

LABEL: 3

SENTENCE 3:
The women of","Women of India performing with blue streamers, in beautiful blue costumes.

LABEL: 3

SENTENCE 3:
Women of India performing",0.09,0.0,0.19,0.25
A person is swimming.,"A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.

LABEL: 1

S","A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.

LABEL: 1

S",0.08,0.08,0.22,0.22
The swimmer is eating a toasted marshmallow.,"A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.

LABEL: 3

S","A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.

LABEL: 3

S",0.07,0.07,0.22,0.22
a person is walking out of water.,"The man in the black wetsuit is walking out of the water.

LABEL: 1

SENTENCE 3:
The man in","The man in the black wetsuit is walking out of the water.

LABEL: 1

SENTENCE 3:
The man in",0.38,0.38,0.27,0.27
A man is laying on the beach.,"The man in the black wetsuit is walking out of the water.

LABEL: 3

SENTENCE 3:
The man in","The man in the black wetsuit is walking out of the water.

LABEL: 3

SENTENCE 3:
The man in",0.23,0.23,0.22,0.22
The three men sit and talk about their lives.,"The girls and the guys are crossing the overpass.

LABEL: 1

SENTENCE 3:
The girls and the guys are crossing","The girls are wearing black dresses.

LABEL: 3

SENTENCE 3:
The guys are wearing blue jeans.

LABEL",0.14,0.08,0.33,0.29
There are people outside.,"The girls and the guys are crossing the overpass.

LABEL: 1

SENTENCE 3:
The girls and the guys are crossing","The girls are wearing black dresses.

LABEL: 1

SENTENCE 3:
The guys are wearing blue jeans.

LABEL",0.08,0.1,0.37,0.29
A woman paints a portrait of a monkey.,"A person with a purple shirt is painting an image of a woman on a white wall.

LABEL: 3

SENTENCE 3:
","A person with a purple shirt is painting an image of a woman on a white wall.

LABEL: 3

SENTENCE 3:
",0.28,0.28,0.22,0.22
There is a woman painting.,"A woman is painting a mural of a woman's face.

LABEL: 1

SENTENCE 3:
A woman is painting a mural","A woman is painting a mural of a woman's face.

LABEL: 1

SENTENCE 3:
A woman is painting a mural",0.31,0.31,0.43,0.43
There is a man tying his shoes.,"A woman is painting a mural of a woman's face.

LABEL: 3

SENTENCE 3:
A woman is painting a mural","A woman is painting a mural of a woman's face.

LABEL: 3

SENTENCE 3:
A woman is painting a mural",0.14,0.14,0.34,0.34
A couple is eating inside at a table and he is pointing at something.,"The couple is eating outside at a table and he is pointing at something.

LABEL: 3

SENTENCE 3:
The couple is","A couple is eating outside at a table and he is pointing at something.

LABEL: 3

SENTENCE 3:
A couple is",0.69,0.74,0.45,0.44
People are eating at a table outside.,"The couple is eating outside at a table and he is pointing at something.

LABEL: 1

SENTENCE 3:
The couple is","A couple is eating outside at a table and he is pointing at something.

LABEL: 1

SENTENCE 3:
A couple is",0.29,0.29,0.27,0.26
The women were picking berries in the countryside,"Two women walk down a sidewalk along a busy street in a downtown area.

LABEL: 3

SENTENCE 3:
Two women walk","Two women walk down a sidewalk along a busy street in a downtown area.

LABEL: 3

SENTENCE 3:
Two women walk",0.14,0.14,0.3,0.3
The women were walking downtown,"Two women walk down a sidewalk along a busy street in a downtown area.

LABEL: 1

SENTENCE 3:
Two women walk","Two women walk down a sidewalk along a busy street in a downtown area.

LABEL: 1

SENTENCE 3:
Two women walk",0.15,0.15,0.39,0.39
The group of people aren't inide of the building.,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""

LAB","Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""

LAB",0.17,0.17,0.35,0.35
The people are sitting in the hotel lobby.,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""

LAB","Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""

LAB",0.12,0.12,0.28,0.28
A woman is preparing drinks on an airplane.,"The flight attendant demonstrates life vest usage.

LABEL: 3

SENTENCE 3:
The flight attendant demonstrates life vest usage.

","The flight attendant dressed in yellow demonstrates life vest usage.

LABEL: 3

SENTENCE 3:
The flight attendant dressed in yellow demonstrates",0.0,0.0,0.54,0.32
Girls walk down the street.,"The girls walk down the street.

LABEL: 1

SENTENCE 3:
The girls walk down the street.

LABEL","The girls walk down the street.

LABEL: 1

SENTENCE 3:
The girls walk down the street.

LABEL",0.45,0.45,0.61,0.61
