completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Rabies is fatal in humans.,"The rabies virus infects the central nervous system, causing encephalopathy and ultimately death. Early symptoms of rabies in humans are nonspecific, consisting","The rabies virus is a member of the genus Rabies.

LABEL: 1

SENTENCE 3:
Rabies virus is a",0.22,0.17,0.24,0.34
PM often entered markets with both cigarettes and food.,"The tobacco companies were diversifying their products to include food and beverages.

LABEL: 2

SENTENCE 3:
The tobacco companies were","The tobacco companies were diversifying their products to include food and beverages.

LABEL: 2

SENTENCE 3:
The tobacco companies were",0.07,0.07,0.34,0.34
"Humans existed 10,000 years ago.","The development of agriculture by early humans, roughly 10,000 years ago, was also harmful to many natural ecosystems as they were systematically destroyed and replaced with artificial versions","The development of agriculture by early humans, roughly 10,000 years ago, was also harmful to many natural ecosystems as they were systematically destroyed and replaced with artificial versions",0.29,0.29,0.33,0.33
Pibul was a young leader.,"The two young leaders of the coup, Pibul Songgram and Pridi Phanomyang, both educated in Europe and influenced by Western ideas, came","The two young leaders of the coup, Pibul Songgram and Pridi Phanomyang, both educated in Europe and influenced by Western ideas, came",0.07,0.07,0.28,0.28
"Lin Piao wrote the ""Little Red Book"".","Lin Piao, after all, was the creator of Mao's ""Little Red Book"" of quotations.

LABEL: 1

SENTENCE","Lin Piao, after all, was the creator of Mao's ""Little Red Book"" of quotations.

LABEL: 1

SENTENCE",0.48,0.48,0.35,0.35
Bacteria is winning the war against antibiotics.,"The bacteria are resistant to the antibiotic, but the patient is not.

LABEL: 2

SENTENCE 3:
The bacteria are resistant","When patients interrupt a course of antibiotics, the surviving bacteria return with a vengeance, often having rapidly mutated to resist the therapy.

LABEL: 2
",0.22,0.13,0.31,0.29
The introduction of the euro has been opposed.,"The Bundesbank opposed the introduction of the euro but was compelled to accept it in light of the political pressure of the capitalist politicians who supported its introduction.

","The Bundesbank opposed the introduction of the euro but was compelled to accept it in light of the political pressure of the capitalist politicians who supported its introduction.

",0.28,0.28,0.44,0.44
Three rebels were killed by government troops.,"The Armed Forces Press Committee (COPREFA) admitted that the government troops sustained 11 casualties in these clashes, adding that they inflicted three casualties on the rebels","The Armed Forces Press Committee (COPREFA) admitted that the government troops sustained 11 casualties in these clashes, adding that they inflicted three casualties on the rebels",0.12,0.12,0.44,0.44
Drug legalization has benefits.,"The legalization of marijuana will not be the basis of Canada's public policy decisions, but Easton's research does conclusively show that there are economic benefits in the","Easton's research does conclusively show that there are economic benefits in the legalization of marijuana.

LABEL: 1

SENTENCE 3:",0.12,0.08,0.19,0.18
30 beautifully preserved mummies have been located in the south of Cairo.," team discovered a large number of artifacts including a large number of gold and silver artifacts.

SENTENCE 2:
The mummies were found in a", located in the Nile Delta. The site is located in the middle of the desert and is surrounded by sand dunes. The site is located in the middle of,0.11,0.2,0.19,0.27
Aspirin prevents gastrointestinal bleeding.,"The gastrointestinal bleeding can happen as an adverse effect of non-steroidal anti-inflammatory drugs such as aspirin or ibuprofen.

LABEL:","The incidence of gastrointestinal bleeding is higher in patients with a history of gastrointestinal bleeding.

LABEL: 2

SENTENCE 3:
The incidence",0.16,0.16,0.38,0.2
Hooper is a citizen of Portland.,"Hooper was a former employee of the company, David Vance of South Portland, said Hooper spent a lot of time on the road, often meeting with customers","Hooper spent a lot of time on the road, often meeting with customers between Portland and Kittery.

LABEL: 2

SENT",0.24,0.31,0.38,0.16
Cyprus was divided into two parts on May 1.,"The EU is a political union, not a military one.

LABEL: 2

SENTENCE 3:
The EU is a political union","Cyprus, divided or not, joins the EU on the 1st of May.

LABEL: 2

SENTENCE 3:
Cy",0.0,0.31,0.33,0.23
North Korea says it has a stockpile of nuclear weapons and is building more.,"North Korea has been accused of using its nuclear weapons to intimidate its neighbors.

LABEL: 2

SENTENCE 3:
North Korea has","North Korea will bolster its nuclear weapons arsenal.

LABEL: 2

SENTENCE 3:
North Korea will quit six-party nuclear disarm",0.34,0.24,0.22,0.28
Gbagbo is a competitor of Ouattara.,"The electoral commission was established in 2000, but the law on nationality was not passed until 2002.

LABEL: 1

SENTENCE 3:","The electoral commission was established in 2000, but the law on nationality was not passed until 2002.

LABEL: 1

SENTENCE 3:",0.0,0.0,0.04,0.04
Mohandas received the Nobel Prize in 1989.,"The Nobel Peace Prize was awarded to the United Nations in 1945.

LABEL: 2

SENTENCE 3:
The Nobel Peace Prize was","The Nobel Peace Prize is awarded to the person who has done the most to improve the situation of peace in the world.

LABEL: 2

",0.29,0.25,0.25,0.2
It seems unlikely that there will be a coalition between Gerhard Schroeder's Social Democrats and Angela Merkel's Christian Democratic Union.,"The CDU won 35.2% of the vote, or 225 seats, against 34.3% for Chancellor Gerhard Schroeder's Social Democrats (SP","The Christian Democrats (CDU) won 35.2% of the vote, or 225 seats, against 34.3% for Chancellor Gerhard Schroeder's",0.23,0.14,0.33,0.24
King Edward VIII abdicated in December 1936.,"Edward VIII became King in January of 1936 and abdicated in December.

LABEL: 1

SENTENCE 3:
Edward VIII became","Edward VIII became King in January of 1936 and abdicated in December.

LABEL: 1

SENTENCE 3:
Edward VIII became",0.38,0.38,0.25,0.25
Stephen Grosz is the British lawyer of David Hicks.,", the Government's decision to refuse Mr Hicks citizenship was unlawful.""

SENTENCE 2:
The British Government has been accused of ""failing to"," deny"" citizenship to a British citizen.

SENTENCE 2:
The British Government has been accused of ""failing to protect"" David Hicks,",0.19,0.34,0.15,0.25
Marine vegetation is  harvested.,"The rockweed harvest is a major source of income for the province of Nova Scotia.

LABEL: 1

SENTENCE 3:
The","Rockweed has been harvested commercially in Nova Scotia since the late 1950's and is currently the most important commercial seaweed in Atlantic Canada.

LABEL:",0.08,0.07,0.05,0.25
Musharraf has ordered rioters to take firm action against security forces.,"old Bhutto was killed.

SENTENCE 2:
The Pakistani government has ordered security forces to take firm action against rioters following the assassination"," political battle is raging in Pakistan.

SENTENCE 2:
The Pakistani government has ordered security forces to take firm action against rioters following the assassination",0.42,0.4,0.44,0.5
Michael Bloomberg is the mayor of New York.,", the president of the American Heart Association, said in the article that the tax would be a ""game changer"" in the fight against obesity.

"," Farley, said the tax would be ""a powerful tool"" in the fight against obesity.

SENTENCE 2:
The commissioner said the tax",0.12,0.07,0.15,0.21
"Officials said that the suspect, a Finnish citizen, was among the dead.","Officials said the Finnish suspect was among the dead but did not provide a motive for the attack.

LABEL: 1

SENTENCE 3:","Officials said the Finnish suspect was among the dead but did not provide a motive for the attack.

LABEL: 1

SENTENCE 3:",0.47,0.47,0.41,0.41
The military protection zone around Falklands was lifted.,"Britain agreed to lift by March 31 a 150-mile military protection zone enforced around the islands since Argentina invaded them in 1982.

LABEL: 1
","Britain agreed to lift by March 31 a 150-mile military protection zone enforced around the islands since Argentina invaded them in 1982.

LABEL: 1
",0.24,0.24,0.28,0.28
An Indonesian ferry with 300 passengers sank.,"th, the sea will be rough and the waves will be high.""

SENTENCE 2:
The ferry owner PT Nur Budi's spokesman blamed","

SENTENCE 2:
The ferry owner PT Nur Budi's spokesman blamed Indonesian port authorities for the tragedy. ""The passenger capacity of the ferry",0.07,0.13,0.1,0.25
The riots in Greece started on December 6.," tree was set on fire.

SENTENCE 2:
The Greek police used tear gas and water cannons to disperse the demonstrators. The demonstrators threw stones"," The police used tear gas and water cannons to disperse the demonstrators.

SENTENCE 2:
The Greek police used tear gas and water cannons to disperse",0.06,0.06,0.23,0.5
One case involved the extradition of Libyan suspects in the Pan Am Lockerbie bombing.,Libya's case against Britain and the US concerns the dispute over their demand for extradition of Libyans charged with blowing up a Pan Am jet over Locker,Libya's case against Britain and the US concerns the dispute over their demand for extradition of Libyans charged with blowing up a Pan Am jet over Locker,0.29,0.29,0.51,0.51
Argentina sought UK expertise on privatization and agriculture.,"Argentina sought help from Britain on its privatization program and encouraged British investment.

LABEL: 2

SENTENCE 3:
The British","Argentina sought help from Britain on its privatization program and encouraged British investment.

LABEL: 2

SENTENCE 3:
Argent",0.37,0.38,0.32,0.38
Garry Breitkreuz is a member of the Conservative Party.," Marr said that the government is working on a bill to deal with gun crime.

SENTENCE 2:
""The Conservatives have provided amnesty for"," no way to know how many guns are in Canada.

SENTENCE 2:
""Instead of action on crime, we got the federal long gun",0.19,0.12,0.09,0.13
"At the age of one year, male mice were fed with a diet in which 60 percent of calories came from fat.","SENTENCE 2:
The researchers in the latest study fed one group of mice a diet in which 60 percent of calories came from fat. The diet started"," of the disease.

SENTENCE 2:
The researchers fed one group of mice a diet in which 60 percent of calories came from fat. The",0.57,0.61,0.45,0.42
The soldiers were driving a civilian car and were dressed in civilian clothes when a shooting took place between them and Iraqi patrols.,"The soldiers, who were said to have been wearing Arab headdress, were accused of firing at Iraqi police when stopped at a road block.

LABEL","The soldiers, who were said to have been wearing Arab headdress, were accused of firing at Iraqi police when stopped at a road block.

LABEL",0.25,0.25,0.32,0.32
"U.N. weapons inspectors could stay in Iraq, Clinton said.","The United States would like to see U.N. weapons inspectors return to Iraq providing the Iraqis take concrete, affirmative and demonstrable actions ""to show full co","The United States would like to see U.N. weapons inspectors return to Iraq providing the Iraqis take concrete, affirmative and demonstrable actions ""to show full co",0.27,0.27,0.29,0.29
A patrol car was attacked by the San Carlos Battalion.,"On 12 August, the San Carlos Battalion came across mines placed in their path and one soldier was killed while two were seriously injured. Meanwhile on 10 August, urban","
On 12 August, the San Carlos Battalion came across mines placed in their path and one soldier was killed while two were seriously injured. Meanwhile on 10 August,",0.21,0.21,0.27,0.39
Bomb-sniffing dogs were estimated at Rodriguez's Mulberry St. apartment.,"Rodriguez's apartment was searched by bomb-sniffing dogs.

LABEL: 2

SENTENCE 3:
Rodriguez","The dogs were brought to Rodriguez's Mulberry St. apartment.

LABEL: 2

SENTENCE 3:
The dogs were brought to",0.32,0.47,0.41,0.32
Male fertility may be affected by use of a mobile phones.,"The new research claims that mobile phones may reduce a man's sperm count by up to 30%.

LABEL: 1

SENTENCE 3:","The researchers say that the effect is most likely due to the fact that mobile phones emit electromagnetic radiation.

LABEL: 1

SENTENCE 3",0.12,0.12,0.25,0.15
Lufthansa Technik Automotive fires 30 workers.,"offs.

SENTENCE 2:
The Lufthansa Technik Automotive plant in Co Dublin is due to vote today on changes to",".

SENTENCE 2:
The workers at the Lufthansa Technik Automotive plant in Co Dublin are due to vote today on",0.24,0.24,0.21,0.24
GATT was formed in 1947.,"The United States has been the world’s largest exporter of goods for decades, but the trade deficit has grown in recent years.

LABEL","The GATT is a multilateral agreement that governs the trade of goods and services between countries.

LABEL: 2

SENTENCE 3:",0.07,0.08,0.08,0.16
Cheney cursed at Sen. Patrick Leahy.,Vice President Dick Cheney on Tuesday hurled an obscenity on the Senate floor to punctuate an angry exchange with Vermont Sen. Patrick Leahy as all senators gathered,"The Senate voted to confirm John Roberts to the Supreme Court on Tuesday, but the vote was not unanimous.

LABEL: 1

SENTENCE",0.24,0.0,0.4,0.07
In the May 2005 general election Conservatives got 33 seats.,"The Conservatives' success in the election was attributed to the party's strong economic record, which included a reduction in the deficit and a reduction in unemployment.

","The Conservatives gained 33 seats, playing the most significant role in reducing Labour's majority from 167 to 66.

LABEL: 2

SENTENCE",0.16,0.25,0.36,0.25
Dagbladet is a Norwegian newspaper.,"The Norwegian Newspaper Corpus is a large and self-expanding corpus of Norwegian newspaper texts. The collection of this dynamic and continually growing corpus began in 1998.
","The Norwegian Newspaper Corpus is a large and self-expanding corpus of Norwegian newspaper texts. The collection of this dynamic and continually growing corpus began in 1998.
",0.25,0.25,0.38,0.38
"Formerly ( until 1949 ) Batavia, Jakarta is largest city and capital of Indonesia.","The Dutch, who ruled Indonesia until 1949, called the city of Jakarta Batavia.

LABEL: 2

SENTENCE 3:
The","The Dutch, who ruled Indonesia until 1949, called the city of Jakarta Batavia.

LABEL: 2

SENTENCE 3:
The",0.27,0.27,0.1,0.1
James Bond was created by Ian Fleming.,"written by Ian Fleming) called ""The Man with the Golden Gun"".

SENTENCE 2:
The name for the newest James Bond film has been"," film will be directed by Sam Mendes, who has directed all of the previous Bond films.

SENTENCE 2:
The name for the newest",0.2,0.07,0.29,0.23
Obesity is medically treated.,"The gastric bypass operation, also known as stomach stapling, has become the most common surgical procedure for treating obesity.

LABEL: 1
","The gastric bypass operation, also known as stomach stapling, has become the most common surgical procedure for treating obesity.

LABEL: 1
",0.08,0.08,0.27,0.27
U.S. consumer spending dived in June.,"The cost of the consumer of the United States fell in June.

LABEL: 2

SENTENCE 3:
The cost of the consumer","The cost of the consumer of the United States fell in June.

LABEL: 2

SENTENCE 3:
The cost of the consumer",0.21,0.21,0.42,0.42
Some Australians have fasted to protest.," a fair trial.

SENTENCE 2:
The former leader of Iraq was rushed to hospital last Sunday after refusing to eat for sixteen days. But"," for sixteen days in protest at the death sentence handed down to him by the Iraqi Supreme Court.

SENTENCE 2:
The former leader of Iraq",0.07,0.06,0.07,0.23
Sonia Gandhi is defeated by BJP.,"Sonia Gandhi can be defeated in the next elections in India by BJP.

LABEL: 2

SENTENCE 3:
Sonia Gandhi","Sonia Gandhi can be defeated in the next elections in India by BJP.

LABEL: 2

SENTENCE 3:
Sonia Gandhi",0.4,0.4,0.52,0.52
"Palestinian leader, Mahmoud Abbas, may be someone Israel can talk with.","The Israeli Prime Minister Ariel Sharon has said that Mahmoud Abbas is a man that Israel can do business with.

LABEL: 1

SENTENCE","Israeli Prime Minister Ariel Sharon has said that Mahmoud Abbas is a man that Israel can do business with.

LABEL: 1

SENTENCE 3",0.29,0.29,0.42,0.37
Hugh Jackman plays the role of Wolverine in the movie.," and  the film`s director, James Mangold.

SENTENCE 2:
The film`s stars will be joined by a host of","ch,  and  more.

SENTENCE 2:
The Tempe Hometown Premiere will have all the trappings of a mega-H",0.13,0.14,0.16,0.06
A member of the opposition was injured in a car bomb attack in Beirut.,"In October, however, amid rising tensions between the government and opposition groups, a car bomb seriously injured an opposition politician and killed his driver, in Beirut.
","In October, however, amid rising tensions between the government and opposition groups, a car bomb seriously injured an opposition politician and killed his driver, in Beirut.
",0.35,0.35,0.5,0.5
skin cancer numbers increase.,"Weinstock painstakingly reviewed dozens of studies for evidence of any link between sunscreen use and either an increase or decrease in melanoma.

LABEL:","Weinstock painstakingly reviewed dozens of studies for evidence of any link between sunscreen use and either an increase or decrease in melanoma.

LABEL:",0.07,0.07,0.04,0.04
Robots are used to find missing victims.,"The idea of robots taking part in rescue and recovery efforts is not new. In fact, robots have been used in search and rescue missions for many years.
","The following sentence is a sentence from the train split of the glue dataset.

SENTENCE 2 MUST EXACTLY match the instance in the dataset.",0.11,0.0,0.6,0.21
Charlton Heston was born in Illinois.,"Heston was a 27-year-old actor from Broadway and television when he arrived in Hollywood for a five-picture contract with Hal Wallis.

","Heston was a 27-year-old actor from Broadway and television when he arrived in Hollywood for a five-picture contract with Hal Wallis.

",0.2,0.2,0.33,0.33
Babe Ruth hit 60 home runs in his lifetime.,"The Yankees won the World Series in 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008","Ruth's 1927 single season record of 60 home runs stood unsurpassed until Roger Maris hit 61 in 1961.

LABEL: 2

",0.07,0.33,0.23,0.15
Maglev is commercially used.,"The German technology was employed to build Shanghai's existing maglev line, the first in the world to be used commercially.

LABEL: 1

","The German technology was employed to build Shanghai's existing maglev line, the first in the world to be used commercially.

LABEL: 1

",0.15,0.15,0.26,0.26
Clay Roueche is 33 years old.," stiff sentence.

""He's a very dangerous individual,"" Sullivan said. ""He's a leader of a violent gang. He's a drug trafficker"," drug trafficking operation he ran were ""unparalleled.""

SENTENCE 2:
The UN gang leader Clay Roueche should spend at least 30 years",0.0,0.22,0.2,0.31
Tom Baker works for BT.,"

SENTENCE 2:
The voice of Baker will replace the earlier computer-synthesized voice that was previously used. BT said that his"," to create the voice.

SENTENCE 2:
The voice was created by a computer program called ""Baker's Voice"".

SENT",0.15,0.08,0.25,0.32
Nobel Peace Prize candidates have been chosen.,The Norwegian Nobel Committee is responsible for the selection of the candidates and the choice of Prize Winners for the Peace Prize. The Committee is composed of five members appointed by,"
SENTENCE 2:
The Norwegian Nobel Committee is responsible for the selection of the candidates and the choice of Prize Winners for the Peace Prize. The Committee",0.16,0.18,0.4,0.39
"Dead dolphins, turtles and whales have been found on African beaches.","The dolphins, marine turtles and beaked whales have been washed up dead on beaches in Africa.

LABEL: 1

SENTENCE 3:","The dolphins, marine turtles and beaked whales have been washed up dead on beaches in Africa.

LABEL: 1

SENTENCE 3:",0.52,0.52,0.44,0.44
Noraini had a twin sister called Endon.," died in 2005.

SENTENCE 2:
Endon was respected for her humble, unassuming personality. She was popularly referred to as """," in 2004. She died in 2005.

SENTENCE 2:
Endon was respected for her humble, unassuming personality. She was popularly",0.08,0.08,0.22,0.21
Hillary Clinton is Bill's sister.,"M's assets were seized by the SEC and the company was placed in bankruptcy.

SENTENCE 2:
The plaintiffs in this most recent suit contend","'s presidential campaign, and the sale of the company to a Chinese company.

SENTENCE 2:
The plaintiffs in this most recent suit contend that",0.06,0.07,0.14,0.04
Alex Da Silva is a student of salsa dance.," lieu of $1 million bail.

SENTENCE 2:
Alex Da Silva, a salsa dance instructor and choreographer for Fox's ""So You"," two years.

SENTENCE 2:
Alex Da Silva, a salsa dance instructor and choreographer for Fox's ""So You Think You Can Dance",0.4,0.39,0.25,0.36
Ruth hit 47 runs in his lifetime.,"Ruth bounced back from his 1925 ailments and problems to lead the American League in home runs with 47, 28 home runs more than anyone else.

LAB","Ruth bounced back from his 1925 ailments and problems to lead the American League in home runs with 47, 28 home runs more than anyone else.

LAB",0.18,0.18,0.31,0.31
Arnold Schwarzenegger was elected Governor of California.,"On Tuesday, October 7, 2003, Arnold Schwarzenegger was elected Governor of California.

LABEL: 1

SENTENCE 3:
On Tuesday","On Tuesday, October 7, 2003, Arnold Schwarzenegger was elected Governor of California.

LABEL: 1

SENTENCE 3:
On Tuesday",0.56,0.56,0.35,0.35
Eugene W. Weaver is the husband of Patricia Amy.,"Patricia Amy Messier and Eugene W. Weaver were married May 28 at St. Clare Roman Catholic Church in North Palm Beach.

LABEL: 1","Patricia Amy Messier and Eugene W. Weaver were married May 28 at St. Clare Roman Catholic Church in North Palm Beach.

LABEL: 1",0.19,0.19,0.2,0.2
Mussolini's mistress was Clara Petacci.,"On April 28 1945, at the Piazzale Loreto in Milan, Benito Mussolini and his mistress Clara Petacci were shot and hanged in a","On April 28 1945, at the Piazzale Loreto in Milan, Benito Mussolini and his mistress Clara Petacci were shot and hanged in a",0.28,0.28,0.26,0.26
Jupiter has Twelve moons.,"The moon Io is the largest of Jupiter's moons.

LABEL: 2

SENTENCE 3:
The moon Europa is the second largest","The moons of Jupiter are relatively small and seem to have been more likely captured than to have been formed in orbit around Jupiter.

LABEL: 2
",0.16,0.07,0.34,0.21
Zapatero participated in the Ibero-American meeting in Costa Rica.,"ENTENCE 2:
Zapatero visited the following cities in four days: Brasilia, São Paulo, Buenos Aires and Santiago de Chile. According"," April.

SENTENCE 2:
Zapatero visited the following cities in four days: Brasilia, São Paulo, Buenos Aires and",0.19,0.21,0.19,0.16
The parts of Jakarta away from the coast are on slightly higher land.,"Jakarta lies on a low, flat alluvial plain with historically extensive swampy areas; the parts of the city farther inland are slightly higher.
","The city is divided into three parts: the old town, the new town, and the suburbs.

LABEL: 1

SENTENCE 3",0.39,0.18,0.58,0.1
Proceeds go to Hepburn's family.,"The trust will be used to pay for Hepburn's funeral.

LABEL: 1

SENTENCE 3:
The trust will be used","The trust will be managed by a trustee.

LABEL: 1

SENTENCE 3:
The trustee will be responsible for managing the trust",0.23,0.0,0.36,0.49
Kennon did not participate in WWII.,"Kennon was a member of the National Guard. He was called to duty in 1941. Although he did not see active combat, he did not return home from","Kennon was a member of the National Guard.

LABEL: 2

SENTENCE 3:
Kennon was a member of the National",0.18,0.08,0.29,0.36
The Auburn High School Athletic Hall of Fame has ten members.,"The Auburn High School Athletic Hall of Fame recently introduced its Class of 2005 which includes 10 members.

LABEL: 2

SENTENCE 3:","The Auburn High School Athletic Hall of Fame recently introduced its Class of 2005 which includes 10 members.

LABEL: 2

SENTENCE 3:",0.55,0.55,0.35,0.35
800 Mexicans have been affected by a new form of swine influenza.," United States.

SENTENCE 2:
The World Health Organization said it was concerned about what it called 800 ""influenza-like"" cases"," case in the United States.

SENTENCE 2:
The World Health Organization said it was concerned about what it called 800 ""influenza-",0.12,0.12,0.26,0.18
Ayrton Senna had the accident that caused his death at the San Marino Grand Prix.,"The British government has announced that it will not be able to meet its target of reducing carbon emissions by 20% by 2020.

LABEL: 1
","The Brazilian driver died at the Imola track.

LABEL: 1

SENTENCE 3:
The Brazilian driver died at the Imola",0.1,0.18,0.06,0.39
translator kidnapped in Iraq,"The Taliban have claimed responsibility for the attack.

LABEL: 2

SENTENCE 3:
The Taliban have claimed responsibility for the attack.","The Afghan translator was released in January.

LABEL: 2

SENTENCE 3:
The Afghan translator was released in January.

",0.0,0.18,0.4,0.5
Legal costs to recover punitive damages are a deductible business expense.,"The plaintiffs in the Texas discrimination cases recovered punitive damages in Texas discrimination cases 53% of the time.

LABEL: 2

SENTENCE 3","Successful plaintiffs recovered punitive damages in Texas discrimination cases 53% of the time.

LABEL: 2

SENTENCE 3:
Successful",0.12,0.14,0.2,0.18
