completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
The Río Blanco - Mine is a large copper mine in northern Peru in the region of Loreto .,"The Río Blanco mine is a large copper mine located in the north of Peru in Loreto Region .

LABEL: 2

S","The Río Blanco mine is a large copper mine located in the north of Peru in Loreto Region .

LABEL: 2

S",0.7,0.7,0.58,0.58
He appeared as General Onoda in the Amazon - Show `` The Man in High Castle '' and as Tao on AMCs '' Hell On Wheels '' .,"He appeared as General Tao in the Amazon - Show `` The Man at the High Castle '' , and as Onoda in AMC `` Hell On Wheels '' .
","He appeared as General Tao in the Amazon - Show `` The Man at the High Castle '' , and as Onoda in AMC `` Hell On Wheels '' .
",0.76,0.76,0.78,0.78
"The spectral light levels that can be measured by plants for photosynthesis are similar , but not the same as what is used by lumens .","The spectral levels of light that can be measured by plants for photosynthesis is similar to , but not the same as what 's used by lumens .
","The spectral levels of light that can be measured by plants for photosynthesis is similar to , but not the same as what 's used by lumens .
",0.84,0.84,0.72,0.72
Sunset Road comes in from the right and becomes Briscoe Mountain Road .,"The Sunset Sunset Road comes from left and becomes Briscoe Mountain Road .

LABEL: 2

SENTENCE 3:
The Sunset Sunset","The Sunset Sunset Road comes from right and becomes Briscoe Mountain Road .

LABEL: 2

SENTENCE 3:
The Sunset Sunset",0.58,0.65,0.53,0.56
"To get there , take Marine Drive west from the Lions Gate Bridge past Horseshoe Bay to Lighthouse Park and then continue on to 7100 Block Marine Drive .","To get there , take the Marine Drive from the Lions Gate Bridge to the West , past Lighthouse Park , Horseshoe Bay and then further on to","The Marine Drive is a major thoroughfare in Vancouver , BC , Canada .

LABEL: 1

SENTENCE 3:
The Marine Drive",0.69,0.22,0.58,0.15
"Inverallan is one of the parishes that formed the civil ( later ecclesiastical ) parish of Cromdale , Inverallan and Advie in Morayshire , Scotland .","Inverallan is one of the parishes which formed the ecclesiastical ( later civil ) parish of `` Cromdale , Inverallan and Advie","The parish of Inverallan is one of the parishes which formed the ecclesiastical ( later civil ) parish of Cromdale , Inverallan and",0.77,0.68,0.67,0.49
Thuso Nokwanda Mbedu was born Thuso Mbebu in Pietermaritzburg .,"Mr. Thuso Nokwanda Mbedu was born in Pietermaritzburg as Thuso Mbebu .

LABEL: 2","Mr. Thuso Nokwanda Mbedu was born in Pietermaritzburg as Thuso Mbebu .

LABEL: 2",0.64,0.64,0.6,0.6
"For ideal gases the molar volume is given by the standard gas equation , a good approximation for many common gases at ideal temperature and pressure .","The molar volume of a gas is given by the ideal gas equation , a good approximation for many usual gases at standard temperature and pressure .

LABEL","The molar volume of a gas is given by the ideal gas equation , a good approximation for many usual gases at standard temperature and pressure .

LABEL",0.75,0.75,0.65,0.65
John Barrow Island is a member of the Canadian Arctic Archipelago and the Queen Elizabeth Islands in the Nunavut area .,"The Queen Elizabeth Islands are a member of the Queen Elizabeth Islands and the Canadian Arctic Archipelago in the territory of Nunavut .

LABEL:","The island is located in the Canadian Arctic Archipelago in the territory of Nunavut .

LABEL: 1

SENTENCE 3:",0.47,0.47,0.46,0.31
It was chosen as the 7th best film at the 19th Yokohama Film Festival .,"It was chosen as the 19th best movie at the 7th Yokohama Film Festival .

LABEL: 1

SENTENCE 3:","It was chosen as the 19th best movie at the 7th Yokohama Film Festival .

LABEL: 1

SENTENCE 3:",0.69,0.69,0.6,0.6
Christopher Llewellyn ( born Christopher Griffiths ) is an actor known for his role as Logan in the film 'Where Were We ... `` ' from the year 2002 .,"Christopher Griffiths ( born Christopher Llewellyn ) is an actor , best known for his role as Logan in the 2002 film `` Where Were We ... ''","Christopher Griffiths ( born Christopher Llewellyn ) is an actor , best known for his role as Logan in the 2002 film `` Where Were We ... ''",0.78,0.78,0.77,0.77
"Netanya is located on the Israeli Mediterranean coast , the historic land bridge between Europe , Africa and Asia .","Netanya is located on the Israeli Mediterranean Coastal Plain , the historic land bridge between Europe , Africa , and Asia .

LABEL: 2

S","Netanya is located on the Israeli Mediterranean Coastal Plain , the historic land bridge between Europe , Africa , and Asia .

LABEL: 2

S",0.84,0.84,0.65,0.65
Megasaurus is owned by Rick and Sheri Dorritie and Transaurus is owned by Mike West .,"Owned by Rick and Sheri Dorritie is Megasaurus and owned by Mike West Transaurus .

LABEL: 2

SENT","Owned by Rick and Sheri Dorritie is Megasaurus and owned by Mike West Transaurus .

LABEL: 2

SENT",0.69,0.69,0.5,0.5
All five events started on the last day and concluded with the final on the first day .,"The first event started the last day and concluded with the final on the first day .

LABEL: 2

SENTENCE 3:
The","The first event started on the first day and ended on the last day .

LABEL: 2

SENTENCE 3:
The second event",0.68,0.42,0.28,0.35
"In January 2011 , the Deputy Secretary General of FIBA Asia , Hagop Khajirian , inspected the venue together with SBP - President Manuel V. Pangilinan .","In January 2011 , FIBA Asia deputy secretary general Manuel V. Pangilinan along with SBP president Hagop Khajirian inspected the venue","The FIBA Asia deputy secretary general Manuel V. Pangilinan along with SBP president Hagop Khajirian inspected the venue .

",0.52,0.45,0.78,0.68
The strong influence of redfigurine attic vase painting has convinced some experts that the artist who decorated the tomb was a Greek Metic .,"The strong influence of Attic-figure Greek vase painting has convinced some experts that the artist who decorated the tomb was a red metic .

LABEL","The strong influence of Attic-figure Greek vase painting has convinced some experts that the artist who decorated the tomb was a red metic .

LABEL",0.87,0.87,0.64,0.64
A unique feature of ceremonial metate is the lack of human figures .,"The human metate is unique in that it has no ceremonial figures .

LABEL: 1

SENTENCE 3:
The human metate","The human metate is the only mammal that has no ceremonial figures .

LABEL: 1

SENTENCE 3:
The human metate",0.26,0.26,0.48,0.37
"Durr was born in Birmingham , Alabama , where she was brought up by black women , but was also taught that the Ku Klux Klan were protectors of southern femininity .","Durr was born in Birmingham , Alabama , where she was brought up by southern women , but was also taught that the Ku Klux Klan were protectors of black","Durr was born in Birmingham , Alabama , where she was brought up by southern women , but was also taught that the Ku Klux Klan were protectors of black",0.91,0.91,0.67,0.67
"Katrina M. of Sputinik Music was bright and cheerful and said the song is reversed , positive .","Katrina M. of Sputinik Music was positive and said that the song is reverse , bright and cheerful .

LABEL: 1

","Katrina M. of Sputinik Music was positive and said that the song is reverse , bright and cheerful .

LABEL: 1

",0.63,0.63,0.61,0.61
"The Mississippi , the Nokasippi and the Little Nokasippi are all in the vicinity .","The Nokasippi River , the Mississippi River and the Little Nokasippi River are all in the area .

LABEL: 2

","The Nokasippi River , the Mississippi River and the Little Nokasippi River are all in the area .

LABEL: 2

",0.65,0.65,0.59,0.59
Hamilton Ventura won the 2006 South America Games against Álvarez .,"In 2006 , the Álvarez won the South America Games against Hamilton Ventura .

LABEL: 1

SENTENCE 3:
In","In 2006 , the Álvarez won the South America Games against Hamilton Ventura .

LABEL: 1

SENTENCE 3:
In",0.44,0.44,0.31,0.31
"Some reports claim `` 30 years or more '' , while others assert `` 50 years or more '' .","Some reports state `` 30 years or more '' , while others claim `` 50 years or more '' .

LABEL: 2

SENTENCE 3","Some reports state `` 30 years or more '' , while others claim `` 50 years or more '' .

LABEL: 2

SENTENCE 3",0.75,0.75,0.58,0.58
"The resignation of Councillor Horace Muspratt ( Party ? , St. Peter 's , reported 15 April 1908 ) was elected to the Council on 2 June 1909 .","The resignation of Councillor Horace Muspratt ( party ? , St. Peter , reported April 15 , 1908 ) was elected to the council on 2","The resignation of Councillor Horace Muspratt ( party ? , St. Peter , reported April 15 , 1908 ) was elected to the council on 2",0.88,0.88,0.58,0.58
"In an earth-like orbit , a Saturn planet , HD 38283 b , was discovered on April 11 , 2011 .","On April 11 , 2011 , a like planet , HD 38283 b , was discovered in an Earth-Saturnian orbit .

LABEL: 1","The planet is in a 1.5-year orbit around the Sun .

LABEL: 1

SENTENCE 3:
The planet is",0.39,0.17,0.55,0.13
"On July 21 , 2014 , after his two successful years at Las Palmas in Spain , Chrisantus signed a three-year contract with Sivasspor at the Turkish Super Lig .","On July 21 , 2014 , after his two successful years at Las Palmas in Spain , Chrisantus signed a three-year contract with the Turkish Super L","Chrisantus was born in the city of Palma de Mallorca , Spain .

LABEL: 1

SENTENCE 3:
",0.92,0.1,0.76,0.05
"Ken Fisher ( born c. 1963 in New Jersey ) is a pseudonym for Ruben Bolling , a cartoonist , the author of `` Tom the Dancing Bug '' .","Ruben Bolling ( born 1963 in New Jersey ) is a pseudonym for cartoonist Ken Fisher , the author of `` Tom the Dancing Bug '' .

","Ruben Bolling ( born 1963 in New Jersey ) is a pseudonym for cartoonist Ken Fisher , the author of `` Tom the Dancing Bug '' .

",0.77,0.77,0.83,0.83
"On 1 December , Tinnish announced that he had withdrawn from his position with Atlanta and would remain with Toronto .","On December 1 , Tinnish announced that he had withdrawn from his position with Toronto and would stay with Atlanta .

LABEL: 1

S","On December 1 , Tinnish announced that he had withdrawn from his position with Toronto and would stay with Atlanta .

LABEL: 1

S",0.73,0.73,0.62,0.62
"It is located in the southeastern part of the county , in the southern part of the state .","Located in the southern part of the county , it lies in the southeastern part of the state .

LABEL: 1

SENTENCE 3:","The county is located in the southeastern part of the state .

LABEL: 1

SENTENCE 3:
The county is located in the",0.68,0.58,0.44,0.29
"He was born on 23 October 1806 in New York , East Broadway .","He was born in New York City in East Broadway on October 23 , 1806 .

LABEL: 2

SENTENCE 3:
He","He was born in New York City in East Broadway on October 23 , 1806 .

LABEL: 2

SENTENCE 3:
He",0.52,0.52,0.41,0.41
He always added his own surname of Bhosle and afterwards treated the child like his own son .,"He always added his own surname of Bhosle and then treated the child like his own son .

LABEL: 2

SENTENCE 3","He always added his own surname of Bhosle and then treated the child like his own son .

LABEL: 2

SENTENCE 3",0.84,0.84,0.66,0.66
"After selling his house on 30 Harare ride to the Canadian embassy , he bought Bromley Farm outside Marondera , Zimbabwe .","He bought Bromley Farm just outside Marondera , Zimbabwe .

LABEL: 2

SENTENCE 3:
He bought Bromley Farm","He bought Bromley Farm just outside Marondera , Zimbabwe .

LABEL: 2

SENTENCE 3:
He bought Bromley Farm",0.4,0.4,0.34,0.34
"The Baldwins lived in Washington , D.C. Helen Baldwin died in 1977 , and Robert Baldwin died on March 14 , 1998 , from the disease of Lou Gehrig .","The Baldwins lived in Washington , D.C. Robert Baldwin died in 1977 , and Helen Baldwin died March 14 , 1998 , from Lou Gehrig '","The Baldwins lived in Washington , D.C. Robert Baldwin died in 1977 , and Helen Baldwin died March 14 , 1998 , from Lou Gehrig '",0.83,0.83,0.74,0.74
Lake Bistineau is an entry point to Doyline and the Lake Bistineau State Park .,"Doyline is an entry point to Lake Bistineau and the Bistineau State Park .

LABEL: 1

SENTENCE 3","Doyline is an entry point to Lake Bistineau and the Bistineau State Park .

LABEL: 1

SENTENCE 3",0.65,0.65,0.5,0.5
"Companies based in the larger Rivium include Rockwell Automation , Pfizer Nederland , Sodexho Nederland , Royal Dutch Shell , Van Oord , and many more .","The rivium is a large area of land in the north of the Netherlands .

LABEL: 1

SENTENCE 3:
The","The largest rivium is located in the Netherlands .

LABEL: 1

SENTENCE 3:
The largest rivium is located",0.1,0.16,-0.01,0.19
"Axl Rose had wanted Seattle rock band Nirvana to be the opening act , but frontman Kurt Cobain refused .","Axl Rose had wanted the Seattle rock band Nirvana to be the opening act , but frontman Kurt Cobain declined .

LABEL: 2

S","Axl Rose had wanted the Seattle rock band Nirvana to be the opening act , but frontman Kurt Cobain declined .

LABEL: 2

S",0.85,0.85,0.61,0.61
"He built weapon factories for Vtorov and Mikhelson in electrostal , Zatishye ( Moscow , Serpukhov ) and Bogorodsk ( Noginsk ) .","He built weapons factories for Vtorov and Mikhelson in Moscow , Serpukhov , Zatishye ( Elektrostal ) , Bog","He built weapons factories for Vtorov and Mikhelson in Moscow , Serpukhov , Zatishye ( Elektrostal ) , Bog",0.67,0.67,0.6,0.6
"In June of 1997 , Armstrong met Kristin Richard .","In June of 1997 , Kristin met Richard Armstrong .

LABEL: 1

SENTENCE 3:
In June of 1997 , Kristin","Richard Armstrong was a graduate student in the Department of Zoology at the University of California, Berkeley.

LABEL: 1

SENTENCE 3",0.48,0.14,0.45,0.04
U.S. Route 191 leads north from Douglas to Interstate 10 near Willcox . Arizona State Route 80 leads west to Bisbee and northeast to Interstate 10 in New Mexico .,"The U.S. Route 191 leads north from Douglas to Interstate 10 near Willcox , the Arizona State Route 80 leads west to Bisbee and northeast to Interstate","The U.S. Route 191 leads north from Douglas to Interstate 10 near Willcox , the Arizona State Route 80 leads west to Bisbee and northeast to Interstate",0.89,0.89,0.62,0.62
"Most individualist anarchists supported anarchosyndicalism and communist anarchism , while a few Jewish anarchists were .","Most Jewish anarchists supported anarchosyndicalism and communist anarchism , while a few were individualist anarchists .

LABEL: 1

SENT","Most Jewish anarchists supported anarchosyndicalism and communist anarchism , while a few were individualist anarchists .

LABEL: 1

SENT",0.71,0.71,0.56,0.56
"From 1921 to 2012 , Cincinnati -- Blue Ash Airport was the Blue Blue Ash site .","From 1921 to 2012 , Blue Ash Airport was the location of Blue Ash Airport -- Cincinnati .

LABEL: 1

SENTENCE 3:
","From 1921 to 2012 , Blue Ash Airport was the location of Blue Ash Airport -- Cincinnati .

LABEL: 1

SENTENCE 3:
",0.67,0.67,0.35,0.35
"It was founded in 1982 by Hilton Kramer , former art critic for `` The New York Times '' , and Samuel Lipman , a pianist and music critic .","The museum is located in the former home of the artist , who died in 1982 .

LABEL: 1

SENTENCE 3:
The","The museum is located in the city of New York .

LABEL: 1

SENTENCE 3:
The museum is located in the city",0.14,0.18,-0.05,0.15
"Constante was the wife of the musicologist Harry Brauner , and the sister-in-law of the painter Victor Brauner .","The painter Harry Brauner was the son of the musicologist Victor Brauner and the sister-in-law of the painter Constante .

LABEL","The musicologist Victor Brauner was the son of the painter Harry Brauner .

LABEL: 1

SENTENCE 3:
The painter",0.68,0.43,0.36,0.24
The Grand Grand Lake is connected to the short Shadow Mountain Lake by a natural channel .,"The Grand Lake is connected by a short channel to the natural Shadow Mountain Lake .

LABEL: 1

SENTENCE 3:
The Shadow","The channel is about 1.5 miles long and is about 1.5 miles wide.

LABEL: 1

SENTENCE 3:
",0.54,0.11,0.53,0.09
The livery of trams on Line 1 was decorated in blue with white swallows by stylists Élisabeth Garouste and Mattia Bonetti .,The painting of the trams on line 1 was decorated with blue swallows by the stylists Élisabeth Garouste and Mattia Bonetti in white,The painting of the trams on line 1 was decorated with blue swallows by the stylists Élisabeth Garouste and Mattia Bonetti in white,0.77,0.77,0.68,0.68
"In 1986 , Ray and Sitcom were actress Marla Gibbs among the notables who helped consecrate Billie Holiday Star on the Hollywood Walk of Fame .","In 1986 , Ray and sitcom actress Marla Gibbs were among the notables who helped dedicate Billie Holiday 's star on the Hollywood Walk of Fame .
","In 1986 , Ray and sitcom actress Marla Gibbs were among the notables who helped dedicate Billie Holiday 's star on the Hollywood Walk of Fame .
",0.9,0.9,0.8,0.8
The light region of each immunoglobulin heavy or variable chain is encoded in several pieces -- known as gene segments ( subgenes ) .,"The variable region of each heavy or light immunoglobulin chain is encoded in several pieces -- known as gene segments ( subgenes ) .

LAB","The variable region of each heavy or light immunoglobulin chain is encoded in several pieces -- known as gene segments ( subgenes ) .

LAB",0.83,0.83,0.73,0.73
"Will and Gypsy sleep together , but he returns to Dani and supports her after being raped by Kane Phillips ( Sam Atwell ) .","Will and Dani sleep together , but he returns to Gypsy and supports her after being raped by Sam Atwell ( Kane Phillips ) .

LABEL:","Will and Dani sleep together , but he returns to Gypsy and supports her after being raped by Sam Atwell ( Kane Phillips ) .

LABEL:",0.79,0.79,0.68,0.68
"Particularly strong erosion occurred in warmer melting periods during the ice ages , when the climate of the tundra reigned and the soil was not protected by a dense vegetation ceiling .","The ice ages were characterized by a decrease in the amount of precipitation and an increase in the temperature of the atmosphere .

LABEL: 1

S","The soil was not protected by a strong vegetation .

LABEL: 1

SENTENCE 3:
The soil was not protected by a strong",0.25,0.31,0.1,0.24
"Torre is a New York Times , USA today , Wall Street Journal and Amazon International Bestselling Author .","Torre is a Wall Street Journal , USA Today , New York Times , and Amazon International 's Bestselling Author .

LABEL: 2

","Torre is a Wall Street Journal , USA Today , New York Times , and Amazon International 's Bestselling Author .

LABEL: 2

",0.63,0.63,0.63,0.63
"In many countries , he participated in Vic and fought for Armenia at the 2000 Olympic Games in Sydney , Australia .","Vic participated in many different countries and fought for Armenia in the 2000 Olympic Games in Sydney , Australia .

LABEL: 2

SENTENCE","Vic participated in many different countries and fought for Armenia in the 2000 Olympic Games in Sydney , Australia .

LABEL: 2

SENTENCE",0.7,0.7,0.47,0.47
"The tour reached Bangkok in Thailand on 12 July 2008 and on November 22 , 2008 in Shanghai .","The tour reached Shanghai on July 12 , 2008 and Bangkok , Thailand on November 22 , 2008 .

LABEL: 1

SENTENCE 3:","The tour reached Shanghai on July 12 , 2008 and Bangkok , Thailand on November 22 , 2008 .

LABEL: 1

SENTENCE 3:",0.61,0.61,0.39,0.39
"He died on 28 September 1988 in Los Angeles , California , and was buried at Hillside Memorial Park Cemetery in Culver City , California .","He died in Culver City , California on September 28 , 1988 , and was buried at the Hillside Memorial Park Cemetery in Los Angeles , California .

","He died in Culver City , California on September 28 , 1988 , and was buried at the Hillside Memorial Park Cemetery in Los Angeles , California .

",0.67,0.67,0.8,0.8
"For the first time in the history of the league , Paul Gait from Rochester played against his twin brother Gary Gait of Philadelphia .","The Philadelphia Phillies won their first game of the season against the New York Mets .

LABEL: 1

SENTENCE 3:
The Philadelphia","The Twins played against each other in the first game of the season.

LABEL: 1

SENTENCE 3:
The Twins played against",0.27,0.32,0.07,0.17
"The construction of the PRL began with the section Chatswood to Epping , which began in November 2002 .","The construction of the PRL began with the Chatswood section to Epping , which began in November 2002 .

LABEL: 2

S","The construction of the PRL began with the Chatswood section to Epping , which began in November 2002 .

LABEL: 2

S",0.86,0.86,0.68,0.68
"Anacharsis Evariste Baizeau ( 3 June 1821 , Paris -- 6 February 1910 , Nantes ) was a French military physician .","The French Revolution ( 1789 - 1799 ) was a period of political and social upheaval in France .

LABEL: 2

SENTENCE","Evariste Baizeau ( June 3 , 1821 - Nantes , February 6 , 1910 ) was a French military physician .

LABEL:",0.12,0.71,-0.02,0.52
"The school was taken over in the 1960s by Patrick Kilroy , and his son Charles Kilroy took over the management of Kilroy 's College in 1999 .","The school was taken over by Charles Kilroy in the 1960s , his son Patrick Kilroy took over Kilroy College in 1999 .

LABEL:","The school was taken over by Charles Kilroy in the 1960s , his son Patrick Kilroy took over Kilroy College in 1999 .

LABEL:",0.71,0.71,0.64,0.64
During an interview in April 1994 `` Soap Opera Update '' Howarth said that the only thing he admired about Todd was his clothes style .,"Howarth , during an April 1994 `` Soap Opera Update '' interview , said that the only thing that he admired about Todd was his clothing style .

","Howarth , during an April 1994 `` Soap Opera Update '' interview , said that the only thing that he admired about Todd was his clothing style .

",0.83,0.83,0.81,0.81
"Anacharsis Evariste Baizeau ( June 3 , 1821 - February 6 , 1910 ) was a French military physician .","The French Revolution ( 1789-1799 ) was a period of political and social upheaval in France .

LABEL: 1

SENTENCE","The French military physician Anacharsis Evariste Baizeau ( 3 June 1821 , Paris -- 6 February 1910 , Nantes ) was a French",0.12,0.63,-0.01,0.63
"His sister Mary ( born February 25 , 1956 ) won the 1500m in San Sebastian in 1977 and was appointed in Edmonton Commonwealth Games - Champion in 1978 .","His sister Mary ( born 25 February 1956 ) won the 1500m in San Sebastian in 1977 and then became the Commonwealth Games champion in 1978 in Edmonton .

","His sister Mary ( born 25 February 1956 ) won the 1500m in San Sebastian in 1977 and then became the Commonwealth Games champion in 1978 in Edmonton .

",0.78,0.78,0.78,0.78
"During the second reign of Henry VI and Edward IV , or during the short reign of Edward V , no farthings were produced .","The reign of Henry VI was the first reign of Henry VI .

LABEL: 1

SENTENCE 3:
The reign of Edward IV","The reign of Henry VI was the first in which the English currency was not backed by gold.

LABEL: 1

SENTENCE 3:",0.42,0.27,0.13,0.09
"The private Catholic schools are Fort Meigs , Frank , Toth and Woodland Elementary Schools , with the primary public school , Saint Rose , making up the fifth .","The private Catholic schools are Fort Meigs , Frank , Toth and Woodland Elementary Schools , which make up the primary public school , Saint Rose , the fifth","The private Catholic schools are Fort Meigs , Frank , Toth and Woodland Elementary Schools , which make up the primary public school , Saint Rose , the fifth",0.88,0.88,0.74,0.74
"Having played for Millwall , Clapton Orient and Chelmsford City in Italy , Walsingham moved to England to play with Genoa and Bologna .","After playing in England for Millwall , Clapton Orient and Chelmsford City , Walsingham moved to Italy to play with Genoa and Bolog","After playing in England for Millwall , Clapton Orient and Chelmsford City , Walsingham moved to Italy to play with Genoa and Bolog",0.71,0.71,0.72,0.72
"In the seventh season she returns to Sunnydale not only to help Buffy and the Scoobies , but to perform in a leadership position .","She returns to Sunnydale in season seven , not only to perform Buffy and the Scoobies , but to help in a position of leadership .

LAB","She returns to Sunnydale in season seven , not only to perform Buffy and the Scoobies , but to help in a position of leadership .

LAB",0.68,0.68,0.57,0.57
"In 2005 and 2006 , a new southern stand was built to make the stadium a complete bowl .","The new South stand was built in 2005 and 2006 to make the stadium into a complete bowl .

LABEL: 2

SENTENCE 3:","The new South stand was built in 2005 and 2006 to make the stadium into a complete bowl .

LABEL: 2

SENTENCE 3:",0.56,0.56,0.48,0.48
"The death of Mao Zedong in 1976 , however , brought economic reform to the PRC , which led to China ’ s expected investment in the Japanese economy .","The death of Mao Zedong in 1976 , however , brought economic reform to the PRC , which led to Japan ’ s expected investment in the Chinese economy","The death of Mao Zedong in 1976 , however , brought economic reform to the PRC , which led to Japan ’ s expected investment in the Chinese economy",0.92,0.92,0.83,0.83
Octavian annexed the value of Egypt and had the kingdom recognized as a Roman province .,"Octavian recognized the value of holding Egypt and had the kingdom annexed as a Roman province .

LABEL: 1

SENTENCE 3:","Octavian recognized the value of holding Egypt and had the kingdom annexed as a Roman province .

LABEL: 1

SENTENCE 3:",0.74,0.74,0.54,0.54
"In his debut season in New South Wales with St. George Dragons in 1957 , he represented Sydney Firsts and Sydney .","In his debut Sydney season with the St. George Dragons in 1957 , he represented for both Sydney firsts and New South Wales .

LABEL: 1","He was a member of the NSW team that won the 1957 State of Origin series .

LABEL: 1

SENTENCE 3:
He",0.68,0.1,0.52,0.09
"On the left , the 13th IR would also attack the 10th Brigade line south of Marrett Wood .","The 10th IR would also attack the 13th Brigade line south of Marrett Wood .

LABEL: 1

SENTENCE 3:
","The 10th IR would also attack the 13th Brigade line south of Marrett Wood .

LABEL: 1

SENTENCE 3:
",0.69,0.69,0.49,0.49
"This created a new atrium on the Washington St. side of the building , modernized much of the building 's infrastructure and added spacious computers .","The new atrium was a great success , and the building was much more energy efficient .

LABEL: 1

SENTENCE 3:
","The atrium was a spacious atrium on the Washington St. side of the building , modernized much of the building infrastructure , and added new computers .
",0.23,0.79,0.16,0.69
The application of the term ‘ illegal ’ to asylum seekers is controversial .,"The application of the term `` controversial '' to asylum seekers is illegal .

LABEL: 1

SENTENCE 3:
The application of the","The application of the term `` controversial '' to asylum seekers is illegal .

LABEL: 1

SENTENCE 3:
The application of the",0.6,0.6,0.36,0.36
"When he died in 1719 , his eldest son , also called Joseph , initially succeeded Joseph Truman .","When he died in 1719 , his eldest son , also called Joseph , followed initially Joseph Truman .

LABEL: 2

SENTENCE 3","Joseph Truman was born in 1719 .

LABEL: 2

SENTENCE 3:
Joseph Truman was the son of Joseph Truman .
",0.82,0.3,0.52,0.32
"The 1981/82 World Cup started in Reit im Winkl , Kiruna , Sweden on 9 January 1982 and finished in Germany on 13 April 1982 .","The World Cup started on 9 January 1982 in Reit im Winkl and ended on 13 April 1982 in Kiruna , Sweden .

LABEL: 1","The World Cup started on 9 January 1982 in Reit im Winkl and ended on 13 April 1982 in Kiruna , Sweden .

LABEL: 1",0.55,0.55,0.47,0.47
"They do not follow the pattern of caldera - growth and destruction that other shield - do volcanoes , caldera may form , but they generally do not disappear .","They do not follow the pattern of caldera growth and destruction that other shield volcanoes do ; caldera may form , but they generally do not disappear","They do not follow the pattern of caldera growth and destruction that other shield volcanoes do ; caldera may form , but they generally do not disappear",0.96,0.96,0.79,0.79
The first landing at Lae Airfield was made on 19 April 1927 by Ernest Mustar in a De Havilland DH.37 owned by Guinea Gold Airways from Wau .,"The second landing in Lae Airfield was possessed by Ernest Mustar on April 19 , 1927 in a De Havilland DH.37 by Guinea Gold Airways","The second landing in Lae Airfield was possessed by Ernest Mustar on April 19 , 1927 in a De Havilland DH.37 by Guinea Gold Airways",0.68,0.68,0.58,0.58
