completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
"I sallied out for a bit of food, more to pass the time than because I wanted food.","I was hungry, but I didn't want to eat.

LABEL: 2

SENTENCE 1:
I was hungry, but I","I sallied out for a bit of food, more to pass the time than because I wanted it.

LABEL: 1

SENT",0.16,0.87,0.3,0.67
Joe received the final report on the case.,"The detective received the final report on the case after Joe paid him.

LABEL: 2

SENTENCE 1:
Joe paid the detective","Joe paid the detective after he received the final report on the case.

LABEL: 2

SENTENCE 1:
Joe paid the detective",0.48,0.55,0.53,0.62
There were simply too many copies of the newsletter.,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.

LABEL:","We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.

LABEL:",0.35,0.35,0.35,0.35
He will be moving into The new house on Thursday.,"Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.

LABEL: 2

","Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.

LABEL: 1

",0.41,0.41,0.43,0.42
He could not help Dad now.,"Larry was very sad.

LABEL: 2

SENTENCE 3:
Larry was very sad.

LABEL: 3","Larry had to go to work in the office.

LABEL: 2

SENTENCE 1:
Larry had to go to work",0.0,0.0,0.55,0.42
"Beside the table there were crocks, baskets, and a five-quart pail of milk.","The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.","The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.",0.68,0.68,0.76,0.76
Kevin was so upset.,"Jim comforted Kevin because he was upset.

LABEL: 2

SENTENCE 1:
Jim comforted Kevin because he was upset.","Jim comforted Kevin because he was so upset.

LABEL: 2

SENTENCE 1:
Jim comforted Kevin because he was so",0.27,0.35,0.7,0.52
Arnold lived two centuries earlier.,"Jackson was greatly influenced by Arnold, though he lived two centuries earlier.

LABEL: 2

SENTENCE 1:
Jackson was greatly influenced","Jackson was greatly influenced by Arnold, though he lived two centuries earlier.

LABEL: 2

SENTENCE 1:
Jackson was greatly influenced",0.4,0.4,0.5,0.5
I can't see around the stage.,"The stage is in the middle of the room.

LABEL: 1

SENTENCE 1:
There is a pillar between me and the","There is a pillar between me and the stage, and I can't see around it.

LABEL: 0

SENTENCE 1:
",0.14,0.37,0.24,0.39
Prehistoric humans hunted for deer on the river banks.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.

LABEL: 2","Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.

LABEL: 0",0.52,0.52,0.52,0.52
Amy's parents are snobs.,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.

LABEL: 2

","Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.

LABEL: 1

",0.38,0.38,0.4,0.37
John was hungry.,"John was hungry because he was sitting at the table.

LABEL: 2

SENTENCE 1:
Bill passed the half-empty plate","Bill passed the half-empty plate to John because he was hungry.

LABEL: 2

SENTENCE 1:
Bill passed the half",0.26,0.26,0.26,0.31
She writes the book when she gets home from work.,"Sara writes the article when she gets home from work.

LABEL: 1

SENTENCE 1:
Sara borrowed the book from","Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.

",0.55,0.43,0.39,0.67
Bill left.,"John promised Bill to leave, so Bill left.

LABEL: 1

SENTENCE 1:
John promised Bill to leave, so Bill","John promised Bill to leave, so an hour later he left.

LABEL: 0

SENTENCE 1:
John promised Bill to leave",0.19,0.18,0.62,0.52
She reads the article when she gets home from work.,"Sara reads the book when she gets home from work.

LABEL: 1

SENTENCE 1:
Sara borrowed the book from","Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.

",0.55,0.43,0.43,0.67
The door of the shop closed after Steve.,"Mark saw Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.

LABEL:","Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.

LABEL:",0.42,0.42,0.36,0.37
"When Fred first saw my father, My father was twelve years old.","Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.

LABEL","Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.

LABEL",0.53,0.53,0.55,0.55
"Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled Grandma to the table.","

SENTENCE 2:
Tatyana's mother was a small woman, but she was strong. She had been a nurse in the war,",", ""Come, my dear, come and eat.""

SENTENCE 2:
Tatyana knew that Grandma always enjoyed serving an abundance of",0.26,0.11,0.26,0.21
George got back.,"Fred watched TV while George went out to buy groceries. After an hour he got back.

LABEL: 2

SENTENCE 1:","Fred watched TV while George went out to buy groceries. After an hour he got back.

LABEL: 2

SENTENCE 1:",0.26,0.26,0.27,0.27
"Lily spoke to Donna, breaking Donna's concentration.","Donna was surprised by Lily's sudden outburst.

LABEL: 2

SENTENCE 1:
Lily spoke to Donna, breaking","Donna was surprised to see Lily.

LABEL: 2

SENTENCE 1:
Lily spoke to Donna, breaking her concentration.",0.4,0.48,0.38,0.65
Sue had such a bad start.,"Sue beat Sally because she had such a bad start.

LABEL: 1

SENTENCE 1:
Although they ran at about the","Although they ran at about the same speed, Sue beat Sally because she had such a bad start.

LABEL: 1

SENTENCE 1",0.46,0.43,0.23,0.37
She couldn't stand Madonna's boyfriend.,"Madonna's boyfriend is a famous actor.

LABEL: 1

SENTENCE 1:
Madonna's boyfriend is a famous actor.","Madonna fired her trainer because she couldn't stand her boyfriend.

LABEL: 1

SENTENCE 1:
Madonna fired her trainer",0.24,0.38,0.54,0.58
The axe is too small.,"I can't cut that tree down with that axe; it is too small.

LABEL: 2

SENTENCE 1:
I can","I can't cut that tree down with that axe; it is too small.

LABEL: 1

SENTENCE 1:
I can",0.32,0.32,0.26,0.27
She slept with Madonna's boyfriend.,"Madonna's boyfriend is her trainer.

LABEL: 2

SENTENCE 1:
Madonna's boyfriend is her trainer.

","Madonna fired her trainer because she slept with her boyfriend.

LABEL: 2

SENTENCE 1:
Madonna fired her trainer because",0.27,0.32,0.5,0.52
"I don't know why the guy in uniform was, but he looked very unhappy.","Jim was yelling at a guy in a military uniform with a huge red beard.

LABEL: 1

SENTENCE 1:
I saw","I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.
",0.17,0.51,0.26,0.68
Alice's daughter was behaving so strangely.,"Alice was so engrossed in her conversation with her daughter that she didn't notice the party was over.

LABEL: 1

S","Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.

LABEL: 1",0.21,0.39,0.25,0.44
Jane did not answer.,"Jane knocked on Susan's door but she did not answer.

LABEL: 1

SENTENCE 1:
Jane knocked on Susan's door","Jane knocked on Susan's door but she did not answer.

LABEL: 1

SENTENCE 1:
Jane knocked on Susan's door",0.32,0.32,0.64,0.64
The politicians must make rules to regulate them.,"The settlers were not happy with the rules and they wanted to be free.

LABEL: 2

SENTENCE 3:
The settlers were","The settlers must obey the rules made by the politicians.

LABEL: 2

SENTENCE 1:
The settlers must obey the rules made",0.21,0.28,0.22,0.51
Those occasions stood out as red-letter days for Henry.,"Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries, and those occasions stood out as red-","Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries, and those occasions stood out as red-",0.31,0.31,0.38,0.38
"The chair was broken, so he had to stand instead.","Sam stood in front of the piano, and he played a song.

LABEL: 2

SENTENCE 1:
Sam pulled up a","Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.

LABEL: 2

SENTENCE",0.13,0.58,0.23,0.44
I carried the newspaper over my backpack to keep the backpack dry.,"I carried the newspaper over my backpack to keep it dry.

LABEL: 2

SENTENCE 1:
I carried the newspaper over my","Since it was raining, I carried the newspaper over my backpack to keep it dry.

LABEL: 1

SENTENCE 1:
",0.61,0.65,0.5,0.54
They must make rules to regular the politicians.,"The settlers were not happy with the rules and they wanted to be free.

LABEL: 1

SENTENCE 1:
The settlers were","The settlers must obey the rules made by the politicians.

LABEL: 1

SENTENCE 1:
The settlers must obey the rules made",0.21,0.28,0.26,0.51
Anna had studied so hard.,"Lucy did not study as hard as Anna did.

LABEL: 2

SENTENCE 1:
Anna did a lot better than her","Anna did a lot better than her good friend Lucy on the test because she had studied so hard.

LABEL: 1

SENTENCE 1",0.08,0.36,0.35,0.42
Mr. Singer heard him calling for the captain,"The captain and his crew were in the cabin.

LABEL: 1

SENTENCE 1:
Mark was close to Mr. Singer's","
The label for this instance is the string ""SENTENCE 2"".

EXAMPLE INSTANCE:

SENTENCE 1:
Mark",0.14,0.17,0.31,0.19
My great-grandfather was a remarkable man.,"Fred is the only man still alive who remembers my great-grandfather. He was a remarkable man.

LABEL: 2

SENTENCE","Fred is the only man still alive who remembers my great-grandfather. He was a remarkable man.

LABEL: 1

SENTENCE",0.52,0.52,0.42,0.42
The shelf was too high.,"I put the pot on the shelf.

LABEL: 2

SENTENCE 1:
I couldn't put the pot on the shelf because","I couldn't put the pot on the shelf because it was too high.

LABEL: 1

SENTENCE 1:
I couldn't",0.15,0.38,0.46,0.32
That's exactly how the study makes us feel.,"Facebook is a social network that allows users to connect with friends and family.

LABEL: 1

SENTENCE 1:
Facebook is a",No one joins Facebook to be sad and lonely. But a new study from the University of Wisconsin psychologist George Lincoln argues that that's exactly how it makes us feel,0.07,0.35,0.21,0.46
Bob is very generous.,"Charlie is very grateful to Bob.

LABEL: 2

SENTENCE 1:
Bob paid for Charlie's college education. He is very","Bob paid for Charlie's college education. He is very generous.

LABEL: 1

SENTENCE 1:
Bob paid for Charlie's",0.25,0.33,0.3,0.49
John left.,"John promised Bill to leave, so Bill left.

LABEL: 2

SENTENCE 1:
John promised Bill to leave, so Bill","John promised Bill to leave, so an hour later he left.

LABEL: 2

SENTENCE 1:
John promised Bill to leave",0.19,0.18,0.6,0.51
The toaster Frank had sold him didn't work.,"Frank was upset with Tom because the toaster he had sold him didn't work.

LABEL: 1

SENTENCE 1:
Frank","Frank was upset with Tom because the toaster he had sold him didn't work.

LABEL: 0

SENTENCE 1:
Frank",0.55,0.55,0.5,0.5
"Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at Haven's feet.","The poodle is a poodle.

LABEL: 2

SENTENCE 3:
The poodle is a pood","The young dandy, C.K. Dexter Haven, was holding a jade-handled walking stick, with a poodle asleep at his",0.15,0.65,0.31,0.52
He will be moving out of The old house on Thursday.,"Joe will be moving out of his house on Thursday.

LABEL: 2

SENTENCE 1:
Joe has sold his house and bought","Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.

LABEL: 1
",0.5,0.44,0.41,0.46
The door of the shop closed after Mark.,"Mark saw Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.

LABEL:","Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.

LABEL:",0.42,0.42,0.35,0.37
Even one thread uncut will leave the right size too small.,"The only way to do it is to cut the buttonholes first, and then sew them on.

LABEL: 1

SENTENCE 1","The only way to do it is to cut the buttonholes first, and then sew them on.

LABEL: 1

SENTENCE 1",0.06,0.06,0.18,0.18
Billy cried because Toby wouldn't accept Toby's toy.,"Toby cried because Billy wouldn't accept his toy.

LABEL: 1

SENTENCE 1:
Billy cried because Toby wouldn","Billy cried because Toby wouldn't accept his toy.

LABEL: 0

SENTENCE 1:
Billy cried because Toby",0.43,0.59,0.47,0.62
Ollie's legs dangled.,"Ollie carried Tommy up the long winding steps.

LABEL: 1

SENTENCE 1:
As Ollie carried Tommy up","As Ollie carried Tommy up the long winding steps, his legs dangled.

LABEL: 0

SENTENCE 1:
As",0.1,0.29,0.35,0.31
"The chair was broken, so he had to sing instead.","Sam sang a song about a broken chair.

LABEL: 1

SENTENCE 1:
Sam pulled up a chair to the piano,","Sam pulled up a chair to the piano, but it was broken, so he had to sing instead.

LABEL: 0

SENTENCE",0.13,0.58,0.4,0.46
The worm was hungry.,"The fish was hungry.

LABEL: 1

SENTENCE 1:
The fish ate the worm. It was hungry.

LAB","The fish ate the worm. It was hungry.

LABEL: 0

SENTENCE 1:
The fish ate the worm. It was",0.38,0.35,0.49,0.46
"The journalists were very cooperative, so the interview lasted for a long time.","The stars of the new movie were very cooperative, so the interview lasted for a long time.

LABEL: 1

SENTENCE 1:","The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.

LABEL: 0

",0.71,0.72,0.45,0.6
The trophy is too small.,"The trophy fits into the brown suitcase.

LABEL: 1

SENTENCE 1:
The trophy doesn't fit into the brown suitcase because","The trophy doesn't fit into the brown suitcase because it is too small.

LABEL: 0

SENTENCE 1:
The trophy doesn",0.15,0.38,0.5,0.3
Cooper had been travelling for five years.,"Thomson was a great traveller.

LABEL: 1

SENTENCE 1:
Thomson visited Cooper's grave in 1765.","Thomson visited Cooper's grave in 1765. At that date he had been travelling for five years.

LABEL: 1

SENTENCE",0.09,0.52,0.24,0.27
She put the album on a chair without even opening the living room.,Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album,Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album,0.14,0.14,0.37,0.37
Bill was full.,"Bill passed the half-empty plate to John because he was full.

LABEL: 2

SENTENCE 1:
Bill passed the half","Bill passed the half-empty plate to John because he was full.

LABEL: 2

SENTENCE 1:
Bill passed the half",0.26,0.26,0.32,0.32
John was full.,"Bill passed the half-empty plate to John because he was full.

LABEL: 1

SENTENCE 1:
Bill passed the half","Bill passed the half-empty plate to John because he was full.

LABEL: 1

SENTENCE 1:
Bill passed the half",0.26,0.26,0.33,0.33
I shall have to kill The foxes.,"I shall have to kill them.

LABEL: 2

SENTENCE 3:
I shall have to kill them.

LABEL","The foxes are getting in at night and attacking the chickens. I shall have to kill them.

LABEL: 1

SENTENCE 1",0.42,0.36,0.48,0.45
Joe is 30 years younger.,"Joe's uncle is still a good tennis player.

LABEL: 2

SENTENCE 1:
Joe's uncle can still beat him at","Joe's uncle can still beat him at tennis, even though he is 30 years younger.

LABEL: 1

SENTENCE 1:
",0.15,0.4,0.29,0.23
She saw that Janie was open.,"Emma passed the ball to Janie.

LABEL: 2

SENTENCE 1:
Emma did not pass the ball to Jan","Emma did not pass the ball to Janie although she was open.

LABEL: 2

SENTENCE 1:
Emma did",0.08,0.25,0.4,0.27
Bill's turn was over.,"John passed the gameboy to Bill because his turn was over.

LABEL: 2

SENTENCE 1:
Bill passed the gameboy","Bill passed the gameboy to John because his turn was over.

LABEL: 1

SENTENCE 1:
Bill passed the gameboy",0.33,0.33,0.45,0.46
Ann had forgotten.,"Mary said that the library closes at 10:00.

LABEL: 2

SENTENCE 1:
Ann asked Mary what time the library","Mary said that the library closes at 10:00.

LABEL: 2

SENTENCE 1:
Ann asked Mary what time the library",0.09,0.09,0.34,0.34
Pam's parents were furious about it.,"Pam's parents were furious about it.

LABEL: 2

SENTENCE 3:
Pam's parents were furious about it.","Pam's parents came home and found her having sex with her boyfriend, Paul. They were furious about it.

LABEL: 2

S",0.56,0.48,0.82,0.44
This afternoon the tide knocked The flag down.,"Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide knocked it down.

LAB","Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide knocked it down.

LAB",0.35,0.35,0.43,0.43
The man was so weak.,"The man was so weak that he couldn't lift his son.

LABEL: 2

SENTENCE 1:
The man couldn't lift","The man couldn't lift his son because he was so weak.

LABEL: 2

SENTENCE 1:
The man couldn't lift",0.38,0.38,0.42,0.42
The customer was immediately taken to the hospital.,"The customer was arrested and charged with attempted murder.

LABEL: 1

SENTENCE 1:
The customer walked into the bank and stabbed","The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.

LABEL: 1

SENT",0.28,0.53,0.28,0.35
He couldn't very well marry without Chester's approval,"Chester was dependent on Uncle Vernon, so he couldn't very well marry without his approval

LABEL: 1

SENTENCE 1:
","Since Chester was dependent on Uncle Vernon, he couldn't very well marry without his approval

LABEL: 0

SENTENCE 1:
Since",0.53,0.52,0.43,0.31
Mama stroked her hair and let the child weep.,"Mama said, ""I know you are sad, but you must not cry. You must be brave.""

LABEL: 2

SENT","Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.

LABEL: 1

",0.07,0.62,0.28,0.54
Emma saw that she was open.,"Emma passed the ball to Janie.

LABEL: 2

SENTENCE 1:
Emma did not pass the ball to Jan","Emma did not pass the ball to Janie although she saw that she was open.

LABEL: 1

SENTENCE 1:
",0.08,0.48,0.37,0.35
Mark was afraid the stable boys at the Burlington Stables struck at him and bullied him.,"Mark was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding","Mark was absorbed in Blaze, the white horse. He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he",0.74,0.76,0.62,0.46
Tatyana doubted if her mother slept.,"Tatyana was not sure whether she was asleep or awake.

LABEL: 2

SENTENCE 3:
She was not sure whether","Tatyana could not help thinking of her mother's face, and how it had looked when she had been alive.

LABEL: 2

",0.08,0.21,0.4,0.3
Robert was refused.,"James asked Robert for a favor but he was refused.

LABEL: 1

SENTENCE 1:
James asked Robert for a favor but","James asked Robert for a favor but he was refused.

LABEL: 1

SENTENCE 1:
James asked Robert for a favor but",0.25,0.25,0.6,0.6
The axe is too thick.,"I can't cut that tree down with that axe; it is too thick.

LABEL: 1

SENTENCE 1:
I can","I can't cut that tree down with that axe; it is too thick.

LABEL: 0

SENTENCE 1:
I can",0.32,0.32,0.27,0.28
Bob was very ill.,"Carl was very ill. He was very ill.

LABEL: 2

SENTENCE 3:
Carl was very ill. He was very","Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.

LABEL: 2

SENTENCE 1:",0.26,0.33,0.44,0.33
Janie saw that she was open.,"Emma passed the ball to Janie although she saw that she was open.

LABEL: 1

SENTENCE 1:
Emma","Emma did not pass the ball to Janie although she saw that she was open.

LABEL: 1

SENTENCE 1:
",0.5,0.48,0.38,0.31
Tom wouldn't have to drive alone.,"Ralph was happy to have Tom drive him to school.

LABEL: 2

SENTENCE 1:
Tom gave Ralph a lift to","Tom gave Ralph a lift to school so he wouldn't have to drive alone.

LABEL: 1

SENTENCE 1:
Tom gave",0.15,0.5,0.18,0.3
Sam's drawing did look much better with another one below it.,"Sam's drawing was hung just above Tina's and it did look much better with another one below it.

LABEL: 2

SENTENCE","Sam's drawing was hung just above Tina's and it did look much better with another one below it.

LABEL: 1

SENTENCE",0.69,0.69,0.54,0.54
Sue had such a good start.,"Sue's start was so good that she beat Sally.

LABEL: 2

SENTENCE 1:
Although they ran at about the","Although they ran at about the same speed, Sue beat Sally because she had such a good start.

LABEL: 2

SENTENCE 1",0.15,0.43,0.19,0.37
The sweater looks dowdy on her.,"Grace is happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.

LABEL: 2

SENT","Grace was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.

LABEL: 1

SENT",0.37,0.37,0.41,0.41
Charlie is very grateful.,"Charlie is grateful to Bob.

LABEL: 2

SENTENCE 1:
Bob paid for Charlie's college education. He is very grateful","Bob paid for Charlie's college education. He is very grateful.

LABEL: 1

SENTENCE 1:
Bob paid for Charlie's",0.33,0.33,0.49,0.47
